"attempt_id","attempt_order","transition_label","schema_version","source_commit","source_clean","package_version","fit_schema","wave_id","wave_task_count","chain_job_count","workers","all_fits_succeeded","all_diagnostics_passed","resource_margin_pass","total_fit_elapsed_seconds","maximum_process_peak_RSS_KiB","comparative_simulation_metrics_used","failed_outputs_reused"
"one_root_exact_e9c8068",1,"one-root partially collapsed scale update","rqrgibbs_dlm_wave_correction_validation/2.0.0","e9c8068b4d9f135b7d717c3b072754f3b13f1e1a",TRUE,"0.1.0.9023","from_chain_evidence_scalar_contract","local_level_gaussian_T200__target0200__sentinel",25,49,12,TRUE,FALSE,TRUE,67624.554,686716,FALSE,FALSE
"symmetric_rootwise_one_ASIS",2,"symmetric rootwise partial collapse + one ASIS cycle","rqrgibbs_dlm_wave_correction_validation/2.0.0","e9c8068b4d9f135b7d717c3b072754f3b13f1e1a",FALSE,"0.1.0.9024","from_chain_evidence_scalar_contract","local_level_gaussian_T200__target0200__sentinel",25,49,49,TRUE,FALSE,TRUE,121093.743,620304,FALSE,FALSE
"symmetric_rootwise_two_ASIS",3,"symmetric rootwise partial collapse + two ASIS cycles","rqrgibbs_dlm_wave_correction_validation/2.0.0","e9c8068b4d9f135b7d717c3b072754f3b13f1e1a",FALSE,"0.1.0.9025","from_chain_evidence_scalar_contract","local_level_gaussian_T200__target0200__sentinel",25,49,32,TRUE,FALSE,TRUE,112099.468,708212,FALSE,FALSE
