"attempt_id","DGP","replication","attempt_order","transition_label","sentinel","ess_bulk","ess_tail","mcse_over_sd","pass","fit_elapsed_seconds","chain_role","method","estimand","bulk_ess_per_second"
"one_root_exact_e9c8068","S03",13,1,"one-root partially collapsed scale update",FALSE,94.416715037947,244.56089669561,0.103171234277105,FALSE,1668.442,"one_chain_standard","M01","log_q_1",0.0565897496214714
"one_root_exact_e9c8068","S03",20,1,"one-root partially collapsed scale update",TRUE,1004.65661118332,2255.72699132643,0.0315480988889721,TRUE,5735.199,"four_chain_sentinel","M01","log_q_1",0.17517380149901
"one_root_exact_e9c8068","S03",28,1,"one-root partially collapsed scale update",TRUE,1404.21584290943,3260.03135334959,0.0267323223114227,TRUE,5428.567,"four_chain_sentinel","M01","log_q_1",0.258671550504844
"one_root_exact_e9c8068","S03",55,1,"one-root partially collapsed scale update",FALSE,175.930985344414,464.517214494528,0.075784149530752,FALSE,1361.313,"one_chain_standard","M01","log_q_1",0.129236248639669
"one_root_exact_e9c8068","S03",89,1,"one-root partially collapsed scale update",FALSE,442.451964598366,528.621437456069,0.0485514484857904,TRUE,1378.591,"one_chain_standard","M01","log_q_1",0.32094505520373
"one_root_exact_e9c8068","S03",90,1,"one-root partially collapsed scale update",FALSE,259.449982808153,489.668956635361,0.0622627410149088,TRUE,1381.976,"one_chain_standard","M01","log_q_1",0.18773841427648
"one_root_exact_e9c8068","S03",94,1,"one-root partially collapsed scale update",FALSE,117.158447813515,304.94202884139,0.0926355202128436,FALSE,1157.208,"one_chain_standard","M01","log_q_1",0.101242341751453
"one_root_exact_e9c8068","S03",97,1,"one-root partially collapsed scale update",FALSE,200.717802872888,629.585755164021,0.0710936931569715,TRUE,1277.324,"one_chain_standard","M01","log_q_1",0.157139302849463
"one_root_exact_e9c8068","S03",103,1,"one-root partially collapsed scale update",FALSE,342.775363900188,677.592369112686,0.0538766455397071,TRUE,1797.78,"one_chain_standard","M01","log_q_1",0.190665912347555
"one_root_exact_e9c8068","S03",117,1,"one-root partially collapsed scale update",FALSE,308.094464694569,604.445933947704,0.0571400570225968,TRUE,1287.854,"one_chain_standard","M01","log_q_1",0.239230894724533
"one_root_exact_e9c8068","S03",121,1,"one-root partially collapsed scale update",TRUE,1514.25356482215,3290.58692756162,0.0256827144496142,TRUE,5505.435,"four_chain_sentinel","M01","log_q_1",0.275047033490024
"one_root_exact_e9c8068","S03",165,1,"one-root partially collapsed scale update",FALSE,126.115347031148,424.440003111935,0.0888037772974416,FALSE,1260.228,"one_chain_standard","M01","log_q_1",0.100073436736168
"one_root_exact_e9c8068","S03",166,1,"one-root partially collapsed scale update",FALSE,167.154634442909,535.147111600372,0.0772324246959286,FALSE,1450.387,"one_chain_standard","M01","log_q_1",0.11524829886293
"one_root_exact_e9c8068","S03",168,1,"one-root partially collapsed scale update",FALSE,263.416948520777,613.015033022632,0.0617387126972273,TRUE,1131.256,"one_chain_standard","M01","log_q_1",0.232853526099112
"one_root_exact_e9c8068","S03",183,1,"one-root partially collapsed scale update",TRUE,728.226858604091,1535.58256918238,0.037100371750762,TRUE,4753.842,"four_chain_sentinel","M01","log_q_1",0.153187013494368
"one_root_exact_e9c8068","S03",185,1,"one-root partially collapsed scale update",FALSE,390.514423624526,705.211599010344,0.0507629111107387,TRUE,1013.83,"one_chain_standard","M01","log_q_1",0.385187283493807
"one_root_exact_e9c8068","S03",192,1,"one-root partially collapsed scale update",FALSE,269.470767557862,659.826402289919,0.060929262369888,TRUE,1810.178,"one_chain_standard","M01","log_q_1",0.148864237416355
