"attempt_id","attempt_order","transition_label","DGP","replication","chain","sentinel","profile","ok","fit_elapsed_seconds","peak_RSS_KiB","reproducibility_eligible","runtime_tree_digest"
"one_root_exact_e9c8068",1,"one-root partially collapsed scale update","S03",121,4,TRUE,"D",TRUE,1235.001,663448,TRUE,"2955513b3ef0c5b8dce9c075e8c99085ff4e99d6bd343b933c2dc57e18d9947d"
"one_root_exact_e9c8068",1,"one-root partially collapsed scale update","S03",55,1,FALSE,"standard",TRUE,1361.313,649384,TRUE,"2955513b3ef0c5b8dce9c075e8c99085ff4e99d6bd343b933c2dc57e18d9947d"
"one_root_exact_e9c8068",1,"one-root partially collapsed scale update","S04",91,1,FALSE,"standard",TRUE,1237.397,658752,TRUE,"2955513b3ef0c5b8dce9c075e8c99085ff4e99d6bd343b933c2dc57e18d9947d"
"one_root_exact_e9c8068",1,"one-root partially collapsed scale update","S03",165,1,FALSE,"standard",TRUE,1260.228,648880,TRUE,"2955513b3ef0c5b8dce9c075e8c99085ff4e99d6bd343b933c2dc57e18d9947d"
"one_root_exact_e9c8068",1,"one-root partially collapsed scale update","S03",89,1,FALSE,"standard",TRUE,1378.591,667956,TRUE,"2955513b3ef0c5b8dce9c075e8c99085ff4e99d6bd343b933c2dc57e18d9947d"
"one_root_exact_e9c8068",1,"one-root partially collapsed scale update","S04",96,1,TRUE,"A",TRUE,1266.226,663440,TRUE,"2955513b3ef0c5b8dce9c075e8c99085ff4e99d6bd343b933c2dc57e18d9947d"
"one_root_exact_e9c8068",1,"one-root partially collapsed scale update","S04",96,2,TRUE,"B",TRUE,1288.104,668128,TRUE,"2955513b3ef0c5b8dce9c075e8c99085ff4e99d6bd343b933c2dc57e18d9947d"
"one_root_exact_e9c8068",1,"one-root partially collapsed scale update","S04",96,3,TRUE,"C",TRUE,1298.246,658752,TRUE,"2955513b3ef0c5b8dce9c075e8c99085ff4e99d6bd343b933c2dc57e18d9947d"
"one_root_exact_e9c8068",1,"one-root partially collapsed scale update","S04",96,4,TRUE,"D",TRUE,1266.434,656876,TRUE,"2955513b3ef0c5b8dce9c075e8c99085ff4e99d6bd343b933c2dc57e18d9947d"
"one_root_exact_e9c8068",1,"one-root partially collapsed scale update","S03",166,1,FALSE,"standard",TRUE,1450.387,649380,TRUE,"2955513b3ef0c5b8dce9c075e8c99085ff4e99d6bd343b933c2dc57e18d9947d"
"one_root_exact_e9c8068",1,"one-root partially collapsed scale update","S03",90,1,FALSE,"standard",TRUE,1381.976,658752,TRUE,"2955513b3ef0c5b8dce9c075e8c99085ff4e99d6bd343b933c2dc57e18d9947d"
"one_root_exact_e9c8068",1,"one-root partially collapsed scale update","S04",150,1,FALSE,"standard",TRUE,1262.237,658644,TRUE,"2955513b3ef0c5b8dce9c075e8c99085ff4e99d6bd343b933c2dc57e18d9947d"
"one_root_exact_e9c8068",1,"one-root partially collapsed scale update","S03",168,1,FALSE,"standard",TRUE,1131.256,663448,TRUE,"2955513b3ef0c5b8dce9c075e8c99085ff4e99d6bd343b933c2dc57e18d9947d"
"one_root_exact_e9c8068",1,"one-root partially collapsed scale update","S03",94,1,FALSE,"standard",TRUE,1157.208,649384,TRUE,"2955513b3ef0c5b8dce9c075e8c99085ff4e99d6bd343b933c2dc57e18d9947d"
"one_root_exact_e9c8068",1,"one-root partially collapsed scale update","S04",164,1,FALSE,"standard",TRUE,1108.507,658752,TRUE,"2955513b3ef0c5b8dce9c075e8c99085ff4e99d6bd343b933c2dc57e18d9947d"
"one_root_exact_e9c8068",1,"one-root partially collapsed scale update","S03",183,1,TRUE,"A",TRUE,1169.687,658288,TRUE,"2955513b3ef0c5b8dce9c075e8c99085ff4e99d6bd343b933c2dc57e18d9947d"
"one_root_exact_e9c8068",1,"one-root partially collapsed scale update","S03",183,2,TRUE,"B",TRUE,1198.297,686716,TRUE,"2955513b3ef0c5b8dce9c075e8c99085ff4e99d6bd343b933c2dc57e18d9947d"
"one_root_exact_e9c8068",1,"one-root partially collapsed scale update","S03",183,3,TRUE,"C",TRUE,1201.626,668872,TRUE,"2955513b3ef0c5b8dce9c075e8c99085ff4e99d6bd343b933c2dc57e18d9947d"
"one_root_exact_e9c8068",1,"one-root partially collapsed scale update","S03",183,4,TRUE,"D",TRUE,1184.232,668128,TRUE,"2955513b3ef0c5b8dce9c075e8c99085ff4e99d6bd343b933c2dc57e18d9947d"
"one_root_exact_e9c8068",1,"one-root partially collapsed scale update","S03",97,1,FALSE,"standard",TRUE,1277.324,658752,TRUE,"2955513b3ef0c5b8dce9c075e8c99085ff4e99d6bd343b933c2dc57e18d9947d"
"one_root_exact_e9c8068",1,"one-root partially collapsed scale update","S04",180,1,TRUE,"A",TRUE,1197.271,656876,TRUE,"2955513b3ef0c5b8dce9c075e8c99085ff4e99d6bd343b933c2dc57e18d9947d"
"one_root_exact_e9c8068",1,"one-root partially collapsed scale update","S04",180,2,TRUE,"B",TRUE,1248.273,675812,TRUE,"2955513b3ef0c5b8dce9c075e8c99085ff4e99d6bd343b933c2dc57e18d9947d"
"one_root_exact_e9c8068",1,"one-root partially collapsed scale update","S04",180,3,TRUE,"C",TRUE,1258.152,677268,TRUE,"2955513b3ef0c5b8dce9c075e8c99085ff4e99d6bd343b933c2dc57e18d9947d"
"one_root_exact_e9c8068",1,"one-root partially collapsed scale update","S04",180,4,TRUE,"D",TRUE,1297.62,677104,TRUE,"2955513b3ef0c5b8dce9c075e8c99085ff4e99d6bd343b933c2dc57e18d9947d"
"one_root_exact_e9c8068",1,"one-root partially collapsed scale update","S03",185,1,FALSE,"standard",TRUE,1013.83,663448,TRUE,"2955513b3ef0c5b8dce9c075e8c99085ff4e99d6bd343b933c2dc57e18d9947d"
"symmetric_rootwise_one_ASIS",2,"symmetric rootwise partial collapse + one ASIS cycle","S03",13,1,FALSE,"standard",TRUE,2201.317,610512,FALSE,"a3c522b90df7d8a8894859207aa8d1e17b2e335a6a52716f3f41c9c8632a8213"
"symmetric_rootwise_one_ASIS",2,"symmetric rootwise partial collapse + one ASIS cycle","S03",103,1,FALSE,"standard",TRUE,2506.926,608212,FALSE,"a3c522b90df7d8a8894859207aa8d1e17b2e335a6a52716f3f41c9c8632a8213"
"symmetric_rootwise_one_ASIS",2,"symmetric rootwise partial collapse + one ASIS cycle","S03",192,1,FALSE,"standard",TRUE,2560.331,612724,FALSE,"a3c522b90df7d8a8894859207aa8d1e17b2e335a6a52716f3f41c9c8632a8213"
"symmetric_rootwise_one_ASIS",2,"symmetric rootwise partial collapse + one ASIS cycle","S04",193,1,TRUE,"A",TRUE,2457.245,611796,FALSE,"a3c522b90df7d8a8894859207aa8d1e17b2e335a6a52716f3f41c9c8632a8213"
"symmetric_rootwise_one_ASIS",2,"symmetric rootwise partial collapse + one ASIS cycle","S04",193,2,TRUE,"B",TRUE,2625.13,616928,FALSE,"a3c522b90df7d8a8894859207aa8d1e17b2e335a6a52716f3f41c9c8632a8213"
"symmetric_rootwise_one_ASIS",2,"symmetric rootwise partial collapse + one ASIS cycle","S04",193,3,TRUE,"C",TRUE,2480.407,616920,FALSE,"a3c522b90df7d8a8894859207aa8d1e17b2e335a6a52716f3f41c9c8632a8213"
"symmetric_rootwise_one_ASIS",2,"symmetric rootwise partial collapse + one ASIS cycle","S04",193,4,TRUE,"D",TRUE,2550.44,619000,FALSE,"a3c522b90df7d8a8894859207aa8d1e17b2e335a6a52716f3f41c9c8632a8213"
"symmetric_rootwise_one_ASIS",2,"symmetric rootwise partial collapse + one ASIS cycle","S04",16,1,TRUE,"A",TRUE,2534.526,609776,FALSE,"a3c522b90df7d8a8894859207aa8d1e17b2e335a6a52716f3f41c9c8632a8213"
"symmetric_rootwise_one_ASIS",2,"symmetric rootwise partial collapse + one ASIS cycle","S04",16,2,TRUE,"B",TRUE,2425.044,616928,FALSE,"a3c522b90df7d8a8894859207aa8d1e17b2e335a6a52716f3f41c9c8632a8213"
"symmetric_rootwise_one_ASIS",2,"symmetric rootwise partial collapse + one ASIS cycle","S04",16,3,TRUE,"C",TRUE,2533.779,617952,FALSE,"a3c522b90df7d8a8894859207aa8d1e17b2e335a6a52716f3f41c9c8632a8213"
"symmetric_rootwise_one_ASIS",2,"symmetric rootwise partial collapse + one ASIS cycle","S04",16,4,TRUE,"D",TRUE,2084.679,616928,FALSE,"a3c522b90df7d8a8894859207aa8d1e17b2e335a6a52716f3f41c9c8632a8213"
