"item","observed","denominator"
"canonical_waves",1,110
"passed_waves",0,110
"failed_waves",1,110
"not_started_waves",109,110
"replication_tasks_with_artifacts",0,8400
"fully_completed_tasks",0,8400
"method_evaluations",0,43800
"MCMC_method_attempts",0,NA
"MCMC_chain_executions",0,40938
"diagnostic_rows",0,NA
"diagnostic_rows_passed",0,NA
"diagnostic_rows_failed",0,NA
