"dgp_id","dgp_label","content","lower_probability","upper_probability","lower","upper","width","mean_tilt","status"
"normal","Gaussian",0.9,0.050000000000146,0.950000000000146,-1.64485362695006,1.64485362695289,3.28970725390294,0,"ok"
"normal","Gaussian",0.95,0.0249999995941901,0.97499999959419,-1.95996399148349,1.95996397759661,3.91992796908011,0,"ok"
"normal","Gaussian",0.99,0.00499999989216086,0.994999999892161,-2.57582931100679,2.57582929609101,5.1516586070978,0,"ok"
"student_t3","standardized Student t with three degrees of freedom",0.9,0.0500000007784401,0.95000000077844,-1.35871500267902,1.35871502248869,2.71743002516771,0,"ok"
"student_t3","standardized Student t with three degrees of freedom",0.95,0.0250000005170281,0.975000000517028,-1.83738621548508,1.83738624658908,3.67477246207416,0,"ok"
"student_t3","standardized Student t with three degrees of freedom",0.99,0.00499999989216086,0.994999999892161,-3.37225058821548,3.372250536358,6.74450112457348,0,"ok"
"exponential","centered standardized exponential",0.9,1.54354868478571e-10,0.900000000154355,-0.999999999845645,1.3025850945376,2.30258509438324,-0.255842787715544,"ok"
"exponential","centered standardized exponential",0.95,1.37818110539473e-10,0.950000000137818,-0.999999999862182,1.99573227631035,2.99573227617253,-0.157670119226141,"ok"
"exponential","centered standardized exponential",0.99,1.60280471784701e-10,0.99000000016028,-0.99999999983972,3.60517020201614,4.60517020185586,-0.0465168698199618,"ok"
"asym_laplace_tau010","standardized asymmetric Laplace, tau = 0.10",0.9,0.01,0.91,-1.1377301943353,1.40504966302995,2.54277985736525,-0.226024876210244,"ok"
"asym_laplace_tau010","standardized asymmetric Laplace, tau = 0.10",0.95,0.005,0.955,-1.21427549527901,2.09395737152336,3.30823286680237,-0.13929401544431,"ok"
"asym_laplace_tau010","standardized asymmetric Laplace, tau = 0.10",0.99,0.001,0.991,-1.39200818007182,3.69355153465868,5.0855597147305,-0.0410954320382262,"ok"
"two_piece_normal_1_12","standardized two-piece normal, scale ratio 1:12",0.9,0.00769230786606635,0.907692307866066,-1.39302824235589,1.46519934133032,2.85822758368622,-0.206636923605164,"ok"
"two_piece_normal_1_12","standardized two-piece normal, scale ratio 1:12",0.95,0.00384615386877654,0.953846153868776,-1.43514829324189,1.97063993730514,3.40578823054703,-0.119168903038925,"ok"
"two_piece_normal_1_12","standardized two-piece normal, scale ratio 1:12",0.99,0.000769230608887929,0.990769230608888,-1.51746955117075,2.95849490283103,4.47596445400178,-0.0311009501863876,"ok"
"beta18","standardized Beta(1,8)",0.9,1.54354868478571e-10,0.900000000154355,-1.11803398855575,1.39860698545132,2.51664097400707,-0.248557132679032,"ok"
"beta18","standardized Beta(1,8)",0.95,1.37818110539473e-10,0.950000000137818,-1.11803398857655,2.02486666657011,3.14290065514666,-0.147036287400707,"ok"
"beta18","standardized Beta(1,8)",0.99,1.60280471784701e-10,0.99000000016028,-1.1180339885483,3.28582148776269,4.40385547631098,-0.0395407890978003,"ok"
"gamma05","standardized Gamma(0.5,1)",0.9,1.54354868478571e-10,0.900000000154355,-0.707106781186547,1.2060013437399,1.91310812492644,-0.266568307363309,"ok"
"gamma05","standardized Gamma(0.5,1)",0.95,1.37818110539473e-10,0.950000000137818,-0.707106781186547,2.00921480384321,2.71632158502976,-0.170524727618915,"ok"
"gamma05","standardized Gamma(0.5,1)",0.99,1.60280471784701e-10,0.99000000016028,-0.707106781186547,3.98447361805646,4.69158039924301,-0.0532056131531921,"ok"
"lognormal_hard","centered standardized log-normal, logsd = 1.25",0.9,7.77881564374422e-05,0.900077788156437,-0.512889862084081,0.655732154093931,1.16862201617801,-0.221576083271202,"ok"
"lognormal_hard","centered standardized log-normal, logsd = 1.25",0.95,1.69893249656839e-05,0.950016989324966,-0.513650883952314,1.32801200661983,1.84166289057215,-0.160680519301363,"ok"
"lognormal_hard","centered standardized log-normal, logsd = 1.25",0.99,6.95204645793644e-07,0.990000695204646,-0.514410659055304,3.80427794237537,4.31868860143067,-0.0680808963560671,"ok"
