artifact,sha256
wave_artifact_manifest,1f62f7a31780bede379d50cca4d0f8170211c72a6b3390a608ef97dbfc50715c
wave_completion_receipt,818afa16f706f473ee50228d362e1b831f4b8e6c9045f32211ce354f19c577bf
authorization_bundle,d803c56aaaa035fe39d3638e5261b8f745348ac0151a7843cab6f0d977daaf9a
launch_inputs,ea3c05765c02badc78b9dc41508838688e840db6e0276b342b2144deddb0c86c
