"source_method_id","cell_key","calibration_scope","n","content","tolerance_confidence","delivery_target","dgp_cells","passing_dgp_cells","calibration_replications","calibration_successes","observed_delivery","min_observed_delivery","min_delivery_lower_bound","min_success_margin_to_requirement","all_dgp_cells_admissible","infeasible_rate","max_infeasible_rate","mean_candidate_feasible_count","min_candidate_feasible_count","max_candidate_feasible_count","min_mean_candidate_feasible_count","min_min_candidate_feasible_count","mean_width","median_width","width_q025","width_q975","screen","posterior_confidence","dgp_id","reference_method_id","reference_cells","reference_missing_cells","reference_width_cells","observed_max_median_width_to_reference_median","max_median_width_to_reference_median","observed_max_width_q975_to_reference_q975","max_width_q975_to_reference_q975","minimum_successes_required","delivery_lower_bound","success_margin_to_requirement","admissible_before_stability","infeasible_rate_pass","width_q975_to_median","width_q975_to_median_pass","max_width_q975_to_median","mean_width_to_median_width","mean_width_ratio_pass","max_mean_width_ratio_to_median","reference_missing_pass","median_width_to_reference_median_pass","width_q975_to_reference_q975_pass","mean_candidate_feasible_count_pass","min_candidate_feasible_count_pass","candidate_feasible_count_pass","width_stability_pass","admissible","reference_replications","reference_width_count","reference_median_width","reference_width_q975","reference_missing","selection_rule","bound_method","bound_confidence","delivery_margin","width_objective","max_infeasible_rate_configured","max_width_q975_to_median_configured","max_mean_width_ratio_to_median_configured","max_median_width_to_reference_median_configured","max_width_q975_to_reference_q975_configured","min_mean_candidate_feasible_count_configured","min_min_candidate_feasible_count_configured","input_results_digest","reference_results_path","reference_results_digest"
"mti_ecm_adaptive_refine_screen_p99725","n1000_c0990_t0950","distribution_cell",1000,0.99,0.95,0.95,1,NA,1000,992,0.992,NA,NA,NA,NA,0,0,38.519,35,42,1,1,5.97982607327263,5.92267473457077,4.8938054495613,7.37523695555844,0.99725,0.99725,"exponential","tcsp_mc",1,0,1,0.994143501034762,2,1.01348255436284,2,962,0.985611775047908,30,TRUE,TRUE,1.24525443082482,TRUE,10,1.00964958253883,TRUE,10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1000,1000,5.95756520905292,7.2771227524436,FALSE,"cell","clopper_pearson",0.95,0,"median-q975",0,10,10,2,2,1,1,"e6902ec840e77ef25eb3bb861e7ba4d5a8d3f85971ff29bde181e64bdad13f9f","application/runs/rqr_bayes_uq_validation_main_3method_skewstress_dgps_20260820/wave_confirmatory_skewstress_dgps_20260821T005632Z/bayes_uq_validation_results.csv","a22af52c8e75fba3f0e44cce3f6f53a6689557ef8978e52b2f4ce42bf24f62fa"
"mti_ecm_adaptive_refine_screen_p9975","n1000_c0990_t0950","distribution_cell",1000,0.99,0.95,0.95,1,NA,1000,992,0.992,NA,NA,NA,NA,0,0,38.519,35,42,1,1,5.97982607327263,5.92267473457077,4.8938054495613,7.37523695555844,0.9975,0.9975,"exponential","tcsp_mc",1,0,1,0.994143501034762,2,1.01348255436284,2,962,0.985611775047908,30,TRUE,TRUE,1.24525443082482,TRUE,10,1.00964958253883,TRUE,10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1000,1000,5.95756520905292,7.2771227524436,FALSE,"cell","clopper_pearson",0.95,0,"median-q975",0,10,10,2,2,1,1,"e6902ec840e77ef25eb3bb861e7ba4d5a8d3f85971ff29bde181e64bdad13f9f","application/runs/rqr_bayes_uq_validation_main_3method_skewstress_dgps_20260820/wave_confirmatory_skewstress_dgps_20260821T005632Z/bayes_uq_validation_results.csv","a22af52c8e75fba3f0e44cce3f6f53a6689557ef8978e52b2f4ce42bf24f62fa"
"mti_ecm_adaptive_refine_screen_p998","n1000_c0990_t0950","distribution_cell",1000,0.99,0.95,0.95,1,NA,1000,992,0.992,NA,NA,NA,NA,0,0,38.519,35,42,1,1,5.97982607327263,5.92267473457077,4.8938054495613,7.37523695555844,0.998,0.998,"exponential","tcsp_mc",1,0,1,0.994143501034762,2,1.01348255436284,2,962,0.985611775047908,30,TRUE,TRUE,1.24525443082482,TRUE,10,1.00964958253883,TRUE,10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1000,1000,5.95756520905292,7.2771227524436,FALSE,"cell","clopper_pearson",0.95,0,"median-q975",0,10,10,2,2,1,1,"e6902ec840e77ef25eb3bb861e7ba4d5a8d3f85971ff29bde181e64bdad13f9f","application/runs/rqr_bayes_uq_validation_main_3method_skewstress_dgps_20260820/wave_confirmatory_skewstress_dgps_20260821T005632Z/bayes_uq_validation_results.csv","a22af52c8e75fba3f0e44cce3f6f53a6689557ef8978e52b2f4ce42bf24f62fa"
"mti_ecm_adaptive_refine_screen_p9985","n1000_c0990_t0950","distribution_cell",1000,0.99,0.95,0.95,1,NA,1000,992,0.992,NA,NA,NA,NA,0,0,38.519,35,42,1,1,5.97982607327263,5.92267473457077,4.8938054495613,7.37523695555844,0.9985,0.9985,"exponential","tcsp_mc",1,0,1,0.994143501034762,2,1.01348255436284,2,962,0.985611775047908,30,TRUE,TRUE,1.24525443082482,TRUE,10,1.00964958253883,TRUE,10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1000,1000,5.95756520905292,7.2771227524436,FALSE,"cell","clopper_pearson",0.95,0,"median-q975",0,10,10,2,2,1,1,"e6902ec840e77ef25eb3bb861e7ba4d5a8d3f85971ff29bde181e64bdad13f9f","application/runs/rqr_bayes_uq_validation_main_3method_skewstress_dgps_20260820/wave_confirmatory_skewstress_dgps_20260821T005632Z/bayes_uq_validation_results.csv","a22af52c8e75fba3f0e44cce3f6f53a6689557ef8978e52b2f4ce42bf24f62fa"
"mti_ecm_adaptive_refine_screen_p999","n1000_c0990_t0950","distribution_cell",1000,0.99,0.95,0.95,1,NA,1000,997,0.997,NA,NA,NA,NA,0,0,27.671,26,32,1,1,6.45667934186164,6.38843829857742,5.17628079505634,8.11848843443278,0.999,0.999,"exponential","tcsp_mc",1,0,1,1.07232368835338,2,1.11561790430245,2,962,0.992264755281521,35,TRUE,TRUE,1.27080955548097,TRUE,10,1.01068196014344,TRUE,10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1000,1000,5.95756520905292,7.2771227524436,FALSE,"cell","clopper_pearson",0.95,0,"median-q975",0,10,10,2,2,1,1,"e6902ec840e77ef25eb3bb861e7ba4d5a8d3f85971ff29bde181e64bdad13f9f","application/runs/rqr_bayes_uq_validation_main_3method_skewstress_dgps_20260820/wave_confirmatory_skewstress_dgps_20260821T005632Z/bayes_uq_validation_results.csv","a22af52c8e75fba3f0e44cce3f6f53a6689557ef8978e52b2f4ce42bf24f62fa"
"mti_ecm_adaptive_refine_screen_p99925","n1000_c0990_t0950","distribution_cell",1000,0.99,0.95,0.95,1,NA,1000,997,0.997,NA,NA,NA,NA,0,0,27.671,26,32,1,1,6.45667934186164,6.38843829857742,5.17628079505634,8.11848843443278,0.99925,0.99925,"exponential","tcsp_mc",1,0,1,1.07232368835338,2,1.11561790430245,2,962,0.992264755281521,35,TRUE,TRUE,1.27080955548097,TRUE,10,1.01068196014344,TRUE,10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1000,1000,5.95756520905292,7.2771227524436,FALSE,"cell","clopper_pearson",0.95,0,"median-q975",0,10,10,2,2,1,1,"e6902ec840e77ef25eb3bb861e7ba4d5a8d3f85971ff29bde181e64bdad13f9f","application/runs/rqr_bayes_uq_validation_main_3method_skewstress_dgps_20260820/wave_confirmatory_skewstress_dgps_20260821T005632Z/bayes_uq_validation_results.csv","a22af52c8e75fba3f0e44cce3f6f53a6689557ef8978e52b2f4ce42bf24f62fa"
"mti_ecm_adaptive_refine_screen_p995","n1000_c0990_t0950","distribution_cell",1000,0.99,0.95,0.95,1,NA,1000,987,0.987,NA,NA,NA,NA,0,0,47.537,45,53,1,1,6.43158050030477,6.36072780868611,5.07314844834954,8.17188173298063,0.995,0.995,"gamma05","tcsp_mc",1,0,1,0.994179693486654,2,0.976301108974098,2,962,0.979410713470092,25,TRUE,TRUE,1.28474004528558,TRUE,10,1.01113908561249,TRUE,10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1000,1000,6.3979659314692,8.37024731188484,FALSE,"cell","clopper_pearson",0.95,0,"median-q975",0,10,10,2,2,1,1,"e6902ec840e77ef25eb3bb861e7ba4d5a8d3f85971ff29bde181e64bdad13f9f","application/runs/rqr_bayes_uq_validation_main_3method_skewstress_dgps_20260820/wave_confirmatory_skewstress_dgps_20260821T005632Z/bayes_uq_validation_results.csv","a22af52c8e75fba3f0e44cce3f6f53a6689557ef8978e52b2f4ce42bf24f62fa"
"mti_ecm_adaptive_refine_screen_p996","n1000_c0990_t0950","distribution_cell",1000,0.99,0.95,0.95,1,NA,1000,987,0.987,NA,NA,NA,NA,0,0,37.952,36,44,1,1,6.43158050030477,6.36072780868611,5.07314844834954,8.17188173298063,0.996,0.996,"gamma05","tcsp_mc",1,0,1,0.994179693486654,2,0.976301108974098,2,962,0.979410713470092,25,TRUE,TRUE,1.28474004528558,TRUE,10,1.01113908561249,TRUE,10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1000,1000,6.3979659314692,8.37024731188484,FALSE,"cell","clopper_pearson",0.95,0,"median-q975",0,10,10,2,2,1,1,"e6902ec840e77ef25eb3bb861e7ba4d5a8d3f85971ff29bde181e64bdad13f9f","application/runs/rqr_bayes_uq_validation_main_3method_skewstress_dgps_20260820/wave_confirmatory_skewstress_dgps_20260821T005632Z/bayes_uq_validation_results.csv","a22af52c8e75fba3f0e44cce3f6f53a6689557ef8978e52b2f4ce42bf24f62fa"
"mti_ecm_adaptive_refine_screen_p9965","n1000_c0990_t0950","distribution_cell",1000,0.99,0.95,0.95,1,NA,1000,987,0.987,NA,NA,NA,NA,0,0,37.952,36,44,1,1,6.43158050030477,6.36072780868611,5.07314844834954,8.17188173298063,0.9965,0.9965,"gamma05","tcsp_mc",1,0,1,0.994179693486654,2,0.976301108974098,2,962,0.979410713470092,25,TRUE,TRUE,1.28474004528558,TRUE,10,1.01113908561249,TRUE,10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1000,1000,6.3979659314692,8.37024731188484,FALSE,"cell","clopper_pearson",0.95,0,"median-q975",0,10,10,2,2,1,1,"e6902ec840e77ef25eb3bb861e7ba4d5a8d3f85971ff29bde181e64bdad13f9f","application/runs/rqr_bayes_uq_validation_main_3method_skewstress_dgps_20260820/wave_confirmatory_skewstress_dgps_20260821T005632Z/bayes_uq_validation_results.csv","a22af52c8e75fba3f0e44cce3f6f53a6689557ef8978e52b2f4ce42bf24f62fa"
"mti_ecm_adaptive_refine_screen_p997","n1000_c0990_t0950","distribution_cell",1000,0.99,0.95,0.95,1,NA,1000,987,0.987,NA,NA,NA,NA,0,0,37.907,36,41,1,1,6.43158050030477,6.36072780868611,5.07314844834954,8.17188173298063,0.997,0.997,"gamma05","tcsp_mc",1,0,1,0.994179693486654,2,0.976301108974098,2,962,0.979410713470092,25,TRUE,TRUE,1.28474004528558,TRUE,10,1.01113908561249,TRUE,10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1000,1000,6.3979659314692,8.37024731188484,FALSE,"cell","clopper_pearson",0.95,0,"median-q975",0,10,10,2,2,1,1,"e6902ec840e77ef25eb3bb861e7ba4d5a8d3f85971ff29bde181e64bdad13f9f","application/runs/rqr_bayes_uq_validation_main_3method_skewstress_dgps_20260820/wave_confirmatory_skewstress_dgps_20260821T005632Z/bayes_uq_validation_results.csv","a22af52c8e75fba3f0e44cce3f6f53a6689557ef8978e52b2f4ce42bf24f62fa"
"mti_ecm_adaptive_refine_screen_p99725","n1000_c0990_t0950","distribution_cell",1000,0.99,0.95,0.95,1,NA,1000,987,0.987,NA,NA,NA,NA,0,0,37.907,36,41,1,1,6.43158050030477,6.36072780868611,5.07314844834954,8.17188173298063,0.99725,0.99725,"gamma05","tcsp_mc",1,0,1,0.994179693486654,2,0.976301108974098,2,962,0.979410713470092,25,TRUE,TRUE,1.28474004528558,TRUE,10,1.01113908561249,TRUE,10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1000,1000,6.3979659314692,8.37024731188484,FALSE,"cell","clopper_pearson",0.95,0,"median-q975",0,10,10,2,2,1,1,"e6902ec840e77ef25eb3bb861e7ba4d5a8d3f85971ff29bde181e64bdad13f9f","application/runs/rqr_bayes_uq_validation_main_3method_skewstress_dgps_20260820/wave_confirmatory_skewstress_dgps_20260821T005632Z/bayes_uq_validation_results.csv","a22af52c8e75fba3f0e44cce3f6f53a6689557ef8978e52b2f4ce42bf24f62fa"
"mti_ecm_adaptive_refine_screen_p9975","n1000_c0990_t0950","distribution_cell",1000,0.99,0.95,0.95,1,NA,1000,987,0.987,NA,NA,NA,NA,0,0,37.907,36,41,1,1,6.43158050030477,6.36072780868611,5.07314844834954,8.17188173298063,0.9975,0.9975,"gamma05","tcsp_mc",1,0,1,0.994179693486654,2,0.976301108974098,2,962,0.979410713470092,25,TRUE,TRUE,1.28474004528558,TRUE,10,1.01113908561249,TRUE,10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1000,1000,6.3979659314692,8.37024731188484,FALSE,"cell","clopper_pearson",0.95,0,"median-q975",0,10,10,2,2,1,1,"e6902ec840e77ef25eb3bb861e7ba4d5a8d3f85971ff29bde181e64bdad13f9f","application/runs/rqr_bayes_uq_validation_main_3method_skewstress_dgps_20260820/wave_confirmatory_skewstress_dgps_20260821T005632Z/bayes_uq_validation_results.csv","a22af52c8e75fba3f0e44cce3f6f53a6689557ef8978e52b2f4ce42bf24f62fa"
"mti_ecm_adaptive_refine_screen_p998","n1000_c0990_t0950","distribution_cell",1000,0.99,0.95,0.95,1,NA,1000,987,0.987,NA,NA,NA,NA,0,0,37.907,36,41,1,1,6.43158050030477,6.36072780868611,5.07314844834954,8.17188173298063,0.998,0.998,"gamma05","tcsp_mc",1,0,1,0.994179693486654,2,0.976301108974098,2,962,0.979410713470092,25,TRUE,TRUE,1.28474004528558,TRUE,10,1.01113908561249,TRUE,10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1000,1000,6.3979659314692,8.37024731188484,FALSE,"cell","clopper_pearson",0.95,0,"median-q975",0,10,10,2,2,1,1,"e6902ec840e77ef25eb3bb861e7ba4d5a8d3f85971ff29bde181e64bdad13f9f","application/runs/rqr_bayes_uq_validation_main_3method_skewstress_dgps_20260820/wave_confirmatory_skewstress_dgps_20260821T005632Z/bayes_uq_validation_results.csv","a22af52c8e75fba3f0e44cce3f6f53a6689557ef8978e52b2f4ce42bf24f62fa"
"mti_ecm_adaptive_refine_screen_p9985","n1000_c0990_t0950","distribution_cell",1000,0.99,0.95,0.95,1,NA,1000,987,0.987,NA,NA,NA,NA,0,0,37.907,36,41,1,1,6.43158050030477,6.36072780868611,5.07314844834954,8.17188173298063,0.9985,0.9985,"gamma05","tcsp_mc",1,0,1,0.994179693486654,2,0.976301108974098,2,962,0.979410713470092,25,TRUE,TRUE,1.28474004528558,TRUE,10,1.01113908561249,TRUE,10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1000,1000,6.3979659314692,8.37024731188484,FALSE,"cell","clopper_pearson",0.95,0,"median-q975",0,10,10,2,2,1,1,"e6902ec840e77ef25eb3bb861e7ba4d5a8d3f85971ff29bde181e64bdad13f9f","application/runs/rqr_bayes_uq_validation_main_3method_skewstress_dgps_20260820/wave_confirmatory_skewstress_dgps_20260821T005632Z/bayes_uq_validation_results.csv","a22af52c8e75fba3f0e44cce3f6f53a6689557ef8978e52b2f4ce42bf24f62fa"
