"source_method_id","calibration_scope","dgp_id","n","content","tolerance_confidence","cell_key","dgp_cells","passing_dgp_cells","calibration_replications","calibration_successes","observed_delivery","delivery_lower_bound","min_observed_delivery","min_delivery_lower_bound","all_dgp_cells_admissible","admissible","mean_width","median_width","width_q025","width_q975","screen","posterior_confidence","selection_rule","bound_method","bound_confidence","delivery_margin","input_results_digest"
"mti_ecm_adaptive_screen_p980","all_distribution_cell",NA,50,0.9,0.95,"n0050_c0900_t0950",8,7,8000,7743,0.967875,0.964440653280759,0.96,0.94824659864784,FALSE,FALSE,4.62145489449223,4.28814555788292,2.2188288817375,9.01737107408862,0.98,0.98,"pooled-cell","clopper_pearson",0.95,0,"6c3403460dafd509706009451c5476008b6c10713972bed8a452112e49571609"
"mti_ecm_adaptive_screen_p9825","all_distribution_cell",NA,50,0.9,0.95,"n0050_c0900_t0950",8,7,8000,7743,0.967875,0.964440653280759,0.96,0.94824659864784,FALSE,FALSE,4.62145489449223,4.28814555788292,2.2188288817375,9.01737107408862,0.9825,0.9825,"pooled-cell","clopper_pearson",0.95,0,"6c3403460dafd509706009451c5476008b6c10713972bed8a452112e49571609"
"mti_ecm_adaptive_screen_p985","all_distribution_cell",NA,50,0.9,0.95,"n0050_c0900_t0950",8,7,8000,7743,0.967875,0.964440653280759,0.96,0.94824659864784,FALSE,FALSE,4.62145489449223,4.28814555788292,2.2188288817375,9.01737107408862,0.985,0.985,"pooled-cell","clopper_pearson",0.95,0,"6c3403460dafd509706009451c5476008b6c10713972bed8a452112e49571609"
"mti_ecm_adaptive_screen_p9875","all_distribution_cell",NA,50,0.9,0.95,"n0050_c0900_t0950",8,7,8000,7743,0.967875,0.964440653280759,0.96,0.94824659864784,FALSE,FALSE,4.62145489449223,4.28814555788292,2.2188288817375,9.01737107408862,0.9875,0.9875,"pooled-cell","clopper_pearson",0.95,0,"6c3403460dafd509706009451c5476008b6c10713972bed8a452112e49571609"
"mti_ecm_adaptive_screen_p989","all_distribution_cell",NA,50,0.9,0.95,"n0050_c0900_t0950",8,7,8000,7743,0.967875,0.964440653280759,0.96,0.94824659864784,FALSE,FALSE,4.62145489449223,4.28814555788292,2.2188288817375,9.01737107408862,0.989,0.989,"pooled-cell","clopper_pearson",0.95,0,"6c3403460dafd509706009451c5476008b6c10713972bed8a452112e49571609"
"mti_ecm_adaptive_screen_p9925","all_distribution_cell",NA,50,0.9,0.95,"n0050_c0900_t0950",8,7,8000,7743,0.967875,0.964440653280759,0.96,0.94824659864784,FALSE,FALSE,4.62145489449223,4.28814555788292,2.2188288817375,9.01737107408862,0.9925,0.9925,"pooled-cell","clopper_pearson",0.95,0,"6c3403460dafd509706009451c5476008b6c10713972bed8a452112e49571609"
"mti_ecm_adaptive_screen_p995","all_distribution_cell",NA,50,0.9,0.95,"n0050_c0900_t0950",8,7,8000,7743,0.967875,0.964440653280759,0.96,0.94824659864784,FALSE,FALSE,4.62145489449223,4.28814555788292,2.2188288817375,9.01737107408862,0.995,0.995,"pooled-cell","clopper_pearson",0.95,0,"6c3403460dafd509706009451c5476008b6c10713972bed8a452112e49571609"
"mti_ecm_adaptive_screen_p980","all_distribution_cell",NA,100,0.9,0.95,"n0100_c0900_t0950",8,1,8000,7409,0.926125,0.921136330304574,0.89,0.872363474536749,FALSE,FALSE,3.15082239595381,3.20509377019089,1.72259400533063,4.36061764268844,0.98,0.98,"pooled-cell","clopper_pearson",0.95,0,"6c3403460dafd509706009451c5476008b6c10713972bed8a452112e49571609"
"mti_ecm_adaptive_screen_p9825","all_distribution_cell",NA,100,0.9,0.95,"n0100_c0900_t0950",8,5,8000,7663,0.957875,0.953992706432844,0.89,0.872363474536749,FALSE,FALSE,3.2541152886517,3.28614850621266,1.73780922022709,4.36785773205137,0.9825,0.9825,"pooled-cell","clopper_pearson",0.95,0,"6c3403460dafd509706009451c5476008b6c10713972bed8a452112e49571609"
"mti_ecm_adaptive_screen_p985","all_distribution_cell",NA,100,0.9,0.95,"n0100_c0900_t0950",8,6,8000,7741,0.967625,0.964178568708468,0.949,0.936033000232285,FALSE,FALSE,3.38906200947689,3.43405908940261,1.73780922022709,4.7311220098845,0.985,0.985,"pooled-cell","clopper_pearson",0.95,0,"6c3403460dafd509706009451c5476008b6c10713972bed8a452112e49571609"
