"gate","value","threshold","comparison","pass"
"expected_rare_tail_count",11.7800010264016,10,">=",TRUE
"static_design_rank",8,8,"==",TRUE
"static_basis_gram",6.66133814775094e-16,1e-10,"<=",TRUE
"static_truth_projection",4.66293670342566e-15,1e-10,"<=",TRUE
"dynamic_truth_projection",6.66133814775094e-16,1e-10,"<=",TRUE
"fixed_horizon_covariance",1.28785870856518e-13,1e-10,"<=",TRUE
"seasonal_covariance_recursion",7.061018436616e-14,1e-10,"<=",TRUE
"dynamic_observability_rank",4,4,"==",TRUE
"static_scale_floor",0.38,0.35,">=",TRUE
"dynamic_scale_floor",0.330000775289832,0.3,">=",TRUE
"scale_quintile_rare_tail_count",2.35000020475754,2,">=",TRUE
"missing_mask",22,22,"==",TRUE
"fit_plan_size",27,27,"==",TRUE
"static_initialization_count",12,12,"==",TRUE
"static_initialization_minimum_width",0.611901196076806,0.05,">=",TRUE
"static_initialization_unique_digests",12,12,"==",TRUE
"cornish_fisher_absent",0,0,"==",TRUE
