"family","target","provenance_pass","provenance_snapshots_pass","strict_diagnostics_pass","conditional_parity_pass","pathology_pass","computational_pass","recovery_pass","endpoint_summary_joint_inclusion_gate_applied","heterogeneity_pass","disposition","manuscript_illustration_evidence_eligible","n_chains","retained_draws","numerical_repair_count","endpoint_rmse","width_rmse","realized_coverage","mean_width","oracle_mean_width","n_observed","endpoint_rmse_all","endpoint_rmse_over_oracle_width","mean_width_ratio","endpoint_summary_joint_inclusion","lower_bias_over_oracle_width","upper_bias_over_oracle_width","static_edge_center_rmse_ratio","low_scale_endpoint_rmse_over_local_width","high_scale_endpoint_rmse_over_local_width","oracle_high_low_width_contrast","fitted_high_low_width_contrast","width_contrast_relative_error","seasonal_width_amplitude_ratio","seasonal_width_phase_error"
"fixed_design","RQR",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"strict_pass",TRUE,4,24000,0,0.176813957545121,0.248193437254509,0.9525,2.84727846750549,2.92138650890197,2400,0.176813957545121,0.0605239864722927,0.97463257902689,0.855,0.0341925116607114,0.00882509068760121,0.567873831188167,0.0675312329422592,0.0833080754601453,1.66450682064287,1.39654683124984,0.160984614823952,,
"fixed_design","ET",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"strict_pass",TRUE,4,24000,0,0.166595954248126,0.230916641710497,0.955833333333333,2.47571501264814,2.52647639463412,2400,0.166595954248126,0.0659400398919034,0.979908230255471,0.810416666666667,0.0305622639673207,0.0104704942227918,0.39366226507838,0.050958234291322,0.0964684486662803,1.66450682064287,1.34777047133057,0.190288405781344,,
"fixed_design","SH",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"strict_pass",TRUE,4,24000,0,0.150572992203745,0.14629364620583,0.9525,2.36333201886969,2.37374985022585,2400,0.150572992203745,0.0634325441618958,0.995611234538816,0.809583333333333,0.0303977418714044,0.0260089764102198,0.627935337910248,0.0630785499680398,0.090113321465995,1.66450682064287,1.43114611354341,0.140198108055416,,
"dlm","RQR",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"strict_pass",TRUE,5,30000,0,0.185581984944549,0.242746071489401,0.960101867572156,2.34266550351582,2.46466983664177,1178,0.185176534827915,0.0751323897728333,0.950498711303179,0.925833333333333,0.0619511998036548,0.0128923118469503,,0.0563219898490956,0.0657773507991475,2.19586388481948,2.04444435827066,0.0689566997278893,0.910809292323635,0.300555944634599
"dlm","ET",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"strict_pass",TRUE,5,30000,0,0.162244163065538,0.195437251893093,0.953310696095076,2.04440839249405,2.13149822656729,1178,0.161044313555891,0.0755545144483875,0.959141493533636,0.870833333333333,0.0636260403839175,0.0233470634673175,,0.0571621253864939,0.0824867678774658,2.19586388481948,1.8635467737321,0.151337755215507,0.790865100597998,0.219721153308148
"dlm","SH",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"fail",FALSE,5,30000,0,0.157146467218251,0.179866298034553,0.955857385398981,2.02352812408067,2.00264827600082,1178,0.156083121308224,0.0779383595105945,1.01042611842033,0.8825,0.0448585178192502,0.055873821143594,,0.0993077688883162,0.0791728749452747,2.19586388481948,1.75441056761786,0.201038561749426,0.756929165587059,0.222541107308781
