"block","draws_per_chain","low_scale_endpoint_rmse_over_local_width","high_scale_endpoint_rmse_over_local_width","oracle_high_low_width_contrast","fitted_high_low_width_contrast","width_contrast_relative_error","seasonal_width_amplitude_ratio","seasonal_width_phase_error"
"first_half",6000,,,2.19586388481948,1.75441056761786,0.201038561749426,0.756929165587059,0.222541107308781
"second_half",6000,,,2.19586388481948,1.74746450274362,0.204201811039268,0.752425857304412,0.22599899668544
"quarter_1",3000,,,2.19586388481948,1.75841711054038,0.19921397555799,0.756399070171517,0.222993960356835
"quarter_2",3000,,,2.19586388481948,1.75045045895158,0.202842001704727,0.757459416013232,0.222088888196842
"quarter_3",3000,,,2.19586388481948,1.76648627352189,0.195539265555566,0.765827258894907,0.235181673778857
"quarter_4",3000,,,2.19586388481948,1.72879850483081,0.2127023369789,0.739090199086448,0.216484120535656
