"root","draw","maximum_mean_absolute_error","maximum_covariance_absolute_error","R_repair_count","cpp_repair_count"
"root1",0,1.88737914186277e-14,2.08721928629529e-14,0,0
"root2",0,4.21884749357559e-15,1.49880108324396e-14,0,0
"root1",0,1.85407245112401e-14,2.83106871279415e-14,0,0
"root2",0,5.77315972805081e-15,2.39808173319034e-14,0,0
"root1",0,4.21884749357559e-15,2.09277040141842e-14,0,0
"root2",0,1.08246744900953e-14,2.77555756156289e-14,0,0
"root1",0,9.76996261670138e-15,1.2490009027033e-14,0,0
"root2",0,2.55351295663786e-14,2.1316282072803e-14,0,0
"root1",0,5.10702591327572e-15,7.99360577730113e-15,0,0
"root2",0,4.66293670342566e-15,9.43689570931383e-15,0,0
