"dgp_id","coverage_level","method_id","replication","chain","seed","execution_authorized"
"static_gaussian_negative_control",0.8,"rqr_dlm_component_scale_fixed_rate",1,1,231651376,FALSE
"local_level_gaussian",0.8,"rqr_dlm_component_scale_fixed_rate",1,1,107754010,FALSE
"local_level_skewed",0.8,"rqr_dlm_component_scale_fixed_rate",1,1,235552905,FALSE
"trend_seasonal_gaussian",0.8,"rqr_dlm_component_scale_fixed_rate",1,1,94039847,FALSE
"trend_seasonal_skewed",0.8,"rqr_dlm_component_scale_fixed_rate",1,1,102291318,FALSE
"trend_regression_unequal_evolution",0.8,"rqr_dlm_component_scale_fixed_rate",1,1,259950728,FALSE
"structural_break_heavy_tail_stress",0.8,"rqr_dlm_component_scale_fixed_rate",1,1,7419644,FALSE
"static_gaussian_negative_control",0.9,"rqr_dlm_component_scale_fixed_rate",1,1,53312371,FALSE
"local_level_gaussian",0.9,"rqr_dlm_component_scale_fixed_rate",1,1,169669553,FALSE
"local_level_skewed",0.9,"rqr_dlm_component_scale_fixed_rate",1,1,139774940,FALSE
"trend_seasonal_gaussian",0.9,"rqr_dlm_component_scale_fixed_rate",1,1,22211267,FALSE
"trend_seasonal_skewed",0.9,"rqr_dlm_component_scale_fixed_rate",1,1,13079885,FALSE
"trend_regression_unequal_evolution",0.9,"rqr_dlm_component_scale_fixed_rate",1,1,190316545,FALSE
"structural_break_heavy_tail_stress",0.9,"rqr_dlm_component_scale_fixed_rate",1,1,52002000,FALSE
"static_gaussian_negative_control",0.8,"dynamic_equal_tailed_quantile_interval",1,1,103600420,FALSE
"local_level_gaussian",0.8,"dynamic_equal_tailed_quantile_interval",1,1,162071691,FALSE
"local_level_skewed",0.8,"dynamic_equal_tailed_quantile_interval",1,1,175697167,FALSE
"trend_seasonal_gaussian",0.8,"dynamic_equal_tailed_quantile_interval",1,1,37809756,FALSE
"trend_seasonal_skewed",0.8,"dynamic_equal_tailed_quantile_interval",1,1,215476585,FALSE
"trend_regression_unequal_evolution",0.8,"dynamic_equal_tailed_quantile_interval",1,1,128965047,FALSE
