"target","profile","initialization_digest","absolute_moment","mean_pilot_rmse","scale_pilot_relative_rmse","endpoint_rmse_over_oracle_width","mean_width_ratio","minimum_width","maximum_width","target_changed"
"RQR","moment_centered","43017a2d2816c0fa434f69ead344c7301b1bfa0ef92024f79c93c9b4f91bff81",0.73322058953751,0.0431272961431879,0.0729610626953806,0.0476525609303947,0.977435532758989,1.36921825792246,3.38271205557331,FALSE
"RQR","moment_narrow","c172cb5aef623479ad096cd1769ad10abe771356907d3cb24631bf7dd84b0b22",0.73322058953751,0.0431272961431879,0.0729610626953806,0.239937731696437,0.537589543017444,0.753070041857353,1.86049163056532,FALSE
"RQR","moment_wide","563ed1725fe27211f91192795fa420c5844493b503b2dfd57c2229027c0ab501",0.73322058953751,0.0431272961431879,0.0729610626953806,0.213563990145787,1.41728152250053,1.98536647398757,4.9049324805813,FALSE
"RQR","moment_shape_stress","8a188e51c291054afcde93022365d6bcb3caf01f749efcb058c49fc1d8bf818b",0.73322058953751,0.0431272961431879,0.0729610626953806,0.213201542017477,0.733076649569242,1.02691369344185,2.53703404167998,FALSE
"ET","moment_centered","bec84a9ac2b3bec20427bca60f22aa47699f4e315026b80b8c44dcc6032f4c74",0.73322058953751,0.0431272961431879,0.0729610626953806,0.0462004624624949,0.977435532758989,1.18412869952987,2.92544041395398,FALSE
"ET","moment_narrow","d568f21c3dca9a26267ec2cdcd467c49ea98edba4fc086c5c56d48f8ae8903cd",0.73322058953751,0.0431272961431879,0.0729610626953806,0.239653565089599,0.537589543017444,0.651270784741427,1.60899222767469,FALSE
"ET","moment_wide","8570f4ca4d0463c79c4f72be7ca76e403e895f51905144ae02cc14b391e332ed",0.73322058953751,0.0431272961431879,0.0729610626953806,0.213244681189269,1.41728152250053,1.71698661431831,4.24188860023327,FALSE
"ET","moment_shape_stress","32248b03914dcfa5c43b755983baa5d288a2dd0ecd7c41918b1560c66367c9a7",0.73322058953751,0.0431272961431879,0.0729610626953806,0.232458077445564,0.733076649569242,0.8880965246474,2.19408031046548,FALSE
"SH","moment_centered","82b4d5afbfc8329b0e6987a09cd59ebe1feab2a460dd1f463b7fde7eb846107a",0.73322058953751,0.0431272961431879,0.0729610626953806,0.043716141644008,0.977435532758989,1.11254762923056,2.74859632934491,FALSE
"SH","moment_narrow","cf80e431ccd9e767e2acee2236e1e681d6de3b2c70510c30fb5fe40ab49d46ad",0.73322058953751,0.0431272961431879,0.0729610626953806,0.239187059785109,0.537589543017444,0.611901196076806,1.5117279811397,FALSE
"SH","moment_wide","3f5fae1b49a047653fcdb95d054dac8e3b8d4e5142641b9245f867ee6b6b0dca",0.73322058953751,0.0431272961431879,0.0729610626953806,0.2127202678731,1.41728152250053,1.61319406238431,3.98546467755013,FALSE
"SH","moment_shape_stress","7dc272d08a99433bf126a6843d6c7586bef24814330b10b9770843fe3c284909",0.73322058953751,0.0431272961431879,0.0729610626953806,0.242152226766226,0.733076649569242,0.834410721922918,2.06144724700869,FALSE
