"initial_variance","coefficient_half_width","pass","selected"
0.25,0.979981992270027,FALSE,FALSE
0.5,1.38590382434968,FALSE,FALSE
1,1.95996398454005,TRUE,TRUE
2,2.77180764869936,FALSE,FALSE
