"family","target","chain","seed","n_draws","numerical_repair_count","elapsed_seconds","root_swap_fraction","profile","exact_joint_target","target_numerical_eligible","reproducibility_eligible","promotion_eligible","primary_runtime_source_match","worker_entry_provenance_match","fit_recorded_provenance_match","worker_exit_provenance_match"
"fixed_design","RQR",1,202608111,6000,0,95.974,0.758666666666667,"moment_centered",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"fixed_design","RQR",2,202618111,6000,0,91.227,0.749866666666667,"moment_narrow",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"fixed_design","RQR",3,202628111,6000,0,97.342,0.752533333333333,"moment_wide",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"fixed_design","RQR",4,202638111,6000,0,91.161,0.745066666666667,"moment_shape_stress",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","RQR",1,202608112,6000,0,1632.175,0.498823529411765,"default",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","RQR",2,202618112,6000,0,1670.906,0.498941176470588,"oracle_centered",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","RQR",3,202628112,6000,0,1606.876,0.506235294117647,"narrow",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","RQR",4,202638112,6000,0,1593.794,0.498588235294118,"wide",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","RQR",5,202648112,6000,0,1567.052,0.497764705882353,"trend_seasonal_stress",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"fixed_design","ET",1,202608211,6000,0,92.391,0.746666666666667,"moment_centered",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"fixed_design","ET",2,202618211,6000,0,91.117,0.762266666666667,"moment_narrow",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"fixed_design","ET",3,202628211,6000,0,93.095,0.7468,"moment_wide",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"fixed_design","ET",4,202638211,6000,0,91.332,0.752533333333333,"moment_shape_stress",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","ET",1,202608212,6000,0,1613.717,0.505529411764706,"default",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","ET",2,202618212,6000,0,1616.714,0.502941176470588,"oracle_centered",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","ET",3,202628212,6000,0,1628.351,0.504235294117647,"narrow",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","ET",4,202638212,6000,0,1627.053,0.494823529411765,"wide",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","ET",5,202648212,6000,0,1692.101,0.496588235294118,"trend_seasonal_stress",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"fixed_design","SH",1,202608311,6000,0,113.75,0.748133333333333,"moment_centered",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"fixed_design","SH",2,202618311,6000,0,102.416,0.746666666666667,"moment_narrow",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"fixed_design","SH",3,202628311,6000,0,103.168,0.746266666666667,"moment_wide",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"fixed_design","SH",4,202638311,6000,0,110.954,0.7548,"moment_shape_stress",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","SH",1,202608312,6000,0,1876.441,0.495764705882353,"default",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","SH",2,202618312,6000,0,1902.694,0.498470588235294,"oracle_centered",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","SH",3,202628312,6000,0,1876.145,0.501764705882353,"narrow",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","SH",4,202638312,6000,0,1878.776,0.494,"wide",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","SH",5,202648312,6000,0,1858.115,0.506235294117647,"trend_seasonal_stress",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
