"response_sd","oracle_mean_width","maximum_endpoint_over_response_sd","median_maximum_width_over_oracle_width","maximum_width_over_oracle_width","remote_draw_fraction"
0.710443985567149,2.4646698367365,4.53701428205533,1.3795398297754,1.89602892099068,0
0.710443985567149,2.4646698367365,4.52792836250055,1.38614232425486,1.9536053145497,0
0.710443985567149,2.4646698367365,4.52587502102853,1.37209758203202,1.85815504374091,0
0.710443985567149,2.4646698367365,4.63484024258857,1.38811840333709,1.89946867339625,0
0.710443985567149,2.4646698367365,4.41231237384415,1.39048956822832,1.79176562479552,0
0.710443985567149,2.13149822656729,3.71684212620879,1.34985027471369,1.72761228164637,0
0.710443985567149,2.13149822656729,3.58632974216024,1.35621470385794,1.71730074997502,0
0.710443985567149,2.13149822656729,3.67765983454109,1.35286452900378,1.71621196474777,0
0.710443985567149,2.13149822656729,3.41342494018906,1.34602300780078,1.69420306871533,0
0.710443985567149,2.13149822656729,3.37949632871988,1.34757408177807,1.74256952028293,0
0.710443985567149,2.00264827600082,4.88133962881174,1.42493506307086,1.9168566134844,0
0.710443985567149,2.00264827600082,4.99454467059027,1.42176502923612,1.95463066528898,0
0.710443985567149,2.00264827600082,4.54396570856942,1.41920580112207,1.94270578225924,0
0.710443985567149,2.00264827600082,4.67786872077711,1.42913789507236,1.92722381655497,0
0.710443985567149,2.00264827600082,5.08553698853154,1.41922471709904,1.92978856139811,0
