"family","target","endpoint","error","density","q025","median","q975","mean_error","rmse"
"fixed_design","RQR","lower",-4.26727028067411,7.04073901545748e-08,-0.565439739067701,0.115773009151907,0.683707371251807,0.100164865727567,0.34395317460125
"fixed_design","RQR","lower",-4.25487826486539,3.47305947939701e-07,-0.565439739067701,0.115773009151907,0.683707371251807,0.100164865727567,0.34395317460125
"fixed_design","RQR","lower",-4.24248624905667,5.68647177725776e-07,-0.565439739067701,0.115773009151907,0.683707371251807,0.100164865727567,0.34395317460125
"fixed_design","RQR","lower",-4.23009423324795,4.21727503020049e-07,-0.565439739067701,0.115773009151907,0.683707371251807,0.100164865727567,0.34395317460125
"fixed_design","RQR","lower",-4.21770221743924,4.37673621359165e-07,-0.565439739067701,0.115773009151907,0.683707371251807,0.100164865727567,0.34395317460125
"fixed_design","RQR","lower",-4.20531020163052,5.60640931260423e-07,-0.565439739067701,0.115773009151907,0.683707371251807,0.100164865727567,0.34395317460125
"fixed_design","RQR","lower",-4.1929181858218,4.16278326207612e-07,-0.565439739067701,0.115773009151907,0.683707371251807,0.100164865727567,0.34395317460125
"fixed_design","RQR","lower",-4.18052617001308,4.59335314402707e-07,-0.565439739067701,0.115773009151907,0.683707371251807,0.100164865727567,0.34395317460125
"fixed_design","RQR","lower",-4.16813415420436,5.54757672765415e-07,-0.565439739067701,0.115773009151907,0.683707371251807,0.100164865727567,0.34395317460125
"fixed_design","RQR","lower",-4.15574213839564,4.04262382798714e-07,-0.565439739067701,0.115773009151907,0.683707371251807,0.100164865727567,0.34395317460125
"fixed_design","RQR","lower",-4.14335012258693,4.82503317633404e-07,-0.565439739067701,0.115773009151907,0.683707371251807,0.100164865727567,0.34395317460125
"fixed_design","RQR","lower",-4.13095810677821,5.54671753163963e-07,-0.565439739067701,0.115773009151907,0.683707371251807,0.100164865727567,0.34395317460125
"fixed_design","RQR","lower",-4.11856609096949,3.84934298376959e-07,-0.565439739067701,0.115773009151907,0.683707371251807,0.100164865727567,0.34395317460125
"fixed_design","RQR","lower",-4.10617407516077,5.06406762545489e-07,-0.565439739067701,0.115773009151907,0.683707371251807,0.100164865727567,0.34395317460125
"fixed_design","RQR","lower",-4.09378205935205,5.61903854864614e-07,-0.565439739067701,0.115773009151907,0.683707371251807,0.100164865727567,0.34395317460125
"fixed_design","RQR","lower",-4.08139004354333,3.57544822472766e-07,-0.565439739067701,0.115773009151907,0.683707371251807,0.100164865727567,0.34395317460125
"fixed_design","RQR","lower",-4.06899802773461,5.30453734629751e-07,-0.565439739067701,0.115773009151907,0.683707371251807,0.100164865727567,0.34395317460125
"fixed_design","RQR","lower",-4.0566060119259,5.83369902236037e-07,-0.565439739067701,0.115773009151907,0.683707371251807,0.100164865727567,0.34395317460125
"fixed_design","RQR","lower",-4.04421399611718,3.34182310759164e-07,-0.565439739067701,0.115773009151907,0.683707371251807,0.100164865727567,0.34395317460125
"fixed_design","RQR","lower",-4.03182198030846,5.39331629456903e-07,-0.565439739067701,0.115773009151907,0.683707371251807,0.100164865727567,0.34395317460125
"fixed_design","RQR","lower",-4.01942996449974,6.02873090400152e-07,-0.565439739067701,0.115773009151907,0.683707371251807,0.100164865727567,0.34395317460125
"fixed_design","RQR","lower",-4.00703794869102,3.4573986810347e-07,-0.565439739067701,0.115773009151907,0.683707371251807,0.100164865727567,0.34395317460125
"fixed_design","RQR","lower",-3.9946459328823,5.26477354792211e-07,-0.565439739067701,0.115773009151907,0.683707371251807,0.100164865727567,0.34395317460125
"fixed_design","RQR","lower",-3.98225391707359,5.64862472308056e-07,-0.565439739067701,0.115773009151907,0.683707371251807,0.100164865727567,0.34395317460125
"fixed_design","RQR","lower",-3.96986190126487,3.83440387184e-07,-0.565439739067701,0.115773009151907,0.683707371251807,0.100164865727567,0.34395317460125
"fixed_design","RQR","lower",-3.95746988545615,5.40984316943908e-07,-0.565439739067701,0.115773009151907,0.683707371251807,0.100164865727567,0.34395317460125
"fixed_design","RQR","lower",-3.94507786964743,5.16364972636279e-07,-0.565439739067701,0.115773009151907,0.683707371251807,0.100164865727567,0.34395317460125
