"family","n_index","n_observed","n_missing","dgp_seed","dgp_digest","target_digest"
"fixed_design",2400,2400,0,202608011,"65c1f8dbc6034028ad9f5fb86c7e6486770d4653c1d4cbb8b5b1f19feb9f5ee6","8db239bc92c4980c090c77183da12eebbe5003eb1d54b63da9b16508793d2162"
"dlm",1200,1178,22,202608012,"0080f129e651bc8228597f96ff077d4b6fca62a79dbf741b9c80e53605371e55","8197bc007a57e30328a03371e25d40d35511e8d5d451c29e07f75001806ebc93"
