"target","u","lower_innovation","upper_innovation","width_innovation","truncated_first_moment_innovation","conditional_retained_mean_innovation","population_mean_innovation","delta_innovation","content","coverage_level","law_family","law_tau","law_standardized","oracle_schema","tilt_definition","oracle_construction","oracle_certificate_digest","oracle_distribution_digest","oracle_solver_digest","content_residual","retained_mean_residual","unique_minimizer","uses_cornish_fisher"
"RQR",0.0120825038669297,-3.3400582914936,1.13092051113505,4.47097880262865,3.2612801348364e-16,0,0,0,0.95,0.95,"asymmetric_laplace",0.8,TRUE,"rqrgibbs_interval_oracle/2.0.0","conditional_retained_mean_minus_population_mean","direct_retained_mean_balance_root","112417d0ef524aec1fea9b330bccd20a9ea4906d9be7869c21b0c61f9e740a47","80fed24bcf127171d4769076d5057bbbb23195b0dc4efd56bf3dae4811832021","5c1f8cab64f2178f3bd1517cb2706bb29727d736a060244bf6f5fa98a79f1b79",0,3.2612801348364e-16,TRUE,FALSE
"ET",0.025,-2.63465081847657,1.23194552914683,3.8665963476234,0.0532578041109683,0.0560608464325982,0,0.0560608464325982,0.95,0.95,"asymmetric_laplace",0.8,TRUE,"rqrgibbs_interval_oracle/2.0.0","conditional_retained_mean_minus_population_mean","equal_tail_probabilities","8af682bff01bd28ea7556fec1cc9ba7328b5d8e1266e17d170e154ebbda1ee3b","80fed24bcf127171d4769076d5057bbbb23195b0dc4efd56bf3dae4811832021","0f99bd7c71d2c897396f307d37cdcbbf137210029c37a7b4c4bec613664e2081",0,0,TRUE,FALSE
"SH",0.04,-2.17868032252273,1.45417867451693,3.63285899703966,0.10898576991119,0.11472186306441,0,0.11472186306441,0.95,0.95,"asymmetric_laplace",0.8,TRUE,"rqrgibbs_interval_oracle/2.0.0","conditional_retained_mean_minus_population_mean","analytic_asymmetric_laplace_shortest_window","7ff71fc60689a83633d95ac24ba8bf47c47c58a2fa54814a993b97a6bdf9d87e","80fed24bcf127171d4769076d5057bbbb23195b0dc4efd56bf3dae4811832021","f8684454a19aeb1b5c0df0c42846df9b268f3dc994cddd866d524d347ece994c",0,0,TRUE,FALSE
