"family","target","endpoint","mean_error","median_error","q025_error","q25_error","q75_error","q975_error","rmse","mean_abs_error"
"fixed_design","RQR","lower",0.100164865727567,0.115773009151907,-0.565439739067701,-0.107883630433416,0.329371829755011,0.683707371251807,0.34395317460125,0.274930497670909
"fixed_design","RQR","upper",0.0256889738811858,0.0225671341052834,-0.108983253650917,-0.0202208637439253,0.0671048794223102,0.178278977340706,0.0783204312976351,0.0583198657229948
"dlm","RQR","lower",0.152072626991327,0.159211364772114,-0.488821027651871,-0.0618998564054857,0.375934826705442,0.739474583533424,0.351370023357347,0.284567034114546
"dlm","RQR","upper",0.0320790128357495,0.0251918206241151,-0.144885795986719,-0.0370237686238503,0.0934565282577661,0.248938088338473,0.104995471080038,0.0811787823290408
"fixed_design","ET","lower",0.0945588967804473,0.0917106878688423,-0.445416150371909,-0.108006155124653,0.300370670504533,0.620052736024088,0.302603039625055,0.243919989123011
"fixed_design","ET","upper",0.031253774031704,0.0213208834103014,-0.139165296083221,-0.0350161321899106,0.084909777231946,0.257689557146796,0.108580455122662,0.0782629394926161
"dlm","ET","lower",0.148329157876721,0.149203661203715,-0.323267094810629,-0.0193644568689276,0.31671779143043,0.614814597063416,0.283792637068853,0.229327858629051
"dlm","ET","upper",0.0556500245228303,0.0459292266223602,-0.169219934358952,-0.0349730084848084,0.135329606477687,0.337240920850455,0.140506329158022,0.108425389820267
"fixed_design","SH","lower",0.0965741759587212,0.0918989885736924,-0.345406372716742,-0.066838711307374,0.264801716885365,0.530260034256975,0.251062457802048,0.201899058606465
"fixed_design","SH","upper",0.0996515667670227,0.0686884564858706,-0.213803278476769,-0.043181218490309,0.205403153309051,0.584884230092979,0.236751783357365,0.166182527269523
"dlm","SH","lower",0.106450933726238,0.104259523634774,-0.304231910169035,-0.0500564782892704,0.263637222269843,0.520681349259834,0.242102840816955,0.195550808732531
"dlm","SH","upper",0.151741310253701,0.128835091492106,-0.206176530129728,-0.00202751897775892,0.27936644625685,0.643171489409197,0.265440538262971,0.201519197890835
