"target","endpoint","max_absolute_residual","root_mean_square_residual"
"RQR","lower",5.55111512312578e-15,5.69126933077005e-16
"RQR","upper",2.4980018054066e-15,3.10169592386432e-16
"ET","lower",3.99680288865056e-15,4.63997078349172e-16
"ET","upper",2.33146835171283e-15,2.90971824373069e-16
"SH","lower",3.10862446895044e-15,4.63515342755199e-16
"SH","upper",2.66453525910038e-15,2.61705790310988e-16
