"target","endpoint","innovation_quantile","max_absolute_residual","root_mean_square_residual"
"RQR","lower",-3.3400582914936,6.66133814775094e-16,1.99505769801284e-16
"RQR","upper",1.13092051113505,4.44089209850063e-16,1.23771922318045e-16
"ET","lower",-2.63465081847657,4.44089209850063e-16,1.54835318799466e-16
"ET","upper",1.23194552914683,4.44089209850063e-16,1.15982665450043e-16
"SH","lower",-2.17868032252273,4.44089209850063e-16,1.13820423295843e-16
"SH","upper",1.45417867451693,4.44089209850063e-16,1.35206978488995e-16
