"root","draw","maximum_mean_absolute_error","maximum_covariance_absolute_error","R_repair_count","cpp_repair_count"
"root1",0,7.57172102794357e-14,5.91193760612896e-14,0,0
"root2",0,1.49880108324396e-14,4.16333634234434e-14,0,0
"root1",0,3.29736238313671e-14,4.0911718457437e-14,0,0
"root2",0,4.32986979603811e-15,5.55111512312578e-15,0,0
"root1",0,1.82076576038526e-14,1.60427227058335e-14,0,0
"root2",0,1.15463194561016e-14,2.20379270388094e-14,0,0
"root1",0,8.99280649946377e-15,8.32667268468867e-15,0,0
"root2",0,2.38697950294409e-15,3.19744231092045e-14,0,0
"root1",0,9.10382880192628e-15,1.34725564038263e-13,0,0
"root2",0,7.99360577730113e-15,7.99360577730113e-15,0,0
"root1",0,7.105427357601e-15,2.29261054585095e-14,0,0
"root2",0,1.46549439250521e-14,1.26010313294955e-14,0,0
"root1",0,1.08801856413265e-14,2.61457522299224e-14,0,0
"root2",0,7.54951656745106e-15,8.32667268468867e-15,0,0
"root1",0,4.55191440096314e-15,1.90403248723214e-14,0,0
"root2",0,1.04360964314765e-14,1.38222766565832e-14,0,0
"root1",0,1.13242748511766e-14,1.49880108324396e-14,0,0
"root2",0,5.55111512312578e-15,1.73749903353837e-14,0,0
"root1",0,9.43689570931383e-15,2.4980018054066e-14,0,0
"root2",0,6.43929354282591e-15,1.00752739484733e-14,0,0
"root1",0,1.21014309684142e-14,2.75335310107039e-14,0,0
"root2",0,3.10862446895044e-15,6.82787160144471e-15,0,0
"root1",0,1.59872115546023e-14,7.19424519957101e-14,0,0
"root2",0,6.60582699651968e-15,1.11022302462516e-14,0,0
"root1",0,3.33066907387547e-15,1.17683640610267e-14,0,0
"root2",0,3.54161144855425e-14,4.05231403988182e-14,0,0
"root1",0,3.77475828372553e-15,1.15463194561016e-14,0,0
"root2",0,1.53210777398272e-14,1.74860126378462e-14,0,0
"root1",0,4.44089209850063e-15,1.16573417585641e-14,0,0
"root2",0,1.25455201782643e-14,2.28705943072782e-14,0,0
