"family","target","chain","profile","n_burn","n_mcmc","cell","learning_rate_mode","tilt_source","cornish_fisher_used","seed"
"fixed_design","RQR",1,"moment_centered",1500,6000,"fixed_design/RQR","fixed_rate","exact_population_oracle",FALSE,202608111
"fixed_design","RQR",2,"moment_narrow",1500,6000,"fixed_design/RQR","fixed_rate","exact_population_oracle",FALSE,202618111
"fixed_design","RQR",3,"moment_wide",1500,6000,"fixed_design/RQR","fixed_rate","exact_population_oracle",FALSE,202628111
"fixed_design","RQR",4,"moment_shape_stress",1500,6000,"fixed_design/RQR","fixed_rate","exact_population_oracle",FALSE,202638111
"dlm","RQR",1,"default",2500,6000,"dlm/RQR","fixed_rate","exact_population_oracle",FALSE,202608112
"dlm","RQR",2,"oracle_centered",2500,6000,"dlm/RQR","fixed_rate","exact_population_oracle",FALSE,202618112
"dlm","RQR",3,"narrow",2500,6000,"dlm/RQR","fixed_rate","exact_population_oracle",FALSE,202628112
"dlm","RQR",4,"wide",2500,6000,"dlm/RQR","fixed_rate","exact_population_oracle",FALSE,202638112
"dlm","RQR",5,"trend_seasonal_stress",2500,6000,"dlm/RQR","fixed_rate","exact_population_oracle",FALSE,202648112
"fixed_design","ET",1,"moment_centered",1500,6000,"fixed_design/ET","fixed_rate","exact_population_oracle",FALSE,202608211
"fixed_design","ET",2,"moment_narrow",1500,6000,"fixed_design/ET","fixed_rate","exact_population_oracle",FALSE,202618211
"fixed_design","ET",3,"moment_wide",1500,6000,"fixed_design/ET","fixed_rate","exact_population_oracle",FALSE,202628211
"fixed_design","ET",4,"moment_shape_stress",1500,6000,"fixed_design/ET","fixed_rate","exact_population_oracle",FALSE,202638211
"dlm","ET",1,"default",2500,6000,"dlm/ET","fixed_rate","exact_population_oracle",FALSE,202608212
"dlm","ET",2,"oracle_centered",2500,6000,"dlm/ET","fixed_rate","exact_population_oracle",FALSE,202618212
"dlm","ET",3,"narrow",2500,6000,"dlm/ET","fixed_rate","exact_population_oracle",FALSE,202628212
"dlm","ET",4,"wide",2500,6000,"dlm/ET","fixed_rate","exact_population_oracle",FALSE,202638212
"dlm","ET",5,"trend_seasonal_stress",2500,6000,"dlm/ET","fixed_rate","exact_population_oracle",FALSE,202648212
"fixed_design","SH",1,"moment_centered",1500,6000,"fixed_design/SH","fixed_rate","exact_population_oracle",FALSE,202608311
"fixed_design","SH",2,"moment_narrow",1500,6000,"fixed_design/SH","fixed_rate","exact_population_oracle",FALSE,202618311
"fixed_design","SH",3,"moment_wide",1500,6000,"fixed_design/SH","fixed_rate","exact_population_oracle",FALSE,202628311
"fixed_design","SH",4,"moment_shape_stress",1500,6000,"fixed_design/SH","fixed_rate","exact_population_oracle",FALSE,202638311
"dlm","SH",1,"default",2500,6000,"dlm/SH","fixed_rate","exact_population_oracle",FALSE,202608312
"dlm","SH",2,"oracle_centered",2500,6000,"dlm/SH","fixed_rate","exact_population_oracle",FALSE,202618312
"dlm","SH",3,"narrow",2500,6000,"dlm/SH","fixed_rate","exact_population_oracle",FALSE,202628312
"dlm","SH",4,"wide",2500,6000,"dlm/SH","fixed_rate","exact_population_oracle",FALSE,202638312
"dlm","SH",5,"trend_seasonal_stress",2500,6000,"dlm/SH","fixed_rate","exact_population_oracle",FALSE,202648312
