"family","target","path","cell_receipt_sha256","artifact_manifest_sha256","cell_contract_digest","completion_eligible","manuscript_illustration_evidence_eligible"
"fixed_design","RQR","cells/fixed_design_rqr","ec86bca674908e562ba97832908578b86768f5f9320f8a8e85f8edfe06f3dc28","292f081a3724a19fb0fe2808a82a6c7384d46460274e4889e49cef7760930811","c7dfc43d2928223db17c107d5573ee869e225a08c1d03d3aecd68150a9fee2e2",TRUE,TRUE
"dlm","RQR","cells/dlm_rqr","ede19051d6fa09712bb99a7399c18a6669eb36cac327559da7e9f627f91959bc","3144ccc0eb90d969c0f2236ab8b5e290c222ec3dab5e509ae54409aa57a68e2e","587c195e444ac48329b1c09b26d05d8a8928d7ba1eef5fae54fcea8e8c2bde3d",TRUE,TRUE
"fixed_design","ET","cells/fixed_design_et","41815cd472f59eb84a000e850801f440c0598bcd456612104b43208fe061610d","57aafd0fbef32a368de582d9daa6babab1202e2af9706b60b50a68e9254b1fd3","ec4cadaeb55f0a0730749bff0a3af90652b5c72daffe1cd0023cc5f8d2aee147",TRUE,TRUE
"dlm","ET","cells/dlm_et","237fc1f482b7d8c81bc59ac008f14f54a7795bd5b03432fd0406aa98b8b3817a","d7f4c7fc282d17f61ac3d98c7c1b33922e067f4af3e927cce03b6668a530f060","bbda94ca5ab4a8dd9accd38e9543f8752336d8bc67ac43f78e0403b4d3c0c0cf",TRUE,TRUE
"fixed_design","SH","cells/fixed_design_sh","259bf57500225c3fad8bab9a2e2e82b07db8870ca180c3287eb442e2d8f9c160","b3de9e65430e0a7d9f342dfc24b08fc0d0083f0489c9fe3e6764124706ad8d8d","d4af35aa94bcd6677a4d6afae2921e0ae5c66aa19561fc7e89bd2655cb55be76",TRUE,TRUE
"dlm","SH","cells/dlm_sh","dcfce3b9f0d78e52f1f6ff3d576769eee117f28b5a52238f8cac2bd4254f086b","12a4a775c206706d3dfd7854af8dfd3496ae878a66479051997bcf3ddedb2824","1e869e8c9acc80b31a85362ee510901647642edc4a6364d1503325a8ca85a5da",TRUE,TRUE
