"family","target","provenance_pass","provenance_snapshots_pass","strict_diagnostics_pass","conditional_parity_pass","pathology_pass","computational_pass","recovery_pass","endpoint_summary_joint_inclusion_gate_applied","heterogeneity_pass","disposition","manuscript_illustration_evidence_eligible","n_chains","retained_draws","numerical_repair_count","endpoint_rmse","width_rmse","realized_coverage","mean_width","oracle_mean_width","n_observed","endpoint_rmse_all","endpoint_rmse_over_oracle_width","mean_width_ratio","endpoint_summary_joint_inclusion","lower_bias_over_oracle_width","upper_bias_over_oracle_width","static_edge_center_rmse_ratio","low_scale_endpoint_rmse_over_local_width","high_scale_endpoint_rmse_over_local_width","oracle_high_low_width_contrast","fitted_high_low_width_contrast","width_contrast_relative_error","seasonal_width_amplitude_ratio","seasonal_width_phase_error","strict_computational_pass","hard_computational_pass","broad_recovery_pass","broad_heterogeneity_pass","completion_eligible","diagnostic_warning_count","diagnostic_rows","warning_codes","strict_pass"
"fixed_design","RQR",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"strict_pass",TRUE,4,24000,0,0.176676726322966,0.248002412119029,0.9525,2.84691061716788,2.92138650901426,2400,0.176676726322966,0.0604770117811562,0.974506662635506,0.8575,0.034286755764257,0.00879341839976317,0.565399831136261,0.0672748131037194,0.083291932264346,1.66450682064287,1.39723088164328,0.16057365201806,,,TRUE,TRUE,TRUE,TRUE,TRUE,0,93,"none",TRUE
"dlm","RQR",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"strict_pass",TRUE,5,30000,0,0.185380729876098,0.24230132468379,0.960950764006791,2.34358959013837,2.4646698367365,1178,0.184975841080238,0.0750509615215506,0.950873644496556,0.925833333333333,0.0617010135494206,0.0130155416184367,,0.056252308704855,0.0656984689954075,2.19586388481948,2.04390402783103,0.0692027670927045,0.910884974507847,0.300669599602661,TRUE,TRUE,TRUE,TRUE,TRUE,0,137,"none",TRUE
"fixed_design","ET",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"strict_pass",TRUE,4,24000,0,0.171861986640084,0.233577615428286,0.955833333333333,2.46317127188538,2.52647639463412,2400,0.171861986640084,0.0680243785396511,0.974943315170807,0.7925,0.0374271839552023,0.0123704991260091,0.354585317205945,0.048369354082942,0.100821337722963,1.66450682064287,1.34878019337451,0.189681786432347,,,TRUE,TRUE,TRUE,TRUE,TRUE,0,93,"none",TRUE
"dlm","ET",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"strict_pass",TRUE,5,30000,0,0.169823204961985,0.200111465656513,0.954159592529711,2.0375663931855,2.13149822656729,1178,0.168566765994806,0.0790836998566388,0.955931545139934,0.805,0.0695891537829707,0.026108407611698,,0.057141853286022,0.0868834361358712,2.19586388481948,1.85821426303223,0.153766189298663,0.784431450843892,0.217495613831479,TRUE,TRUE,TRUE,TRUE,TRUE,0,137,"none",TRUE
"fixed_design","SH",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"strict_pass",TRUE,4,24000,0,0.171099437886006,0.13741539334417,0.952916666666667,2.37682724103416,2.37374985022585,2400,0.171099437886006,0.0720798098711735,1.00129642590941,0.792916666666667,0.040684226246305,0.0419806521557194,0.695210011386482,0.070258907848552,0.102480371877965,1.66450682064287,1.44578669528514,0.131402360534192,,,TRUE,TRUE,TRUE,TRUE,TRUE,0,93,"none",TRUE
"dlm","SH",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"diagnostic_aware_pass",TRUE,5,30000,0,0.179495435896536,0.181787142556104,0.955857385398981,2.04676087157497,2.00264827600082,1178,0.178399210530399,0.0890816488687931,1.02202713082611,0.830833333333333,0.0531550821988646,0.0757703247605318,,0.111973651151065,0.0889695652194714,2.19586388481948,1.74021465499893,0.207503403544527,0.753025336008429,0.209508830694186,FALSE,TRUE,TRUE,TRUE,TRUE,5,137,"mcmc_diagnostic_warning|strict_heterogeneity_warning",FALSE
