"mode","runner_status","elapsed_seconds","peak_processes","peak_rss_kib","peak_threads","ceiling_reason","telemetry_role","numerical_threads_per_worker","sampled_process_group_thread_ceiling","max_process_group_rss_kib","max_wave_seconds"
"preflight",0,116,1,542492,1,"none","sampled_process_group_telemetry",1,2,1572864,1209600
"oracle-reference",0,109,1,791388,2,"none","sampled_process_group_telemetry",1,4,1572864,1209600
