"DGP","replication","sentinel","chains","diagnostics","diagnostics_passed","all_pass","fit_elapsed_seconds","maximum_peak_RSS_KiB","log_q_1_rhat","log_q_1_ess_bulk","log_q_1_ess_tail","log_q_1_mcse_over_sd"
"S03",13,FALSE,1,46,46,TRUE,2101.202,635344,NA,290.328798942722,608.204809560162,0.0587462270148557
"S03",103,FALSE,1,46,46,TRUE,2052.749,646828,NA,660.998143858579,1253.44613117462,0.0390323942062468
"S03",192,FALSE,1,46,46,TRUE,2150.011,636888,NA,748.04800219506,1496.82459594047,0.0366794991099542
"S04",193,TRUE,4,46,46,TRUE,8359.885,668224,1.00024366658693,2309.70667092517,5937.50784511405,0.0208111265510885
"S04",16,TRUE,4,46,46,TRUE,8018.737,668032,1.00017866504272,3053.52114657812,6755.7011315876,0.0180987645814083
"S03",20,TRUE,4,46,46,TRUE,7910.832,668224,0.999969318651589,2954.83321222732,6495.72986811119,0.0183935296800649
"S03",117,FALSE,1,46,46,TRUE,2010.262,658268,NA,769.237447500095,1492.78195915233,0.0360577550370904
"S03",28,TRUE,4,46,46,TRUE,8046.589,674952,1.00008868205462,4199.96186079333,8376.69409891407,0.015438678420383
"S04",39,FALSE,1,46,46,TRUE,1977.507,659840,NA,482.216776335142,1356.54697400182,0.0456242922180476
"S03",121,TRUE,4,46,46,TRUE,7834.93,682088,0.999990169153547,2821.3234927873,6271.59327843213,0.0188397293101003
"S03",55,FALSE,1,46,46,TRUE,1966.938,674952,NA,359.106734809864,677.591231213173,0.0527342495767527
"S04",91,FALSE,1,46,46,TRUE,1964.421,669776,NA,763.92928695981,1477.93418098207,0.0362102602177463
"S03",165,FALSE,1,46,46,TRUE,1918.338,667728,NA,476.402921407956,934.395801041805,0.0458954392154365
"S03",89,FALSE,1,46,46,TRUE,2004.489,659840,NA,823.295511319099,1434.17387687135,0.0349003932940582
"S04",96,TRUE,4,46,46,TRUE,7912.421,685016,1.00003052314442,4011.7928534641,6545.14735477128,0.0158171070381545
"S03",166,FALSE,1,46,46,TRUE,1847.285,674952,NA,772.721118056423,1435.20821405903,0.0360188986497693
"S03",90,FALSE,1,46,46,TRUE,1855.337,669776,NA,747.367468420159,1794.12970491145,0.0366049294976354
"S04",150,FALSE,1,46,46,TRUE,1863.061,667728,NA,747.981311743996,1630.68405131618,0.0365539069811688
"S03",168,FALSE,1,46,46,TRUE,1827.224,659840,NA,469.282528658259,891.360455666572,0.0462051669296742
"S03",94,FALSE,1,46,46,TRUE,1862.392,672284,NA,291.56408297936,676.752371606267,0.0586618948620354
"S04",164,FALSE,1,46,46,TRUE,1919.648,695592,NA,886.748938759872,1534.79110117857,0.0341359538394559
"S03",183,TRUE,4,46,46,TRUE,7456.85,693568,1.00141614249216,1891.62863692425,3463.70295652387,0.0230080340888617
"S03",97,FALSE,1,46,46,TRUE,1884.603,667844,NA,629.214532031444,1306.32147600157,0.0399904144233391
"S04",180,TRUE,4,46,46,TRUE,7392.911,700796,1.00030410270561,2232.39615945145,3546.84554829221,0.0212805464039363
"S03",185,FALSE,1,46,46,TRUE,1734.142,693784,NA,654.465708244571,1633.9546620204,0.0389793416610925
