"estimand","chains","rhat","ess_bulk","ess_tail","mcse_mean","mcse_over_sd","pass","DGP","replication","sentinel","candidate_id","candidate_order","case_role"
"future_h01_lower",1,NA,340.316946415331,1597.13452595368,0.0412270567030482,0.0552848355381842,TRUE,"S03",13,FALSE,"current_rootwise1_ASIS2",1,"persistent_hard"
"future_h01_midpoint",1,NA,550.786896378368,1731.89189442452,0.0175837631070838,0.0437091165636466,TRUE,"S03",13,FALSE,"current_rootwise1_ASIS2",1,"persistent_hard"
"future_h01_upper",1,NA,2160.7220274076,2617.92416089991,0.00900788588622178,0.0225549687668111,TRUE,"S03",13,FALSE,"current_rootwise1_ASIS2",1,"persistent_hard"
"future_h01_width",1,NA,355.51323400934,1070.47782232667,0.0479425412026528,0.054150792948385,TRUE,"S03",13,FALSE,"current_rootwise1_ASIS2",1,"persistent_hard"
"future_h05_lower",1,NA,340.316946415331,1597.13452595368,0.0412270567030482,0.0552848355381842,TRUE,"S03",13,FALSE,"current_rootwise1_ASIS2",1,"persistent_hard"
"future_h05_midpoint",1,NA,550.786896378368,1731.89189442452,0.0175837631070838,0.0437091165636466,TRUE,"S03",13,FALSE,"current_rootwise1_ASIS2",1,"persistent_hard"
"future_h05_upper",1,NA,2160.7220274076,2617.92416089991,0.00900788588622178,0.0225549687668111,TRUE,"S03",13,FALSE,"current_rootwise1_ASIS2",1,"persistent_hard"
"future_h05_width",1,NA,355.51323400934,1070.47782232667,0.0479425412026528,0.054150792948385,TRUE,"S03",13,FALSE,"current_rootwise1_ASIS2",1,"persistent_hard"
"future_h10_lower",1,NA,340.316946415331,1597.13452595368,0.0412270567030482,0.0552848355381842,TRUE,"S03",13,FALSE,"current_rootwise1_ASIS2",1,"persistent_hard"
"future_h10_midpoint",1,NA,550.786896378368,1731.89189442452,0.0175837631070838,0.0437091165636466,TRUE,"S03",13,FALSE,"current_rootwise1_ASIS2",1,"persistent_hard"
"future_h10_upper",1,NA,2160.7220274076,2617.92416089991,0.00900788588622178,0.0225549687668111,TRUE,"S03",13,FALSE,"current_rootwise1_ASIS2",1,"persistent_hard"
"future_h10_width",1,NA,355.51323400934,1070.47782232667,0.0479425412026528,0.054150792948385,TRUE,"S03",13,FALSE,"current_rootwise1_ASIS2",1,"persistent_hard"
"future_h20_lower",1,NA,340.316946415331,1597.13452595368,0.0412270567030482,0.0552848355381842,TRUE,"S03",13,FALSE,"current_rootwise1_ASIS2",1,"persistent_hard"
"future_h20_midpoint",1,NA,550.786896378368,1731.89189442452,0.0175837631070838,0.0437091165636466,TRUE,"S03",13,FALSE,"current_rootwise1_ASIS2",1,"persistent_hard"
"future_h20_upper",1,NA,2160.7220274076,2617.92416089991,0.00900788588622178,0.0225549687668111,TRUE,"S03",13,FALSE,"current_rootwise1_ASIS2",1,"persistent_hard"
"future_h20_width",1,NA,355.51323400934,1070.47782232667,0.0479425412026528,0.054150792948385,TRUE,"S03",13,FALSE,"current_rootwise1_ASIS2",1,"persistent_hard"
"log_q_1",1,NA,117.728370364498,318.809415011155,0.0548756351538229,0.0923454256542592,FALSE,"S03",13,FALSE,"current_rootwise1_ASIS2",1,"persistent_hard"
"mean_lower",1,NA,635.590394221825,1639.95005338611,0.00598758120664142,0.0401507364589621,TRUE,"S03",13,FALSE,"current_rootwise1_ASIS2",1,"persistent_hard"
"mean_midpoint",1,NA,1000.63006928221,1985.93964249306,0.00293129403277077,0.0317538949074879,TRUE,"S03",13,FALSE,"current_rootwise1_ASIS2",1,"persistent_hard"
"mean_upper",1,NA,1355.07925475541,2693.63666305011,0.0029696529909311,0.0271494603581563,TRUE,"S03",13,FALSE,"current_rootwise1_ASIS2",1,"persistent_hard"
"mean_width",1,NA,644.830355470717,1947.91555309231,0.00732505534380691,0.0395400168952395,TRUE,"S03",13,FALSE,"current_rootwise1_ASIS2",1,"persistent_hard"
"observed_loss",1,NA,188.783148831425,439.188204161569,0.506158322778998,0.0737284042966541,FALSE,"S03",13,FALSE,"current_rootwise1_ASIS2",1,"persistent_hard"
"terminal_lower",1,NA,340.316946415331,1597.13452595368,0.0412270567030482,0.0552848355381842,TRUE,"S03",13,FALSE,"current_rootwise1_ASIS2",1,"persistent_hard"
"terminal_midpoint",1,NA,550.786896378368,1731.89189442452,0.0175837631070838,0.0437091165636466,TRUE,"S03",13,FALSE,"current_rootwise1_ASIS2",1,"persistent_hard"
"terminal_upper",1,NA,2160.7220274076,2617.92416089991,0.00900788588622178,0.0225549687668111,TRUE,"S03",13,FALSE,"current_rootwise1_ASIS2",1,"persistent_hard"
"terminal_width",1,NA,355.51323400934,1070.47782232667,0.0479425412026528,0.054150792948385,TRUE,"S03",13,FALSE,"current_rootwise1_ASIS2",1,"persistent_hard"
"training_t0001_lower",1,NA,869.701988340082,1273.75907756566,0.0234428038867171,0.0349787347543469,TRUE,"S03",13,FALSE,"current_rootwise1_ASIS2",1,"persistent_hard"
"training_t0001_midpoint",1,NA,939.115350325245,1961.077439148,0.0134714702034399,0.0336182927869558,TRUE,"S03",13,FALSE,"current_rootwise1_ASIS2",1,"persistent_hard"
"training_t0001_upper",1,NA,2481.7288393883,3398.69102023904,0.00847177392948585,0.020763004529751,TRUE,"S03",13,FALSE,"current_rootwise1_ASIS2",1,"persistent_hard"
"training_t0001_width",1,NA,1182.4985340017,1768.95954082368,0.0228400144473176,0.0297602952230457,TRUE,"S03",13,FALSE,"current_rootwise1_ASIS2",1,"persistent_hard"
"training_t0050_lower",1,NA,934.289293882482,1225.99928549605,0.0176673722766746,0.0336012773214136,TRUE,"S03",13,FALSE,"current_rootwise1_ASIS2",1,"persistent_hard"
"training_t0050_midpoint",1,NA,743.846919219295,979.377799167648,0.0122869690028247,0.0381138339589287,TRUE,"S03",13,FALSE,"current_rootwise1_ASIS2",1,"persistent_hard"
"training_t0050_upper",1,NA,907.478025228406,1721.16564989834,0.0117384235131385,0.0336920764460838,TRUE,"S03",13,FALSE,"current_rootwise1_ASIS2",1,"persistent_hard"
"training_t0050_width",1,NA,1106.39772334558,1863.81350645854,0.0184830644653277,0.0299840641441321,TRUE,"S03",13,FALSE,"current_rootwise1_ASIS2",1,"persistent_hard"
"training_t0100_lower",1,NA,2425.06754001833,3991.50958458065,0.00529283599184045,0.020289427181617,TRUE,"S03",13,FALSE,"current_rootwise1_ASIS2",1,"persistent_hard"
"training_t0100_midpoint",1,NA,1776.9668879656,2359.54447895677,0.00538855658706204,0.0236975105374022,TRUE,"S03",13,FALSE,"current_rootwise1_ASIS2",1,"persistent_hard"
"training_t0100_upper",1,NA,1131.99647902727,1896.9434857448,0.0115447199084095,0.0300643587656429,TRUE,"S03",13,FALSE,"current_rootwise1_ASIS2",1,"persistent_hard"
"training_t0100_width",1,NA,973.447254429709,2593.59618845462,0.0152318637684953,0.0321694093695848,TRUE,"S03",13,FALSE,"current_rootwise1_ASIS2",1,"persistent_hard"
"training_t0150_lower",1,NA,2107.04401642174,2557.20202531595,0.00770541228349204,0.0217245936414361,TRUE,"S03",13,FALSE,"current_rootwise1_ASIS2",1,"persistent_hard"
"training_t0150_midpoint",1,NA,2622.99025711879,3465.19088308233,0.00510020190990594,0.0195580285198616,TRUE,"S03",13,FALSE,"current_rootwise1_ASIS2",1,"persistent_hard"
"training_t0150_upper",1,NA,1933.86336100979,2416.76725262017,0.0080651139233737,0.022444810573047,TRUE,"S03",13,FALSE,"current_rootwise1_ASIS2",1,"persistent_hard"
"training_t0150_width",1,NA,1613.84661219802,1972.35750396144,0.0123676168076904,0.0253600904284429,TRUE,"S03",13,FALSE,"current_rootwise1_ASIS2",1,"persistent_hard"
"training_t0200_lower",1,NA,340.316946415331,1597.13452595368,0.0412270567030482,0.0552848355381842,TRUE,"S03",13,FALSE,"current_rootwise1_ASIS2",1,"persistent_hard"
"training_t0200_midpoint",1,NA,550.786896378368,1731.89189442452,0.0175837631070838,0.0437091165636466,TRUE,"S03",13,FALSE,"current_rootwise1_ASIS2",1,"persistent_hard"
