candidate_order,candidate_id,jobs,passed_jobs,min_logq_ess,min_logq_tail,max_logq_mcse_over_sd,min_observed_loss_ess,max_observed_loss_mcse_over_sd,elapsed_sum_seconds,elapsed_max_seconds,peak_RSS_KiB,numerical_repairs,all_jobs_passed,min_logq_ess_per_elapsed_hour
1,current_rootwise1_ASIS2,3,1,117.728370364498,318.809415011155,0.0923454256542592,188.783148831425,0.0737284042966541,5130.359,1744.592,669856,0,False,82.61061912279293
2,rootwise2_ASIS1,3,3,226.147705507141,491.433669970253,0.0675513162437071,329.721403146661,0.0566212065535083,6563.589,2216.872,671456,0,True,124.03758672666855
3,rootwise2_ASIS2,3,3,290.328798942722,608.204809560162,0.0587462270148557,422.238623582363,0.0489231556372043,7065.647999999999,2372.357,706904,0,True,147.9246738860752
4,ASIS1_then_rootwise2,3,3,225.277911392337,742.762445224875,0.0672253459628109,280.529616674609,0.0604662916884361,6826.129,2328.766,684140,0,True,118.80825589619141
5,current_rootwise1_ASIS2_uniform9000,3,3,203.215993479824,541.533494012029,0.0701948230372291,307.58132792676,0.0576419567741972,6781.218,2301.216,804964,0,True,107.88291668655489
