"candidate_id","candidate_order","collapsed_cycles","interweave_cycles","transition_order","burn","retain","thin","role","target_change","threshold_change","adaptive_extension","DGP","replication","case_role","job_id"
"current_rootwise1_ASIS2",1,1,2,"rootwise_then_interweave",1000,6000,1,"current_failed_candidate_replicated",FALSE,FALSE,FALSE,"S03",13,"persistent_hard","01_current_rootwise1_ASIS2__S03_rep0013"
"current_rootwise1_ASIS2",1,1,2,"rootwise_then_interweave",1000,6000,1,"current_failed_candidate_replicated",FALSE,FALSE,FALSE,"S03",55,"repaired_guard","01_current_rootwise1_ASIS2__S03_rep0055"
"current_rootwise1_ASIS2",1,1,2,"rootwise_then_interweave",1000,6000,1,"current_failed_candidate_replicated",FALSE,FALSE,FALSE,"S03",94,"persistent_hard","01_current_rootwise1_ASIS2__S03_rep0094"
"rootwise2_ASIS1",2,2,1,"rootwise_then_interweave",1000,6000,1,"repeat_full_rootwise_composition",FALSE,FALSE,FALSE,"S03",13,"persistent_hard","02_rootwise2_ASIS1__S03_rep0013"
"rootwise2_ASIS1",2,2,1,"rootwise_then_interweave",1000,6000,1,"repeat_full_rootwise_composition",FALSE,FALSE,FALSE,"S03",55,"repaired_guard","02_rootwise2_ASIS1__S03_rep0055"
"rootwise2_ASIS1",2,2,1,"rootwise_then_interweave",1000,6000,1,"repeat_full_rootwise_composition",FALSE,FALSE,FALSE,"S03",94,"persistent_hard","02_rootwise2_ASIS1__S03_rep0094"
"rootwise2_ASIS2",3,2,2,"rootwise_then_interweave",1000,6000,1,"repeat_full_rootwise_composition_and_two_ASIS",FALSE,FALSE,FALSE,"S03",13,"persistent_hard","03_rootwise2_ASIS2__S03_rep0013"
"rootwise2_ASIS2",3,2,2,"rootwise_then_interweave",1000,6000,1,"repeat_full_rootwise_composition_and_two_ASIS",FALSE,FALSE,FALSE,"S03",55,"repaired_guard","03_rootwise2_ASIS2__S03_rep0055"
"rootwise2_ASIS2",3,2,2,"rootwise_then_interweave",1000,6000,1,"repeat_full_rootwise_composition_and_two_ASIS",FALSE,FALSE,FALSE,"S03",94,"persistent_hard","03_rootwise2_ASIS2__S03_rep0094"
"ASIS1_then_rootwise2",4,2,1,"interweave_then_rootwise",1000,6000,1,"test_transition_order_ASIS_before_rootwise",FALSE,FALSE,FALSE,"S03",13,"persistent_hard","04_ASIS1_then_rootwise2__S03_rep0013"
"ASIS1_then_rootwise2",4,2,1,"interweave_then_rootwise",1000,6000,1,"test_transition_order_ASIS_before_rootwise",FALSE,FALSE,FALSE,"S03",55,"repaired_guard","04_ASIS1_then_rootwise2__S03_rep0055"
"ASIS1_then_rootwise2",4,2,1,"interweave_then_rootwise",1000,6000,1,"test_transition_order_ASIS_before_rootwise",FALSE,FALSE,FALSE,"S03",94,"persistent_hard","04_ASIS1_then_rootwise2__S03_rep0094"
"current_rootwise1_ASIS2_uniform9000",5,1,2,"rootwise_then_interweave",1500,9000,1,"uniform_schedule_diagnostic_comparator",FALSE,FALSE,FALSE,"S03",13,"persistent_hard","05_current_rootwise1_ASIS2_uniform9000__S03_rep0013"
"current_rootwise1_ASIS2_uniform9000",5,1,2,"rootwise_then_interweave",1500,9000,1,"uniform_schedule_diagnostic_comparator",FALSE,FALSE,FALSE,"S03",55,"repaired_guard","05_current_rootwise1_ASIS2_uniform9000__S03_rep0055"
"current_rootwise1_ASIS2_uniform9000",5,1,2,"rootwise_then_interweave",1500,9000,1,"uniform_schedule_diagnostic_comparator",FALSE,FALSE,FALSE,"S03",94,"persistent_hard","05_current_rootwise1_ASIS2_uniform9000__S03_rep0094"
