"figure_id","publication_file","bytes","sha256","generator_sha256","repository_commit","repository_clean","declared_source_commit","source_archive_sha256","source_identity_consistent","distributions","interval_content","al_quantile_index","oracle_scale_contract"
"fig01_three_balance_principles","fig01_three_balance_principles.png",91706,"7f015ee8b354e1ed89007898a758346cb1a35d34b74f979026a025167fd22e40","83f1bf0ba69473dd6b9b3492f7b3a085445a0f50fe63098011c46e6cc1adda25","9462d7342225be50be6f28cccbd5d1f854a705a5",FALSE,NA,NA,NA,"asymmetric_laplace[mu_AL=0,s_AL=1,tau_AL=0.65]",0.8,0.65,"targets computed on each raw population law; display coordinates use raw mean/SD standardization"
"fig02_mean_tilt_recovery_map","fig02_mean_tilt_recovery_map.png",138649,"f6f31afe9f114129b2f2739a67ed002eabe11d44fb75a8cb016a6fed2c64472d","83f1bf0ba69473dd6b9b3492f7b3a085445a0f50fe63098011c46e6cc1adda25","9462d7342225be50be6f28cccbd5d1f854a705a5",FALSE,NA,NA,NA,"asymmetric_laplace[mu_AL=0,s_AL=1,tau_AL=0.65]",0.8,0.65,"targets computed on each raw population law; display coordinates use raw mean/SD standardization"
"fig03_mean_tilt_cf_anchors","fig03_mean_tilt_cf_anchors.png",121902,"b46586c26575355c7bc4de79dd14d93f33c223871a5248d4060aefea18983c84","83f1bf0ba69473dd6b9b3492f7b3a085445a0f50fe63098011c46e6cc1adda25","9462d7342225be50be6f28cccbd5d1f854a705a5",FALSE,NA,NA,NA,"asymmetric_laplace[mu_AL=0,s_AL=1,tau_AL=0.65]",0.8,0.65,"targets computed on each raw population law; display coordinates use raw mean/SD standardization"
"figS01_cross_distribution_recovery","figS01_cross_distribution_recovery.png",319063,"23287dc0f829f84a94dc73e04a9bc9b8033f3e49865e415fa56ea5d998219e90","83f1bf0ba69473dd6b9b3492f7b3a085445a0f50fe63098011c46e6cc1adda25","9462d7342225be50be6f28cccbd5d1f854a705a5",FALSE,NA,NA,NA,"normal;asymmetric_laplace[mu_AL=0,s_AL=1,tau_AL=0.65];lognormal;beta25",0.8,0.65,"targets computed on each raw population law; display coordinates use raw mean/SD standardization"
"figS02_loss_geometry","figS02_loss_geometry.png",115541,"8c454dbb06c547a84dc1389c4b39de909f41554c835ae68cba13c034d987928d","83f1bf0ba69473dd6b9b3492f7b3a085445a0f50fe63098011c46e6cc1adda25","9462d7342225be50be6f28cccbd5d1f854a705a5",FALSE,NA,NA,NA,"deterministic_scores",0.8,NA,"targets computed on each raw population law; display coordinates use raw mean/SD standardization"
