"schema_version","candidate_id","family","target","cell_key","pid","scale","n_index","n_index_full","n_draw_per_chain","n_draw_per_chain_full","n_chains","combined_draws","lower_mean_checksum","upper_mean_checksum","midpoint_identity_max_error","width_identity_max_error","worker_bytes","endpoint_only","pass","distinct_processes","lifecycle_pass","full_production_shape"
"rqrgibbs_oracle_tilt_v4_resource_cell/1.0.0","candidate_01","fixed_design","RQR","candidate_01_fixed_design_rqr",1788349,1,2400,2400,6000,6000,4,24000,-2406.02683417867,2423.98567103184,0,0,921756308,TRUE,TRUE,TRUE,TRUE,TRUE
"rqrgibbs_oracle_tilt_v4_resource_cell/1.0.0","candidate_01","dlm","RQR","candidate_01_dlm_rqr",1788353,1,1200,1200,6000,6000,5,30000,-1203.62983222577,1211.38267819959,0,0,576099340,TRUE,TRUE,TRUE,TRUE,TRUE
"rqrgibbs_oracle_tilt_v4_resource_cell/1.0.0","candidate_01","fixed_design","ET","candidate_01_fixed_design_et",1788361,1,2400,2400,6000,6000,4,24000,-2406.16914404059,2423.84336116991,0,0,921756304,TRUE,TRUE,TRUE,TRUE,TRUE
"rqrgibbs_oracle_tilt_v4_resource_cell/1.0.0","candidate_01","dlm","ET","candidate_01_dlm_et",1788369,1,1200,1200,6000,6000,5,30000,-1203.5751637102,1211.43734671515,0,0,576099335,TRUE,TRUE,TRUE,TRUE,TRUE
"rqrgibbs_oracle_tilt_v4_resource_cell/1.0.0","candidate_01","fixed_design","SH","candidate_01_fixed_design_sh",1788377,1,2400,2400,6000,6000,4,24000,-2406.00297611993,2424.00952909057,0,0,921756304,TRUE,TRUE,TRUE,TRUE,TRUE
"rqrgibbs_oracle_tilt_v4_resource_cell/1.0.0","candidate_01","dlm","SH","candidate_01_dlm_sh",1788385,1,1200,1200,12000,12000,5,60000,-1203.58315267014,1211.42935775521,0,0,1152099335,TRUE,TRUE,TRUE,TRUE,TRUE
"rqrgibbs_oracle_tilt_v4_resource_cell/1.0.0","candidate_02","fixed_design","RQR","candidate_02_fixed_design_rqr",1788393,1,2400,2400,6000,6000,4,24000,-2406.02153276641,2423.99097244409,0,0,921756308,TRUE,TRUE,TRUE,TRUE,TRUE
"rqrgibbs_oracle_tilt_v4_resource_cell/1.0.0","candidate_02","dlm","RQR","candidate_02_dlm_rqr",1788401,1,1200,1200,6000,6000,5,30000,-1203.55525940658,1211.45725101877,0,0,576099340,TRUE,TRUE,TRUE,TRUE,TRUE
"rqrgibbs_oracle_tilt_v4_resource_cell/1.0.0","candidate_02","fixed_design","ET","candidate_02_fixed_design_et",1788409,1,2400,2400,6000,6000,4,24000,-2406.12643218441,2423.88607302609,0,0,921756304,TRUE,TRUE,TRUE,TRUE,TRUE
"rqrgibbs_oracle_tilt_v4_resource_cell/1.0.0","candidate_02","dlm","ET","candidate_02_dlm_et",1788417,1,1200,1200,6000,6000,5,30000,-1203.56864162824,1211.44386879712,0,0,576099335,TRUE,TRUE,TRUE,TRUE,TRUE
"rqrgibbs_oracle_tilt_v4_resource_cell/1.0.0","candidate_02","fixed_design","SH","candidate_02_fixed_design_sh",1788425,1,2400,2400,6000,6000,4,24000,-2406.0013924057,2424.0111128048,0,0,921756304,TRUE,TRUE,TRUE,TRUE,TRUE
"rqrgibbs_oracle_tilt_v4_resource_cell/1.0.0","candidate_02","dlm","SH","candidate_02_dlm_sh",1788433,1,1200,1200,12000,12000,5,60000,-1203.618159233,1211.39435119235,0,0,1152099335,TRUE,TRUE,TRUE,TRUE,TRUE
"rqrgibbs_oracle_tilt_v4_resource_cell/1.0.0","candidate_03","fixed_design","RQR","candidate_03_fixed_design_rqr",1788441,1,2400,2400,6000,6000,4,24000,-2405.95345558112,2424.05904962939,0,0,921756308,TRUE,TRUE,TRUE,TRUE,TRUE
"rqrgibbs_oracle_tilt_v4_resource_cell/1.0.0","candidate_03","dlm","RQR","candidate_03_dlm_rqr",1788449,1,1200,1200,6000,6000,5,30000,-1203.62358801996,1211.3889224054,0,0,576099340,TRUE,TRUE,TRUE,TRUE,TRUE
"rqrgibbs_oracle_tilt_v4_resource_cell/1.0.0","candidate_03","fixed_design","ET","candidate_03_fixed_design_et",1788456,1,2400,2400,6000,6000,4,24000,-2405.95460057898,2424.05790463152,0,0,921756304,TRUE,TRUE,TRUE,TRUE,TRUE
"rqrgibbs_oracle_tilt_v4_resource_cell/1.0.0","candidate_03","dlm","ET","candidate_03_dlm_et",1788465,1,1200,1200,6000,6000,5,30000,-1203.6066773109,1211.40583311446,0,0,576099335,TRUE,TRUE,TRUE,TRUE,TRUE
"rqrgibbs_oracle_tilt_v4_resource_cell/1.0.0","candidate_03","fixed_design","SH","candidate_03_fixed_design_sh",1788473,1,2400,2400,6000,6000,4,24000,-2406.14233690692,2423.87016830359,0,0,921756304,TRUE,TRUE,TRUE,TRUE,TRUE
"rqrgibbs_oracle_tilt_v4_resource_cell/1.0.0","candidate_03","dlm","SH","candidate_03_dlm_sh",1788481,1,1200,1200,12000,12000,5,60000,-1203.54238911285,1211.47012131251,0,0,1152099335,TRUE,TRUE,TRUE,TRUE,TRUE
