sample_utc,elapsed_seconds,processes,r_processes,rss_kib,threads
2026-08-07T11:39:07Z,0,1,0,3044,1
2026-08-07T11:39:07Z,0,3,1,23108,3
2026-08-07T11:39:08Z,1,3,1,74492,3
2026-08-07T11:39:08Z,1,3,1,79504,3
2026-08-07T11:39:08Z,1,3,1,79504,3
2026-08-07T11:39:08Z,1,3,1,79504,3
2026-08-07T11:39:09Z,2,19,18,908028,19
2026-08-07T11:39:09Z,2,19,18,1338244,19
2026-08-07T11:39:09Z,2,19,18,1345016,19
2026-08-07T11:39:09Z,2,19,18,1449256,19
2026-08-07T11:39:10Z,3,19,18,4187060,19
2026-08-07T11:39:10Z,3,19,18,6562580,19
2026-08-07T11:39:10Z,3,19,18,7949932,19
2026-08-07T11:39:10Z,3,19,18,8989924,19
2026-08-07T11:39:11Z,4,19,18,10348268,19
2026-08-07T11:39:11Z,4,19,18,10434668,19
2026-08-07T11:39:11Z,4,19,18,10631576,19
2026-08-07T11:39:11Z,4,19,18,8363108,19
2026-08-07T11:39:12Z,5,19,18,8750096,19
2026-08-07T11:39:12Z,5,19,18,7515428,19
2026-08-07T11:39:12Z,5,19,18,6478120,19
2026-08-07T11:39:13Z,6,19,18,7813380,19
2026-08-07T11:39:13Z,6,19,18,6270092,19
2026-08-07T11:39:13Z,6,19,18,6392548,19
2026-08-07T11:39:13Z,6,19,18,7253800,19
2026-08-07T11:39:14Z,7,19,18,7350180,19
2026-08-07T11:39:14Z,7,19,18,8223904,19
2026-08-07T11:39:14Z,7,19,18,9247600,19
2026-08-07T11:39:14Z,7,19,18,9165520,19
2026-08-07T11:39:15Z,8,19,18,9498300,19
2026-08-07T11:39:15Z,8,19,18,10682408,19
2026-08-07T11:39:15Z,8,19,18,10465104,19
2026-08-07T11:39:15Z,8,19,18,10587948,19
2026-08-07T11:39:16Z,9,19,18,11977772,19
2026-08-07T11:39:16Z,9,19,18,11495012,19
2026-08-07T11:39:16Z,9,19,18,11964360,19
2026-08-07T11:39:16Z,9,19,18,12880804,19
2026-08-07T11:39:17Z,10,19,18,13904096,19
2026-08-07T11:39:17Z,10,19,18,15395320,19
2026-08-07T11:39:17Z,10,19,18,14766692,19
2026-08-07T11:39:17Z,10,19,18,16858152,19
2026-08-07T11:39:18Z,11,19,18,19295096,19
2026-08-07T11:39:18Z,11,19,18,20980320,19
2026-08-07T11:39:18Z,11,19,18,21397028,19
2026-08-07T11:39:18Z,11,19,18,22176072,19
2026-08-07T11:39:19Z,12,19,18,23243580,19
2026-08-07T11:39:19Z,12,19,18,24341720,19
2026-08-07T11:39:19Z,12,19,18,24843668,19
2026-08-07T11:39:19Z,12,19,18,26667776,19
2026-08-07T11:39:20Z,13,19,18,28808580,19
2026-08-07T11:39:20Z,13,19,18,30352096,19
2026-08-07T11:39:20Z,13,19,18,33385332,19
2026-08-07T11:39:20Z,13,19,18,34673088,19
2026-08-07T11:39:21Z,14,19,18,35969344,19
2026-08-07T11:39:21Z,14,19,18,38687456,19
2026-08-07T11:39:21Z,14,19,18,38192692,19
2026-08-07T11:39:21Z,14,19,18,39785840,19
2026-08-07T11:39:22Z,15,19,18,39544536,19
2026-08-07T11:39:22Z,15,19,18,40728640,19
2026-08-07T11:39:23Z,16,19,18,45027948,19
2026-08-07T11:39:23Z,16,19,18,46442788,19
2026-08-07T11:39:23Z,16,19,18,47452968,19
2026-08-07T11:39:23Z,16,19,18,48921020,19
2026-08-07T11:39:24Z,17,19,18,50509636,19
2026-08-07T11:39:24Z,17,19,18,50378716,19
2026-08-07T11:39:24Z,17,19,18,49840888,19
2026-08-07T11:39:24Z,17,19,18,50685244,19
2026-08-07T11:39:25Z,18,19,18,49914436,19
2026-08-07T11:39:25Z,18,19,18,50601604,19
2026-08-07T11:39:25Z,18,19,18,50768520,19
2026-08-07T11:39:25Z,18,19,18,50955372,19
2026-08-07T11:39:26Z,19,19,18,51811188,19
2026-08-07T11:39:26Z,19,19,18,52183808,19
2026-08-07T11:39:26Z,19,19,18,52797300,19
2026-08-07T11:39:26Z,19,19,18,52689040,19
2026-08-07T11:39:27Z,20,19,18,52974828,19
2026-08-07T11:39:27Z,20,19,18,52962716,19
2026-08-07T11:39:27Z,20,19,18,53499440,19
2026-08-07T11:39:27Z,20,19,18,53499544,19
2026-08-07T11:39:28Z,21,19,18,53499688,19
2026-08-07T11:39:28Z,21,19,18,53499688,19
2026-08-07T11:39:28Z,21,19,18,53499688,19
2026-08-07T11:39:28Z,21,19,18,53499688,19
2026-08-07T11:39:29Z,22,19,18,53499688,19
2026-08-07T11:39:29Z,22,19,18,53499688,19
2026-08-07T11:39:29Z,22,19,18,53499688,19
2026-08-07T11:39:29Z,22,19,18,53499688,19
2026-08-07T11:39:30Z,23,19,18,53499688,19
2026-08-07T11:39:30Z,23,19,18,53499688,19
2026-08-07T11:39:30Z,23,19,18,53499688,19
2026-08-07T11:39:30Z,23,19,18,53499864,19
2026-08-07T11:39:31Z,24,19,18,53499864,19
2026-08-07T11:39:31Z,24,19,18,53499864,19
2026-08-07T11:39:31Z,24,19,18,53499864,19
2026-08-07T11:39:31Z,24,19,18,53499864,19
2026-08-07T11:39:32Z,25,19,18,53499864,19
2026-08-07T11:39:32Z,25,18,17,51426692,18
2026-08-07T11:39:32Z,25,18,17,51426692,18
2026-08-07T11:39:33Z,26,16,15,47283040,16
2026-08-07T11:39:33Z,26,15,14,45211212,15
2026-08-07T11:39:33Z,26,14,13,43139572,14
2026-08-07T11:39:33Z,26,14,13,43139572,14
2026-08-07T11:39:33Z,26,13,12,41067208,13
2026-08-07T11:39:34Z,27,13,12,41067208,13
2026-08-07T11:39:34Z,27,13,12,41067208,13
2026-08-07T11:39:34Z,27,13,12,41067376,13
2026-08-07T11:39:34Z,27,13,12,41067376,13
2026-08-07T11:39:35Z,28,13,12,41067556,13
2026-08-07T11:39:35Z,28,13,12,41067556,13
2026-08-07T11:39:35Z,28,13,12,41067556,13
2026-08-07T11:39:35Z,28,13,12,41067728,13
2026-08-07T11:39:36Z,29,13,12,41067728,13
2026-08-07T11:39:36Z,29,13,12,41067728,13
2026-08-07T11:39:36Z,29,13,12,41067728,13
2026-08-07T11:39:36Z,29,13,12,41067728,13
2026-08-07T11:39:37Z,30,13,12,41067728,13
2026-08-07T11:39:37Z,30,13,12,41067728,13
2026-08-07T11:39:37Z,30,13,12,41067728,13
2026-08-07T11:39:37Z,30,13,12,41067728,13
2026-08-07T11:39:38Z,31,13,12,41067728,13
2026-08-07T11:39:38Z,31,13,12,41067728,13
2026-08-07T11:39:38Z,31,13,12,41067728,13
2026-08-07T11:39:38Z,31,13,12,41067728,13
2026-08-07T11:39:39Z,32,13,12,41067728,13
2026-08-07T11:39:39Z,32,13,12,41067728,13
2026-08-07T11:39:39Z,32,13,12,41067728,13
2026-08-07T11:39:39Z,32,13,12,41067728,13
2026-08-07T11:39:40Z,33,13,12,41067728,13
2026-08-07T11:39:40Z,33,13,12,41067728,13
2026-08-07T11:39:40Z,33,13,12,41067728,13
2026-08-07T11:39:40Z,33,13,12,41067728,13
2026-08-07T11:39:41Z,34,13,12,41067908,13
2026-08-07T11:39:41Z,34,13,12,41067908,13
2026-08-07T11:39:41Z,34,13,12,41067908,13
