"wave_id","manifest_entries","verified_entries","all_verified","manifest_sha256"
"static_gaussian_T200__target0200__sentinel",208,208,TRUE,"6d64c8bed98241b69d8aceccfa800e0d3dd3bec6eb08e586e56508fbfabc392e"
"local_level_gaussian_T200__target0200__sentinel",234,234,TRUE,"736f3d377339fb78a9d03d850f7d9a8d5a1d3c2b1537b28a01a41590a31ff38f"
