"estimand","chains","rhat","ess_bulk","ess_tail","mcse_mean","mcse_over_sd","pass","DGP","replication","method","sentinel","wave_id"
"training_t0200_lower",1,NA,193.862490353298,690.057226657795,0.0488530867682037,0.07444024509129,FALSE,"S03",13,"M08",FALSE,"local_level_gaussian_T200__target0200__sentinel"
"terminal_lower",1,NA,193.862490353298,690.057226657795,0.0488530867682037,0.07444024509129,FALSE,"S03",13,"M08",FALSE,"local_level_gaussian_T200__target0200__sentinel"
"future_h01_lower",1,NA,193.862490353298,690.057226657795,0.0488530867682037,0.07444024509129,FALSE,"S03",13,"M08",FALSE,"local_level_gaussian_T200__target0200__sentinel"
"future_h05_lower",1,NA,193.862490353298,690.057226657795,0.0488530867682037,0.07444024509129,FALSE,"S03",13,"M08",FALSE,"local_level_gaussian_T200__target0200__sentinel"
"future_h10_lower",1,NA,193.862490353298,690.057226657795,0.0488530867682037,0.07444024509129,FALSE,"S03",13,"M08",FALSE,"local_level_gaussian_T200__target0200__sentinel"
"future_h20_lower",1,NA,193.862490353298,690.057226657795,0.0488530867682037,0.07444024509129,FALSE,"S03",13,"M08",FALSE,"local_level_gaussian_T200__target0200__sentinel"
"mean_lower",4,1.22238682574578,4.99267392833669,13.5788540816149,0.167794548593671,0.595660557480394,FALSE,"S03",117,"M03",TRUE,"local_level_gaussian_T200__target0200__sentinel"
"mean_midpoint",4,1.208810443447,5.33342959329487,13.5031965229223,0.080393979715427,0.539391603471306,FALSE,"S03",117,"M03",TRUE,"local_level_gaussian_T200__target0200__sentinel"
"mean_width",4,1.18543312656571,4.11949124955812,14.074079205661,0.178743375359072,0.583848058047332,FALSE,"S03",117,"M03",TRUE,"local_level_gaussian_T200__target0200__sentinel"
"observed_loss",4,1.1953087447338,4.11925690030905,13.974106113807,6.19737502582228,0.652379031200661,FALSE,"S03",117,"M03",TRUE,"local_level_gaussian_T200__target0200__sentinel"
"training_t0001_lower",4,1.1991909101905,3.82919656475101,15.1155926897355,0.17075343519789,0.575294904278671,FALSE,"S03",117,"M03",TRUE,"local_level_gaussian_T200__target0200__sentinel"
"training_t0001_upper",4,1.21615009796943,5.08672687320088,13.2527184986084,0.340735497655718,0.559306813700933,FALSE,"S03",117,"M03",TRUE,"local_level_gaussian_T200__target0200__sentinel"
"training_t0001_midpoint",4,1.08886529452044,8.85223421322174,14.1385846019917,0.0852326411031577,0.384829399879943,FALSE,"S03",117,"M03",TRUE,"local_level_gaussian_T200__target0200__sentinel"
"training_t0001_width",4,1.2122431977684,4.66393965278296,14.7164688070832,0.506542322016102,0.596034975124094,FALSE,"S03",117,"M03",TRUE,"local_level_gaussian_T200__target0200__sentinel"
"training_t0050_lower",4,1.19801885042308,4.46778152938686,15.3980616814301,0.142004461550422,0.577400260457253,FALSE,"S03",117,"M03",TRUE,"local_level_gaussian_T200__target0200__sentinel"
"training_t0050_upper",4,1.02341497042371,229.227076567831,21.6538268520693,0.0156138905995309,0.0774214899204949,FALSE,"S03",117,"M03",TRUE,"local_level_gaussian_T200__target0200__sentinel"
"training_t0050_midpoint",4,1.16698235119449,6.00311027989923,13.5426067122058,0.0832692434487092,0.486340653750273,FALSE,"S03",117,"M03",TRUE,"local_level_gaussian_T200__target0200__sentinel"
"training_t0050_width",4,1.11216588039293,6.62725566994989,18.8860975832049,0.120705924736772,0.413882001151917,FALSE,"S03",117,"M03",TRUE,"local_level_gaussian_T200__target0200__sentinel"
"training_t0100_lower",4,1.22221538208824,5.09351557548009,17.3007536724035,0.444364969800739,0.639501943517498,FALSE,"S03",117,"M03",TRUE,"local_level_gaussian_T200__target0200__sentinel"
"training_t0100_upper",4,1.23588137754818,3.33537311144738,15.1533506189574,0.287841057473252,0.652240882074877,FALSE,"S03",117,"M03",TRUE,"local_level_gaussian_T200__target0200__sentinel"
"training_t0100_midpoint",4,1.20950916911572,5.33798747352498,13.4862039292876,0.0804198562071634,0.539511672870206,FALSE,"S03",117,"M03",TRUE,"local_level_gaussian_T200__target0200__sentinel"
"training_t0100_width",4,1.18711962995483,4.1336200219035,16.7226643337349,0.730568568913936,0.649221608951693,FALSE,"S03",117,"M03",TRUE,"local_level_gaussian_T200__target0200__sentinel"
"training_t0150_lower",4,1.21770775132413,5.03994153217038,14.0133710686652,0.204609954703313,0.584727717844986,FALSE,"S03",117,"M03",TRUE,"local_level_gaussian_T200__target0200__sentinel"
"training_t0150_upper",4,1.06237720979154,73.2976038911264,14.8668121035367,0.0367907379875183,0.163570071014729,FALSE,"S03",117,"M03",TRUE,"local_level_gaussian_T200__target0200__sentinel"
"training_t0150_midpoint",4,1.14090637977877,5.51174526650757,16.8718517846786,0.0783429578958857,0.465691023338894,FALSE,"S03",117,"M03",TRUE,"local_level_gaussian_T200__target0200__sentinel"
"training_t0150_width",4,1.17836967696419,5.25650217288953,13.9586963497908,0.259589911749343,0.537937310374208,FALSE,"S03",117,"M03",TRUE,"local_level_gaussian_T200__target0200__sentinel"
"training_t0200_lower",4,1.24139648573064,3.20860983106388,15.2686895686584,0.169474090981337,0.58439251321281,FALSE,"S03",117,"M03",TRUE,"local_level_gaussian_T200__target0200__sentinel"
"training_t0200_upper",4,1.21326098342028,3.58723092221613,19.6431001032417,0.320730206394412,0.576060472518213,FALSE,"S03",117,"M03",TRUE,"local_level_gaussian_T200__target0200__sentinel"
"training_t0200_midpoint",4,1.07965136569318,10.1342650150833,20.7238334534987,0.0738138703568639,0.338462969724248,FALSE,"S03",117,"M03",TRUE,"local_level_gaussian_T200__target0200__sentinel"
"training_t0200_width",4,1.25103291003645,3.11773003139302,19.0590362755538,0.483400796338714,0.62514732135391,FALSE,"S03",117,"M03",TRUE,"local_level_gaussian_T200__target0200__sentinel"
"future_h01_lower",4,1.24500591491239,3.17151078172477,14.5993678621751,0.17672667749057,0.590839373718547,FALSE,"S03",117,"M03",TRUE,"local_level_gaussian_T200__target0200__sentinel"
"future_h01_upper",4,1.21472299232,3.56602436620683,19.6431001032417,0.327913791218839,0.578563407216558,FALSE,"S03",117,"M03",TRUE,"local_level_gaussian_T200__target0200__sentinel"
"future_h01_midpoint",4,1.07862909165424,10.2892196480575,20.7238334534987,0.0736759782193822,0.336000230399768,FALSE,"S03",117,"M03",TRUE,"local_level_gaussian_T200__target0200__sentinel"
"future_h01_width",4,1.25181001549031,3.1100265285908,19.0590362755538,0.497666180705547,0.627462067427236,FALSE,"S03",117,"M03",TRUE,"local_level_gaussian_T200__target0200__sentinel"
"future_h05_lower",4,1.25453432978544,3.07937530287974,14.1128972960476,0.205655454776006,0.610864142117612,FALSE,"S03",117,"M03",TRUE,"local_level_gaussian_T200__target0200__sentinel"
"future_h05_upper",4,1.21933178904557,3.50093224491748,19.6624545960552,0.356627999556133,0.587419842554984,FALSE,"S03",117,"M03",TRUE,"local_level_gaussian_T200__target0200__sentinel"
"future_h05_midpoint",4,1.07465737979537,10.9567319209456,20.5420673039962,0.0731009348373516,0.32622614488956,FALSE,"S03",117,"M03",TRUE,"local_level_gaussian_T200__target0200__sentinel"
"future_h05_width",4,1.25398472004608,3.08830626724401,19.6971734212712,0.554765016036548,0.635107269442691,FALSE,"S03",117,"M03",TRUE,"local_level_gaussian_T200__target0200__sentinel"
"future_h10_lower",4,1.25976751902916,3.03189431706381,13.7619360682304,0.241765722375511,0.627174686431044,FALSE,"S03",117,"M03",TRUE,"local_level_gaussian_T200__target0200__sentinel"
"future_h10_upper",4,1.2233834834225,3.44540326228738,19.4549521760862,0.392486867955936,0.596381728265812,FALSE,"S03",117,"M03",TRUE,"local_level_gaussian_T200__target0200__sentinel"
"future_h10_midpoint",4,1.06994530102427,11.8884054225011,20.6602636195082,0.0723257627313633,0.314178814677098,FALSE,"S03",117,"M03",TRUE,"local_level_gaussian_T200__target0200__sentinel"
"future_h10_width",4,1.25532287810317,3.07482311991525,19.8839154458917,0.626223599624878,0.642004228132944,FALSE,"S03",117,"M03",TRUE,"local_level_gaussian_T200__target0200__sentinel"
"future_h20_lower",4,1.26200927830047,3.01250414371765,13.6556480794686,0.313986323047649,0.644760303685661,FALSE,"S03",117,"M03",TRUE,"local_level_gaussian_T200__target0200__sentinel"
"future_h20_upper",4,1.22794412199682,3.38471121736386,19.4143027964863,0.464175826467992,0.609498657110309,FALSE,"S03",117,"M03",TRUE,"local_level_gaussian_T200__target0200__sentinel"
"future_h20_midpoint",4,1.06156742469938,14.0451093171989,21.2426215363602,0.0705737641619979,0.29065800282569,FALSE,"S03",117,"M03",TRUE,"local_level_gaussian_T200__target0200__sentinel"
"future_h20_width",4,1.25609867048958,3.06621428676846,20.0877589078349,0.76940027195019,0.650620183160305,FALSE,"S03",117,"M03",TRUE,"local_level_gaussian_T200__target0200__sentinel"
