worker_slot,cell_id,DGP,replication,method,failure_class,message_digest,elapsed_seconds,peak_rss_kib,peak_threads,ceiling_reason
1,C01M02,S01,39,M02,mcmc_diagnostic_construction_failure,6495bf2b41dc1e26ee4112cd6e30200ca35aa20b34792f1e7f953b9a79210ef5,4165,1194624,2,none
2,C01M02,S01,50,M02,mcmc_diagnostic_construction_failure,6495bf2b41dc1e26ee4112cd6e30200ca35aa20b34792f1e7f953b9a79210ef5,4105,1188828,4,none
3,C01M02,S01,71,M02,mcmc_diagnostic_construction_failure,6495bf2b41dc1e26ee4112cd6e30200ca35aa20b34792f1e7f953b9a79210ef5,4067,1189004,2,none
4,C01M02,S01,72,M02,mcmc_diagnostic_construction_failure,6495bf2b41dc1e26ee4112cd6e30200ca35aa20b34792f1e7f953b9a79210ef5,13964,1345808,3,none
5,C02M02,S02,69,M02,mcmc_diagnostic_construction_failure,6495bf2b41dc1e26ee4112cd6e30200ca35aa20b34792f1e7f953b9a79210ef5,4121,1198872,2,none
6,C02M02,S02,85,M02,mcmc_diagnostic_construction_failure,6495bf2b41dc1e26ee4112cd6e30200ca35aa20b34792f1e7f953b9a79210ef5,14057,1320196,3,none
7,C02M02,S02,86,M02,mcmc_diagnostic_construction_failure,6495bf2b41dc1e26ee4112cd6e30200ca35aa20b34792f1e7f953b9a79210ef5,14185,1385636,2,none
8,C02M02,S02,87,M02,mcmc_diagnostic_construction_failure,6495bf2b41dc1e26ee4112cd6e30200ca35aa20b34792f1e7f953b9a79210ef5,4167,1207176,2,none

