"run_id","cell_id","replication","method","failure_class","message_digest","intention_to_run_denominator","retry_count","source_file","wave_id"
"worker-01","C05M10",2,"M10","mcmc_diagnostic_warning","eb589e409104fca3862a7efc23e50d02e9de8b5d1b53997c8663ab3e9f7bc5db",TRUE,0,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-01/failure_log.csv","local_level_skewed_T200__target0200__sentinel"
"worker-01","C05M11",2,"M11","simpleError","65a5d45e221eea87a4163c89c20d5e977a194324413e4310321e717b2c5e1c3b",TRUE,0,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-01/failure_log.csv","local_level_skewed_T200__target0200__sentinel"
"worker-01","C05M10",81,"M10","mcmc_diagnostic_warning","133733742ff194370e13ebe3b1a8bbd37d8bae73425f208ffcf13b180c9c74fa",TRUE,0,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-01/failure_log.csv","local_level_skewed_T200__target0200__sentinel"
"worker-01","C05M11",81,"M11","simpleError","65a5d45e221eea87a4163c89c20d5e977a194324413e4310321e717b2c5e1c3b",TRUE,0,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-01/failure_log.csv","local_level_skewed_T200__target0200__sentinel"
"worker-01","C05M11",172,"M11","simpleError","65a5d45e221eea87a4163c89c20d5e977a194324413e4310321e717b2c5e1c3b",TRUE,0,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-01/failure_log.csv","local_level_skewed_T200__target0200__sentinel"
"worker-02","C05M11",18,"M11","simpleError","65a5d45e221eea87a4163c89c20d5e977a194324413e4310321e717b2c5e1c3b",TRUE,0,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-02/failure_log.csv","local_level_skewed_T200__target0200__sentinel"
"worker-02","C05M11",99,"M11","simpleError","65a5d45e221eea87a4163c89c20d5e977a194324413e4310321e717b2c5e1c3b",TRUE,0,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-02/failure_log.csv","local_level_skewed_T200__target0200__sentinel"
"worker-02","C05M11",181,"M11","simpleError","65a5d45e221eea87a4163c89c20d5e977a194324413e4310321e717b2c5e1c3b",TRUE,0,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-02/failure_log.csv","local_level_skewed_T200__target0200__sentinel"
"worker-03","C05M10",39,"M10","mcmc_diagnostic_warning","2f2f7e6ee2fc250f6d8cce3cb412dec86e3419f996a0d44a5c69ebd8cb0e5067",TRUE,0,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-03/failure_log.csv","local_level_skewed_T200__target0200__sentinel"
"worker-03","C05M11",39,"M11","simpleError","65a5d45e221eea87a4163c89c20d5e977a194324413e4310321e717b2c5e1c3b",TRUE,0,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-03/failure_log.csv","local_level_skewed_T200__target0200__sentinel"
"worker-03","C05M11",104,"M11","simpleError","65a5d45e221eea87a4163c89c20d5e977a194324413e4310321e717b2c5e1c3b",TRUE,0,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-03/failure_log.csv","local_level_skewed_T200__target0200__sentinel"
"worker-03","C05M11",183,"M11","simpleError","65a5d45e221eea87a4163c89c20d5e977a194324413e4310321e717b2c5e1c3b",TRUE,0,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-03/failure_log.csv","local_level_skewed_T200__target0200__sentinel"
"worker-04","C05M10",41,"M10","mcmc_diagnostic_warning","fbb10da11fbba0ad82beb4cb9db2d38d5af4926b32f0009f01ff21658230eabc",TRUE,0,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-04/failure_log.csv","local_level_skewed_T200__target0200__sentinel"
"worker-04","C05M11",41,"M11","simpleError","65a5d45e221eea87a4163c89c20d5e977a194324413e4310321e717b2c5e1c3b",TRUE,0,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-04/failure_log.csv","local_level_skewed_T200__target0200__sentinel"
"worker-04","C05M10",113,"M10","mcmc_diagnostic_warning","faa30ac597956a88e1704aadc43f9c6a7eddf0bcd6430ae605ff6e5a401e0138",TRUE,0,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-04/failure_log.csv","local_level_skewed_T200__target0200__sentinel"
"worker-04","C05M11",113,"M11","simpleError","65a5d45e221eea87a4163c89c20d5e977a194324413e4310321e717b2c5e1c3b",TRUE,0,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-04/failure_log.csv","local_level_skewed_T200__target0200__sentinel"
