"method","diagnostics","diagnostics_passed","diagnostics_failed","max_rhat","min_bulk_ess","min_tail_ess","max_mcse_over_sd"
"M10",47,47,0,1.00104711808382,831.683494117845,2027.29798858211,0.0346659471675133
"M11",48,32,16,1.16164188188364,4.15022609962392,22.0826491966401,0.492713557970416
