"retained_window","estimand","rhat","ess_bulk","ess_tail"
9000,"log_q_1",1.00081132870275,2191.56200744814,6859.0873121801
9000,"log_q_2",1.16164188188364,4.15022609962392,22.0826491966401
9000,"log_lambda",1.00660498880276,5253.96060617198,22692.7879810518
9000,"mean_lower",1.01492523460886,69.1198814199954,21561.8946329222
9000,"mean_upper",1.0642447503779,10.291423665208,34.0897328383207
9000,"mean_midpoint",1.033590277343,21.7781107496221,67.3233081537558
9000,"mean_width",1.08227284870949,7.84024183312026,29.1970133081508
9000,"observed_loss",1.01596425698421,82.6987989383633,11416.946778833
9000,"future_h20_upper",1.02024003763589,39.8545640030429,3977.49995449254
9000,"future_h20_midpoint",1.0136140779923,62.8221218157823,14991.7130514127
9000,"future_h20_width",1.01322697949664,91.2220784330438,1511.10508674382
6750,"log_q_1",1.00057322768534,1262.64788379723,5482.04107325897
6750,"log_q_2",1.1571431730548,4.26186237886413,23.8145606568324
6750,"log_lambda",1.00541277786825,7670.05719014175,18141.5179020008
6750,"mean_lower",1.01473259994056,73.5975440746286,17839.839565518
6750,"mean_upper",1.06469717804581,10.5922928978095,37.5289493466385
6750,"mean_midpoint",1.03428634184874,23.2612918824818,80.8124170368887
6750,"mean_width",1.08195438642872,8.09422582766081,30.6661752357367
6750,"observed_loss",1.01531511809381,127.184327687867,9756.313836178
6750,"future_h20_upper",1.01744235481239,55.5956495445277,3887.38368275421
6750,"future_h20_midpoint",1.01316959038387,79.3102629037439,14365.4161284535
6750,"future_h20_width",1.0101580679895,270.317600387178,1026.75963741654
4500,"log_q_1",1.00024608007742,1438.42716764493,4280.81531375667
4500,"log_q_2",1.15696075280817,4.35400209312101,26.4942854023623
4500,"log_lambda",1.00616306602111,4772.55544438998,11740.5087370448
4500,"mean_lower",1.0189712293803,51.3594150824918,11175.8027910536
4500,"mean_upper",1.07893336396609,8.47630128566984,50.8595732268277
4500,"mean_midpoint",1.04129586443508,18.6326367245976,144.683793545364
4500,"mean_width",1.10071054647263,6.56052278372086,33.6307609579523
4500,"observed_loss",1.01768769238829,1196.36285834859,6916.76555981032
4500,"future_h20_upper",1.01314054287971,146.939947805495,3123.31748113704
4500,"future_h20_midpoint",1.01218825858777,127.178423747662,10980.0439723162
4500,"future_h20_width",1.00596107529454,392.479522430839,512.796906786242
2250,"log_q_1",1.00589874905594,464.606049492014,2365.85329621403
2250,"log_q_2",1.15265360723002,4.52705626880898,52.6367917347007
2250,"log_lambda",1.01050899308853,2395.44401519091,5477.70613929492
2250,"mean_lower",1.01625727886978,145.84183616176,6867.4343393662
2250,"mean_upper",1.11127092813177,6.27302222897611,85.5071481774562
2250,"mean_midpoint",1.06602017745677,10.9900704767059,98.8593596971025
2250,"mean_width",1.13048106259925,5.34194139442153,51.3631907320414
2250,"observed_loss",1.02635997276581,55.6123575339507,4616.13065718723
2250,"future_h20_upper",1.00270033309304,248.152517829804,1022.26197452564
2250,"future_h20_midpoint",1.00672016579967,3950.03195391619,6976.1373121104
2250,"future_h20_width",1.00554864984239,148.747013974832,190.530676302226
1000,"log_q_1",1.005987235306,405.895348762151,1100.89423738595
1000,"log_q_2",1.10619502416577,7.36680058523651,65.7197090971111
1000,"log_lambda",1.00690985318527,1535.92848584232,2463.57464628087
1000,"mean_lower",1.0072714229202,2015.60375231967,3225.064211726
1000,"mean_upper",1.06871459778948,11.9669156602772,569.242608913502
1000,"mean_midpoint",1.04340620659874,20.2109251529443,894.864494597493
1000,"mean_width",1.07700167657935,10.8173306475538,179.748644651632
1000,"observed_loss",1.01888634789924,985.783873909355,2007.73845329627
1000,"future_h20_upper",1.00704369550949,104.967608332185,506.414493483735
1000,"future_h20_midpoint",1.00132207453892,3385.54564855721,3786.71767836278
1000,"future_h20_width",1.02420290534325,44.4146070384896,72.5922814315319
