"method","DGP","replication","chain","profile","estimand","mean","sd","q05","median","q95","first_half_mean","second_half_mean"
"M11","S10",166,1,"A","log_q_1",-5.48102113879217,0.332991853935227,-6.00412435148098,-5.49258506481426,-4.90735563789782,-5.4945649577675,-5.46747731981684
"M11","S10",166,1,"A","log_q_2",-3.02690904305026,0.322062097541974,-3.56358392561412,-3.02602563839268,-2.50132504161409,-3.00718563014754,-3.04663245595297
"M11","S10",166,1,"A","log_lambda",2.89543303197232,0.0921204220244753,2.74018224127436,2.89540478379481,3.04683048784447,2.89634477778263,2.89452128616201
"M11","S10",166,1,"A","mean_lower",2.04004642697374,0.0413040577113483,1.96890915376565,2.04170737602151,2.10521634822415,2.04027739482296,2.03981545912453
"M11","S10",166,1,"A","mean_upper",4.35433919511796,0.0899828311189113,4.20857562237505,4.35303765058597,4.50445468604618,4.35443238455926,4.35424600567666
"M11","S10",166,1,"A","mean_midpoint",3.19719281104585,0.0506282898926726,3.1141629287498,3.19674076219767,3.28155410320381,3.19735488969111,3.19703073240059
"M11","S10",166,1,"A","mean_width",2.31429276814421,0.0967107812468073,2.15631013774378,2.31430466939596,2.47347829565438,2.3141549897363,2.31443054655213
"M11","S10",166,1,"A","observed_loss",35.2632427818487,3.24807546509778,30.1686565214821,35.1062208735038,40.7896946969381,35.2138251835474,35.31266038015
"M11","S10",166,1,"A","future_h20_upper",10.9260898757061,3.74599557508715,4.97099093221407,10.836669717104,17.2413392616241,10.647587090062,11.2045926613501
"M11","S10",166,1,"A","future_h20_midpoint",6.2795793528097,2.29381116196003,2.53198930395159,6.27395743240421,10.03654355726,6.23714523046332,6.32201347515608
"M11","S10",166,1,"A","future_h20_width",9.29302104579272,4.61158108575555,2.08879926941097,8.98491995848288,17.341076001304,8.82088371919738,9.76515837238807
"M11","S10",166,2,"B","log_q_1",-5.51481982522877,0.32182485361886,-6.03222883130122,-5.52190258258485,-4.96860342690161,-5.53615679185304,-5.4934828586045
"M11","S10",166,2,"B","log_q_2",-2.96983410603147,0.320637109567818,-3.49977781323708,-2.96807499395526,-2.44155237717646,-2.98741934770344,-2.95224886435949
"M11","S10",166,2,"B","log_lambda",2.8963012612199,0.0913544414055824,2.74491478326266,2.89557932262923,3.04661501523269,2.89695455713117,2.89564796530864
"M11","S10",166,2,"B","mean_lower",2.04100238051122,0.0410666827728517,1.97110360164726,2.0425421039707,2.10577343985549,2.03924905586019,2.04275570516226
"M11","S10",166,2,"B","mean_upper",4.34066611456566,0.0862158868145102,4.1993666006327,4.33971227286603,4.48322323918554,4.34538164149871,4.3359505876326
"M11","S10",166,2,"B","mean_midpoint",3.19083424753844,0.0492858577801762,3.10970053566385,3.19069449085163,3.27210933092265,3.19231534867945,3.18935314639743
"M11","S10",166,2,"B","mean_width",2.29966373405443,0.0923196622494143,2.1476690940841,2.29970854718261,2.45156520407717,2.30613258563852,2.29319488247034
"M11","S10",166,2,"B","observed_loss",35.2631205839242,3.18711168677277,30.2677476934336,35.1175588770129,40.6555743904696,35.3062420215769,35.2199991462714
"M11","S10",166,2,"B","future_h20_upper",10.638205382618,3.54783888212855,4.8208547685732,10.6284751790074,16.5297144193982,10.5969237319969,10.6794870332391
"M11","S10",166,2,"B","future_h20_midpoint",6.19278825553689,2.25857489245309,2.39004855222076,6.26312478150839,9.80673907231199,6.1984160518454,6.18716045922837
"M11","S10",166,2,"B","future_h20_width",8.89083425416216,4.20966650723085,1.93910024612987,8.74227657792641,15.9022149280531,8.79701536030295,8.98465314802137
"M11","S10",166,3,"C","log_q_1",-5.5057833240175,0.324192139587418,-6.03005082906429,-5.5125053326629,-4.95632973453573,-5.51502913800199,-5.49653751003301
"M11","S10",166,3,"C","log_q_2",-3.28273846237331,0.35496776571277,-3.86996622568321,-3.28194100850329,-2.70238778084413,-3.28503909807427,-3.28043782667236
"M11","S10",166,3,"C","log_lambda",2.87938161997252,0.0926314819266986,2.72679136776576,2.87830717768817,3.03086826199623,2.87725887144285,2.88150436850218
"M11","S10",166,3,"C","mean_lower",2.03015044688031,0.0414104436760837,1.96070176325336,2.03141887793051,2.09533552805598,2.03108767730667,2.02921321645396
"M11","S10",166,3,"C","mean_upper",4.40214342165845,0.102004887235859,4.23739851063962,4.39963515608701,4.57495590091008,4.40484809382989,4.39943874948701
"M11","S10",166,3,"C","mean_midpoint",3.21614693426938,0.056224518519596,3.12412905087522,3.21611852408214,3.30938471290063,3.21796788556828,3.21432598297048
"M11","S10",166,3,"C","mean_width",2.37199297477814,0.10767942143167,2.19667645592565,2.3699155085636,2.55401033535823,2.37376041652323,2.37022553303305
"M11","S10",166,3,"C","observed_loss",36.1729805298674,3.38249646730984,30.8487065112116,36.0604381725586,41.8631812540868,36.2459280872522,36.1000329724826
"M11","S10",166,3,"C","future_h20_upper",11.7410804160988,3.66857157321548,5.842066275749,11.6655176761118,17.9462686577297,11.666067828506,11.8160930036915
"M11","S10",166,3,"C","future_h20_midpoint",6.74260577124811,2.28561767530266,3.03130691717197,6.69957326544088,10.5948150938089,6.70274938909473,6.7824621534015
"M11","S10",166,3,"C","future_h20_width",9.99694928970131,4.44331815998737,2.77742142424887,9.86603273643638,17.5349945854618,9.92663687882256,10.0672617005801
"M11","S10",166,4,"D","log_q_1",-5.45197480469618,0.330440063737203,-5.98427806591349,-5.45786428908331,-4.89853224065533,-5.41603562454878,-5.48791398484359
"M11","S10",166,4,"D","log_q_2",-3.28463854805542,0.357144774970508,-3.86703880170682,-3.28822171269187,-2.70690149247429,-3.28578670860596,-3.28349038750487
"M11","S10",166,4,"D","log_lambda",2.88221789967003,0.0931749821253093,2.72671965059458,2.88230459142912,3.03465367201079,2.88506860471767,2.87936719462239
"M11","S10",166,4,"D","mean_lower",2.0306471209696,0.0418444980115846,1.96018562618885,2.03165491856393,2.09697891281442,2.03065989007013,2.03063435186907
"M11","S10",166,4,"D","mean_upper",4.39302330147016,0.10297367294598,4.22771719521396,4.38968886706,4.56914804701717,4.38376961402684,4.40227698891348
"M11","S10",166,4,"D","mean_midpoint",3.21183521121988,0.0566137398087101,3.11991148996015,3.21008800780782,3.30566022080626,3.20721475204848,3.21645567039127
"M11","S10",166,4,"D","mean_width",2.36237618050056,0.10903493260025,2.189832741685,2.36011108092124,2.54719857478325,2.35310972395671,2.37164263704441
"M11","S10",166,4,"D","observed_loss",36.0480794522586,3.40304093690333,30.6839939102856,35.9165330554465,41.831522188968,35.8731704203275,36.2229884841898
"M11","S10",166,4,"D","future_h20_upper",11.9136722880553,3.66045684385122,6.01531104133032,11.902364104033,18.0318262142608,12.0779425087424,11.7494020673682
"M11","S10",166,4,"D","future_h20_midpoint",6.8008683571876,2.29298800765843,3.03574586695237,6.79423440568172,10.6275754260404,6.86294774712411,6.73878896725109
"M11","S10",166,4,"D","future_h20_width",10.2256078617353,4.45446275898359,2.91284657653993,10.0800348060507,17.8938787313263,10.4299895232365,10.0212262002341
