"artifact","sha256"
"input_artifact_manifest","c6a1e113718f9108cc13c179549b21b7f477e84c5d92c6faf7481fefac9d951d"
"guard_manifest","4ab7826516b4adf99a6dc2db800dd6e1654664a5ac92aa26630ec1e055721689"
"fit_diagnostics","d6333621288344f264aca11e7d8042130cf8e105749ffb3bcda3167b5fc152cd"
"job_status","ab2ecba051044fc3412440eae6c2cdb92867737c0ba8ca73a34fd682236c635b"
