"schema_version","repository","branch","commit","status_digest","clean","mutated"
"rqrgibbs_ordinary_v1_protected_guard/1.0.0","exdqlm_reference","feature/rqr-desn-readout-20260716","dffb71ee70b597d6a716ee74be1cbc99731cd453","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855",TRUE,FALSE
"rqrgibbs_ordinary_v1_protected_guard/1.0.0","Q-DESN_article","main","f9f22804eff3871bb5350c8add04b7c9f4d4957b","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855",TRUE,FALSE
