"method","DGP","replication","case_role","estimand","chains","rhat","ess_bulk","ess_tail","mcse_mean","mcse_over_sd","pass"
"M03","S03",89,"full_wave_standard","training_t0050_width",1,NA,587.957329584068,1114.31800308663,0.00978775125278858,0.0411394304832511,TRUE
"M03","S03",165,"full_wave_standard","training_t0200_upper",1,NA,859.274916019468,973.422800567833,0.0082753531304631,0.034045443467536,TRUE
"M03","S03",185,"full_wave_sentinel","training_t0050_midpoint",4,1.00390430528874,1843.93042979568,3132.46465667772,0.00264418249066862,0.0232915682561896,TRUE
"M08","S03",13,"full_wave_standard","training_t0200_lower",1,NA,385.562424044217,1057.56097072902,0.0336958803899085,0.0521698318694343,TRUE
"M08","S03",168,"full_wave_sentinel","training_t0100_lower",4,1.00222392852239,3879.08697377832,9607.89257324516,0.00586446199957334,0.0161408583185792,TRUE
