"path","present","expected_bytes","observed_bytes","expected_sha256","observed_sha256","pass"
"candidate_decisions.csv",TRUE,665,665,"58bf34f6424f94d4c0a0dde36d7f4fc85d963d63a1ef46b558fda51ae52b4b1a","58bf34f6424f94d4c0a0dde36d7f4fc85d963d63a1ef46b558fda51ae52b4b1a",TRUE
"candidate_diagnostics.csv",TRUE,308992,308992,"b9e28b75d1361aea034780292012c04cae028772bcef9aac6e19921a427c5e9b","b9e28b75d1361aea034780292012c04cae028772bcef9aac6e19921a427c5e9b",TRUE
"candidate_summary.csv",TRUE,1462,1462,"0a30f92c8f8071981942d6cb560ee7c0ba04cbc05aae6af3453c724991acc286","0a30f92c8f8071981942d6cb560ee7c0ba04cbc05aae6af3453c724991acc286",TRUE
"comparison_manifest.json",TRUE,877,877,"1c7fa6543b0bd40d0223caad9ed672646c7bca0ac2d064b72ad05e91ec48275f","1c7fa6543b0bd40d0223caad9ed672646c7bca0ac2d064b72ad05e91ec48275f",TRUE
"job_results/whole_scan_x2__M01__S05_rep0186__one_chain_standard__chain01.rds",TRUE,2101547,2101547,"28d4d2aa918e12396a0fb001dfd20a6060c6d1d07fe94112ba8770ec607ca121","28d4d2aa918e12396a0fb001dfd20a6060c6d1d07fe94112ba8770ec607ca121",TRUE
"job_results/whole_scan_x2__M01__S05_rep0188__four_chain_sentinel__chain01.rds",TRUE,2091048,2091048,"9e877172ba1cc49a4f545ddf648978506c695305d4a1b82f48a24d6184993b10","9e877172ba1cc49a4f545ddf648978506c695305d4a1b82f48a24d6184993b10",TRUE
"job_results/whole_scan_x2__M01__S05_rep0188__four_chain_sentinel__chain02.rds",TRUE,2090942,2090942,"dae3a4ff7bd9cbe40b4e9d407e29dbf944dec4d413aa88e4a3123f7103be57e1","dae3a4ff7bd9cbe40b4e9d407e29dbf944dec4d413aa88e4a3123f7103be57e1",TRUE
"job_results/whole_scan_x2__M01__S05_rep0188__four_chain_sentinel__chain03.rds",TRUE,2091359,2091359,"642455c22bd929a5a595e7fe1430fe090fe5b563490065bf6eda6b534f71a71d","642455c22bd929a5a595e7fe1430fe090fe5b563490065bf6eda6b534f71a71d",TRUE
"job_results/whole_scan_x2__M01__S05_rep0188__four_chain_sentinel__chain04.rds",TRUE,2090724,2090724,"a00584f0b4f1aa3af225210ee2d80ca812d8d94495ce1e7d2d82fd83dc6de366","a00584f0b4f1aa3af225210ee2d80ca812d8d94495ce1e7d2d82fd83dc6de366",TRUE
"job_results/whole_scan_x2__M02__S06_rep0041__four_chain_sentinel__chain01.rds",TRUE,1348125,1348125,"a2a4d8d66c23ff6ffe582b2a761ab4b04ce8fc71bdf1fa62d7943b340d7bd86b","a2a4d8d66c23ff6ffe582b2a761ab4b04ce8fc71bdf1fa62d7943b340d7bd86b",TRUE
"job_results/whole_scan_x2__M02__S06_rep0041__four_chain_sentinel__chain02.rds",TRUE,1348030,1348030,"3b899abbf75d8280323ca43a934dbf664b838494db7105578ae0f9ef619c38cc","3b899abbf75d8280323ca43a934dbf664b838494db7105578ae0f9ef619c38cc",TRUE
"job_results/whole_scan_x2__M02__S06_rep0041__four_chain_sentinel__chain03.rds",TRUE,1348574,1348574,"d7537e271c4d52571d5992334c15ea93f2129fc14c80748380a5132cf49b0c81","d7537e271c4d52571d5992334c15ea93f2129fc14c80748380a5132cf49b0c81",TRUE
"job_results/whole_scan_x2__M02__S06_rep0041__four_chain_sentinel__chain04.rds",TRUE,1347899,1347899,"5e2ae9cf1461cc86706d02d4e75f64a9017db144122b23ff6f014f86f1437b21","5e2ae9cf1461cc86706d02d4e75f64a9017db144122b23ff6f014f86f1437b21",TRUE
"job_results/whole_scan_x2__M02__S06_rep0194__one_chain_standard__chain01.rds",TRUE,1353956,1353956,"164502d43335c4a6a93669660eac5be33551d262bbff286e6873754c65c5cef5","164502d43335c4a6a93669660eac5be33551d262bbff286e6873754c65c5cef5",TRUE
"job_results/whole_scan_x2__M06__S06_rep0104__four_chain_sentinel__chain01.rds",TRUE,686240,686240,"5a3be83ef4f006ad1b39601e46edad971e3bb63f166addc81628357953f9c07f","5a3be83ef4f006ad1b39601e46edad971e3bb63f166addc81628357953f9c07f",TRUE
"job_results/whole_scan_x2__M06__S06_rep0104__four_chain_sentinel__chain02.rds",TRUE,685955,685955,"a11c13ee2f4c7d6e2d2160086e805d51b32f9fe3c35c2b2c0855ac4f5ab62782","a11c13ee2f4c7d6e2d2160086e805d51b32f9fe3c35c2b2c0855ac4f5ab62782",TRUE
"job_results/whole_scan_x2__M06__S06_rep0104__four_chain_sentinel__chain03.rds",TRUE,685930,685930,"6239398b9259649db48527b82db364fc9b3535903149949c8c0fe0923ab639c3","6239398b9259649db48527b82db364fc9b3535903149949c8c0fe0923ab639c3",TRUE
"job_results/whole_scan_x2__M06__S06_rep0104__four_chain_sentinel__chain04.rds",TRUE,685803,685803,"7001a76dd27820306238a308cd07979ff2072ce8b2bd40c138ea3973650f5d9f","7001a76dd27820306238a308cd07979ff2072ce8b2bd40c138ea3973650f5d9f",TRUE
"job_results/whole_scan_x2__M06__S06_rep0196__one_chain_standard__chain01.rds",TRUE,680559,680559,"526c50ae28c65bc77137f088b732c06d10a0a3e540b28b9ce15bc5d1c1aef517","526c50ae28c65bc77137f088b732c06d10a0a3e540b28b9ce15bc5d1c1aef517",TRUE
"job_results/whole_scan_x2__M09__S05_rep0077__one_chain_standard__chain01.rds",TRUE,2095207,2095207,"3420199fe30fd9c6de94c7cd8b9f512cba09c1ae8b30b7193c4ef0a11b356b64","3420199fe30fd9c6de94c7cd8b9f512cba09c1ae8b30b7193c4ef0a11b356b64",TRUE
"job_results/whole_scan_x2__M09__S05_rep0113__four_chain_sentinel__chain01.rds",TRUE,2090810,2090810,"e7e4929901b5022a3391fc80e07da6faabcf9c0a9f75c77fd9f2754a7ca362e2","e7e4929901b5022a3391fc80e07da6faabcf9c0a9f75c77fd9f2754a7ca362e2",TRUE
"job_results/whole_scan_x2__M09__S05_rep0113__four_chain_sentinel__chain02.rds",TRUE,2090525,2090525,"f6d6ecf36c60d55f380151c7f557002f6f3953ddeba0a1b3519e4ecab5b1e60b","f6d6ecf36c60d55f380151c7f557002f6f3953ddeba0a1b3519e4ecab5b1e60b",TRUE
"job_results/whole_scan_x2__M09__S05_rep0113__four_chain_sentinel__chain03.rds",TRUE,2090041,2090041,"55da783b6dd3c101c16d7628403f4ecde98758bd89e995880afbf3cfff84e054","55da783b6dd3c101c16d7628403f4ecde98758bd89e995880afbf3cfff84e054",TRUE
"job_results/whole_scan_x2__M09__S05_rep0113__four_chain_sentinel__chain04.rds",TRUE,2090299,2090299,"fcf5a3ded7bf10834751f099fb449f2436d891958f0a0e093a0a4abb3e52bee1","fcf5a3ded7bf10834751f099fb449f2436d891958f0a0e093a0a4abb3e52bee1",TRUE
"job_results/whole_scan_x2__M10__S05_rep0104__one_chain_standard__chain01.rds",TRUE,2080009,2080009,"436cc5d76a3e6e1c46fee755d15573e4fec5a4db7236c12e31da8ca7d661e1fb","436cc5d76a3e6e1c46fee755d15573e4fec5a4db7236c12e31da8ca7d661e1fb",TRUE
