"estimand","chains","rhat","ess_bulk","ess_tail","mcse_mean","mcse_over_sd","pass","candidate_id","transition_multiplier","method","DGP","replication","case_role","diagnostic_role"
"log_q_1",4,1.00487962061137,376.116113330931,6693.31866802679,0.0163799903603298,0.0514265409017159,FALSE,"whole_scan_x2",2,"M10","S05",129,"guard","four_chain_sentinel"
"mean_width",4,1.00331774517651,344.948906592127,5088.23346349127,0.008348838565499,0.0541863298640445,FALSE,"whole_scan_x2",2,"M10","S05",129,"guard","four_chain_sentinel"
"log_q_1",1,,39.5747143706697,191.679317656554,0.0443673993147141,0.16008570739802,FALSE,"whole_scan_x2",2,"M10","S05",104,"hard","one_chain_standard"
"mean_midpoint",1,,127.001701003168,2387.16477126716,0.00667552500530507,0.0882970709187827,FALSE,"whole_scan_x2",2,"M10","S05",104,"hard","one_chain_standard"
"mean_upper",1,,46.5283299947548,144.424023444048,0.0204394718756704,0.146164691685399,FALSE,"whole_scan_x2",2,"M10","S05",104,"hard","one_chain_standard"
"mean_width",1,,34.957214976616,146.136440929153,0.0264027675589015,0.170970091703723,FALSE,"whole_scan_x2",2,"M10","S05",104,"hard","one_chain_standard"
"log_q_1",4,1.00217742409773,260.424157172645,6466.04028418154,0.0198067768589996,0.0618440832570384,FALSE,"whole_scan_x4",4,"M10","S05",129,"guard","four_chain_sentinel"
"mean_upper",4,1.00165209843,329.620251426944,2565.27107432788,0.00789556785718783,0.0550281974801345,FALSE,"whole_scan_x4",4,"M10","S05",129,"guard","four_chain_sentinel"
"mean_width",4,1.00153444771843,277.936997496594,3182.76782874228,0.00934540298131066,0.0601554307425286,FALSE,"whole_scan_x4",4,"M10","S05",129,"guard","four_chain_sentinel"
"log_q_1",1,,64.0640123996889,359.857454235444,0.0344839100107615,0.12792937671543,FALSE,"whole_scan_x4",4,"M10","S05",104,"hard","one_chain_standard"
"mean_upper",1,,108.923285848735,541.670456494449,0.0131400327730178,0.096214257737928,FALSE,"whole_scan_x4",4,"M10","S05",104,"hard","one_chain_standard"
"mean_width",1,,57.5382569717913,181.677473019577,0.0203948579007248,0.136217928703076,FALSE,"whole_scan_x4",4,"M10","S05",104,"hard","one_chain_standard"
"log_q_1",4,1.00056197312918,384.112241010738,5704.34125621431,0.0163810540479932,0.0508415687356015,FALSE,"whole_scan_x8",8,"M10","S05",129,"guard","four_chain_sentinel"
"mean_width",4,1.00061365852987,387.657151589952,2458.47180701993,0.00799343193857713,0.0511077808883097,FALSE,"whole_scan_x8",8,"M10","S05",129,"guard","four_chain_sentinel"
"log_q_1",1,,134.911879302917,1337.21738000345,0.0174371083201107,0.0860744931580709,FALSE,"whole_scan_x2",2,"M11","S05",190,"guard","one_chain_standard"
