"method","candidate_id","transition_multiplier","cases","jobs","fits_succeeded","exact_target_fits","total_repairs","diagnostics","diagnostics_passed","all_hard_and_guard_diagnostics_pass","elapsed_seconds","max_peak_RSS_KiB","eligible"
"M01","whole_scan_x2",2,2,5,5,5,0,92,92,TRUE,24805.222,726960,TRUE
"M01","whole_scan_x4",4,2,5,5,5,0,92,92,TRUE,47130.263,913936,TRUE
"M01","whole_scan_x8",8,2,5,5,5,0,92,92,TRUE,91375.017,1374436,TRUE
"M02","whole_scan_x2",2,2,5,5,5,0,90,90,TRUE,849.694,912852,TRUE
"M02","whole_scan_x4",4,2,5,5,5,0,90,90,TRUE,1688.698,1123972,TRUE
"M02","whole_scan_x8",8,2,5,5,5,0,90,90,TRUE,3320.963,1534512,TRUE
"M06","whole_scan_x2",2,2,5,5,5,0,90,90,TRUE,2262.697,470260,TRUE
"M06","whole_scan_x4",4,2,5,5,5,0,90,90,TRUE,3792.871,473584,TRUE
"M06","whole_scan_x8",8,2,5,5,5,0,90,90,TRUE,6901.366,520820,TRUE
"M09","whole_scan_x2",2,2,5,5,5,0,92,92,TRUE,24914.113,686948,TRUE
"M09","whole_scan_x4",4,2,5,5,5,0,92,92,TRUE,47226.456,928400,TRUE
"M09","whole_scan_x8",8,2,5,5,5,0,92,92,TRUE,91143.352,1357216,TRUE
"M10","whole_scan_x2",2,2,5,5,5,0,92,86,FALSE,25141.379,708984,FALSE
"M10","whole_scan_x4",4,2,5,5,5,0,92,86,FALSE,47681.833,944536,FALSE
"M10","whole_scan_x8",8,2,5,5,5,0,92,90,FALSE,90731.604,1346280,FALSE
"M11","whole_scan_x2",2,3,6,6,6,0,141,134,FALSE,44912.212,899736,FALSE
"M11","whole_scan_x4",4,3,6,6,6,0,141,137,FALSE,83992.367,1177532,FALSE
"M11","whole_scan_x8",8,3,6,6,6,0,141,134,FALSE,160366.056,1716752,FALSE
