"repository","branch","commit","status_digest_before","status_digest_after","unchanged"
"exdqlm_reference","feature/rqr-desn-readout-20260716","dffb71ee70b597d6a716ee74be1cbc99731cd453","77c496737cac7e9ff45b4d6f4a953cbb6c7885cd26932215fcae9350a2ac19fc","77c496737cac7e9ff45b4d6f4a953cbb6c7885cd26932215fcae9350a2ac19fc",TRUE
"Q-DESN_article","main","f9f22804eff3871bb5350c8add04b7c9f4d4957b","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855",TRUE
