"estimand","chains","rhat","ess_bulk","ess_tail","mcse_mean","mcse_over_sd","pass","DGP","replication","sentinel"
"mean_lower",1,NA,1814.75932438476,3518.5120469782,0.00244071995365608,0.0234690250367265,TRUE,"S01",39,FALSE
"mean_upper",1,NA,1665.88155805885,3207.99430345327,0.00267193714758207,0.0244483294993041,TRUE,"S01",39,FALSE
"mean_midpoint",1,NA,2362.78768791714,3846.74742874251,0.00156141707723151,0.0205377922076939,TRUE,"S01",39,FALSE
"mean_width",1,NA,1381.5997714041,2510.13785047106,0.00402791894681453,0.0269132278768216,TRUE,"S01",39,FALSE
"observed_loss",1,NA,3885.52193857456,4392.79309101432,0.0527062608396911,0.0160802168266762,TRUE,"S01",39,FALSE
"training_t0001_lower",1,NA,3409.35188880322,4232.05232603771,0.00540429425122124,0.0170984228233026,TRUE,"S01",39,FALSE
"training_t0001_upper",1,NA,2829.44326793898,3885.96507739263,0.00610464756862207,0.0188868280698875,TRUE,"S01",39,FALSE
"training_t0001_midpoint",1,NA,3908.2213784462,5130.27512965403,0.00355088312042965,0.015990034062411,TRUE,"S01",39,FALSE
"training_t0001_width",1,NA,2620.34040963806,3919.29089767372,0.0089958841849535,0.0195614462964411,TRUE,"S01",39,FALSE
"training_t0050_lower",1,NA,2929.71503527364,4323.96146076407,0.003646023023741,0.0184899456996567,TRUE,"S01",39,FALSE
"training_t0050_upper",1,NA,2381.91646754522,3884.97032836402,0.00504984810628684,0.0205103211118001,TRUE,"S01",39,FALSE
"training_t0050_midpoint",1,NA,3207.49507371917,4683.38074531229,0.00279924790941969,0.0177022507048687,TRUE,"S01",39,FALSE
"training_t0050_width",1,NA,2131.40149749943,3551.17039793654,0.0068247618729233,0.0216919994999655,TRUE,"S01",39,FALSE
"training_t0100_lower",1,NA,2802.58935883115,4339.69437544083,0.0050432568147395,0.0188971719986951,TRUE,"S01",39,FALSE
"training_t0100_upper",1,NA,2413.1825318354,3649.27346734761,0.0061683527307265,0.0203783422666597,TRUE,"S01",39,FALSE
"training_t0100_midpoint",1,NA,3118.05941733551,4602.90923243,0.00375223972013893,0.0179403680545658,TRUE,"S01",39,FALSE
