"DGP","replication","sentinel","chains","diagnostics","diagnostics_passed","all_pass","fit_elapsed_seconds","maximum_peak_RSS_KiB","log_q_1_rhat","log_q_1_ess_bulk","log_q_1_ess_tail","log_q_1_mcse_over_sd"
"S01",39,FALSE,1,46,46,TRUE,2236.59,630800,NA,846.799119178055,929.978777027322,0.0348243720000763
"S01",147,FALSE,1,46,46,TRUE,2241.455,637580,NA,543.541228626283,896.189262575683,0.0429977609147297
"S02",165,TRUE,4,46,46,TRUE,8902.607,699108,1.00054882612391,2735.18151478761,4733.32947447478,0.0192134675645489
"S01",50,FALSE,1,46,46,TRUE,2216.881,633380,NA,884.657115854639,1402.86450116197,0.0340170183618997
"S01",151,TRUE,4,46,46,TRUE,8420.322,699196,1.00035086393172,2529.53647865948,4939.39188071068,0.0199170927643813
"S02",178,FALSE,1,46,46,TRUE,2040.901,707776,NA,559.906461792207,1348.46057050753,0.0422769549438138
"S01",71,FALSE,1,46,46,TRUE,2068.586,699244,NA,498.750001157902,1331.79835893008,0.0448097571519225
"S01",169,FALSE,1,46,46,TRUE,2153.66,715976,NA,820.529870648743,1493.22485889773,0.0348954042385819
"S02",179,FALSE,1,46,46,TRUE,2102.814,647444,NA,785.727340352304,1366.21538005335,0.0359312515397524
"S01",72,TRUE,4,46,46,TRUE,7980.09,741000,1.00093624916644,2584.84390759753,4877.91573245197,0.019826128485685
"S01",180,TRUE,4,46,46,TRUE,8170.752,722004,1.00002101712347,3893.17432396318,6320.33932661924,0.0161391385285489
"S02",186,TRUE,4,46,46,TRUE,7697.612,746132,1.00114980343173,3118.10695543994,5959.16017513006,0.0179921801369069
"S02",69,FALSE,1,46,46,TRUE,1971.538,707776,NA,682.617694857002,876.702274646403,0.039221996675285
"S01",87,FALSE,1,46,46,TRUE,1951.428,722016,NA,669.138197894211,1081.33232988011,0.0389715799013038
"S02",85,TRUE,4,46,46,TRUE,7934.074,765056,1.00053874723944,2244.22828183744,3968.35940446776,0.021198082873551
"S01",92,TRUE,4,46,46,TRUE,7660.175,741024,1.00016915358293,2846.81887059919,4607.07995227937,0.0188675247243572
"S02",86,TRUE,4,46,46,TRUE,7425.89,765056,1.00026085184008,3406.72045290402,6227.42164432062,0.0172169258697583
"S01",114,FALSE,1,46,46,TRUE,1784.429,741024,NA,626.12404905413,1202.7266148961,0.0400867125020724
"S02",87,FALSE,1,46,46,TRUE,1880.568,735816,NA,790.931753428901,1156.8161004379,0.0358034971277069
"S01",131,FALSE,1,46,46,TRUE,1868.068,714264,NA,741.180513294677,1309.80710733786,0.0368757787087087
