"item","observed","denominator"
"canonical_waves",2,110
"passed_waves",1,110
"failed_waves",1,110
"not_started_waves",108,110
"replication_tasks_with_artifacts",45,8400
"fully_completed_tasks",43,8400
"method_evaluations",215,43800
"MCMC_method_attempts",143,NA
"MCMC_chain_executions",275,40938
"diagnostic_rows",6370,NA
"diagnostic_rows_passed",6370,NA
"diagnostic_rows_failed",0,NA
