"canonical_wave_index","wave_id","phase","batch_group","task_count","workers_used","decision","all_workers_passed","source_commit","runtime_tree_digest","completion_sha256","artifact_manifest_sha256"
1,"static_gaussian_T200__target0200__sentinel","sentinel","static_gaussian_T200",20,8,"passed",TRUE,"ca4575e0188f0cdf200e781b39e47cb8e72b53c5","9841970681829ffc032da32a0daf149ca61efe863d16f9ff897b2131973575e2","e508f3eb3b2ef66b40b9ba5f36b6801c59552e94ec2277b1fc4e2b74e705817b","39bafbc95d6dd8dd795d4b02363790a9c03be2568e2ddc3af2cc178cd2a90b85"
2,"local_level_gaussian_T200__target0200__sentinel","sentinel","local_level_gaussian_T200",25,8,"failed",FALSE,"ca4575e0188f0cdf200e781b39e47cb8e72b53c5","9841970681829ffc032da32a0daf149ca61efe863d16f9ff897b2131973575e2","26b1f3732eda46651045ddb3cf379d579524b9f299d625977aaa217a75d31d15","88086f03a8e59b2518b0cace936a45a49f9ea937a7ddf97dcbc1b8ede67e3dc7"
