"wave_id","manifest_entries","verified_entries","all_verified","manifest_sha256"
"static_gaussian_T200__target0200__sentinel",208,208,TRUE,"39bafbc95d6dd8dd795d4b02363790a9c03be2568e2ddc3af2cc178cd2a90b85"
"local_level_gaussian_T200__target0200__sentinel",231,231,TRUE,"88086f03a8e59b2518b0cace936a45a49f9ea937a7ddf97dcbc1b8ede67e3dc7"
