"estimand","chains","rhat","ess_bulk","ess_tail","mcse_mean","mcse_over_sd","pass","candidate_id","candidate_order","transition_multiplier","method","DGP","replication","case_role","diagnostic_role","elapsed_seconds_group","bulk_effective_draws_per_second","tail_effective_draws_per_second"
"future_h01_lower",4,1.00004199062355,13966.1845436355,17956.3292895343,0.00359046115141031,0.00854186476299053,TRUE,"joint_ess1_x1",1,1,"M10","S05",129,"guard","four_chain_sentinel",13489.371,1.03534735189917,1.33114652191969
"future_h01_midpoint",4,1.00002783508987,14604.5690860441,19044.2079028029,0.00323107173296018,0.00828499032696177,TRUE,"joint_ess1_x1",1,1,"M10","S05",129,"guard","four_chain_sentinel",13489.371,1.08267235633478,1.41179361905035
"future_h01_upper",4,1.00003755883207,10666.7319959512,16234.1756916445,0.00639419920234853,0.00968883892780432,TRUE,"joint_ess1_x1",1,1,"M10","S05",129,"guard","four_chain_sentinel",13489.371,0.790750880522984,1.20347907190369
"future_h01_width",4,1.00008783374025,9519.07886161139,15837.6983609408,0.00806327869968611,0.0102729352762354,TRUE,"joint_ess1_x1",1,1,"M10","S05",129,"guard","four_chain_sentinel",13489.371,0.705672552234748,1.17408723957113
"future_h05_lower",4,1.00004199062355,13966.1845436355,17956.3292895343,0.00359046115141031,0.00854186476299053,TRUE,"joint_ess1_x1",1,1,"M10","S05",129,"guard","four_chain_sentinel",13489.371,1.03534735189917,1.33114652191969
"future_h05_midpoint",4,1.00002783508987,14604.5690860441,19044.2079028029,0.00323107173296018,0.00828499032696177,TRUE,"joint_ess1_x1",1,1,"M10","S05",129,"guard","four_chain_sentinel",13489.371,1.08267235633478,1.41179361905035
"future_h05_upper",4,1.00003755883207,10666.7319959512,16234.1756916445,0.00639419920234853,0.00968883892780432,TRUE,"joint_ess1_x1",1,1,"M10","S05",129,"guard","four_chain_sentinel",13489.371,0.790750880522984,1.20347907190369
"future_h05_width",4,1.00008783374025,9519.07886161139,15837.6983609408,0.00806327869968611,0.0102729352762354,TRUE,"joint_ess1_x1",1,1,"M10","S05",129,"guard","four_chain_sentinel",13489.371,0.705672552234748,1.17408723957113
"future_h10_lower",4,1.00004199062355,13966.1845436355,17956.3292895343,0.00359046115141031,0.00854186476299053,TRUE,"joint_ess1_x1",1,1,"M10","S05",129,"guard","four_chain_sentinel",13489.371,1.03534735189917,1.33114652191969
"future_h10_midpoint",4,1.00002783508987,14604.5690860441,19044.2079028029,0.00323107173296018,0.00828499032696177,TRUE,"joint_ess1_x1",1,1,"M10","S05",129,"guard","four_chain_sentinel",13489.371,1.08267235633478,1.41179361905035
"future_h10_upper",4,1.00003755883207,10666.7319959512,16234.1756916445,0.00639419920234853,0.00968883892780432,TRUE,"joint_ess1_x1",1,1,"M10","S05",129,"guard","four_chain_sentinel",13489.371,0.790750880522984,1.20347907190369
"future_h10_width",4,1.00008783374025,9519.07886161139,15837.6983609408,0.00806327869968611,0.0102729352762354,TRUE,"joint_ess1_x1",1,1,"M10","S05",129,"guard","four_chain_sentinel",13489.371,0.705672552234748,1.17408723957113
"future_h20_lower",4,1.00004199062355,13966.1845436355,17956.3292895343,0.00359046115141031,0.00854186476299053,TRUE,"joint_ess1_x1",1,1,"M10","S05",129,"guard","four_chain_sentinel",13489.371,1.03534735189917,1.33114652191969
"future_h20_midpoint",4,1.00002783508987,14604.5690860441,19044.2079028029,0.00323107173296018,0.00828499032696177,TRUE,"joint_ess1_x1",1,1,"M10","S05",129,"guard","four_chain_sentinel",13489.371,1.08267235633478,1.41179361905035
"future_h20_upper",4,1.00003755883207,10666.7319959512,16234.1756916445,0.00639419920234853,0.00968883892780432,TRUE,"joint_ess1_x1",1,1,"M10","S05",129,"guard","four_chain_sentinel",13489.371,0.790750880522984,1.20347907190369
"future_h20_width",4,1.00008783374025,9519.07886161139,15837.6983609408,0.00806327869968611,0.0102729352762354,TRUE,"joint_ess1_x1",1,1,"M10","S05",129,"guard","four_chain_sentinel",13489.371,0.705672552234748,1.17408723957113
"log_q_1",4,1.00102756622008,2015.9014599929,3696.43578327817,0.00701150412294223,0.0223310036396384,TRUE,"joint_ess1_x1",1,1,"M10","S05",129,"guard","four_chain_sentinel",13489.371,0.149443696076926,0.27402580767318
