"response_id","role","n","missing","distinct_values","largest_tie","minimum","q25","median","mean","q75","maximum","sd","skewness"
"fct_tensile","primary",187,0,82,11,1.040339703,1.26042791433333,1.341204495,1.34995935945989,1.430898644,1.747996249,0.123546372169847,0.439491255556494
"tbl_rsd_weight","supplement",187,0,83,6,0.6,0.871666666666667,1.03,1.12898395721925,1.2,4.05,0.467126349741658,2.99886998325022
"fct_av_hardness","excluded",187,0,32,17,54.88,66.64,70.56,71.0631016042781,75.46,91.14,6.45943512671872,0.480864074413465
