"dgp_id","dgp_label","coverage","skewness","shortest_boundary","d_shortest","d_cf_shortest","abs_error_shortest","d_equal_tailed","d_cf_equal_tailed","abs_error_equal_tailed"
"normal","Normal",0.8,0,"interior",-4.77415283434953e-09,0,4.77415283434953e-09,0,0,0
"gamma16","Gamma(16, 0.25)",0.8,0.5,"interior",-0.139715554010781,-0.14056885127409,0.000853297263309627,-0.0466246371826502,-0.0468562837580301,0.000231646575379885
"gamma4","Gamma(4, 1)",0.8,1,"interior",-0.272727316161112,-0.28113770254818,0.00841038638706859,-0.0917510930574674,-0.0937125675160602,0.00196147445859274
"lognormal","Lognormal(0, 0.5)",0.8,1.75018965506972,"interior",-0.322632068641998,-0.492044298649893,0.169412230007895,-0.128181031011528,-0.164014766216631,0.0358337352051029
"exponential","Exponential",0.8,2,"lower",-0.402359478108525,-0.562275405096361,0.159915926987836,-0.169292556509201,-0.18742513503212,0.0181325785229194
"beta_right","Beta(2, 5)",0.8,0.596284793999944,"interior",-0.276779155185503,-0.167638137049559,0.109141018135943,-0.0690296872864341,-0.0558793790165198,0.0131503082699143
"beta_left","Beta(5, 2)",0.8,-0.596284793999944,"interior",0.27677916129714,0.167638137049559,0.109141024247581,0.0690296872864351,0.0558793790165198,0.0131503082699153
