"response_id","response_role","method_id","method","splits","interval_return_rate","heldout_content_median","heldout_content_q025","heldout_content_q975","heldout_attainment_rate","lower_omitted_median","upper_omitted_median","lower_median","upper_median","lower_q025","lower_q975","upper_q025","upper_q975","width_median","width_q025","width_q975","tcsp_retained_count","mti_selected_q_median","mti_selected_tilt_median","mti_posterior_content_probability_median","mti_feasible_count_median"
"fct_tensile","primary","tcsp_mc","TCSP",1000,1,0.954022988505747,0.885057471264368,1,0.936,0.0114942528735632,0.0229885057471264,1.100888574,1.617601367,1.040339703,1.170382166,1.57794029,1.747996249,0.551961475,0.462289711483333,0.6278645,98,NA,NA,NA,NA
"fct_tensile","primary","mti_ecm_adaptive_cell","MTI-ECM",1000,1,0.954022988505747,0.885057471264368,1,0.936,0.0114942528735632,0.0229885057471264,1.10088855355135,1.61760139036108,1.04033969432301,1.17038215482388,1.57794031211923,1.74799625719822,0.55196150773533,0.462289741932352,0.627864515923817,NA,0.9775,-0.00175747217501113,0.998207583872859,60
"fct_tensile","primary","young_mathew","Young--Mathew",1000,1,0.954022988505747,0.885057471264368,1,0.913,0.0229885057471264,0.0114942528735632,1.1366099037525,1.689546335,1.082540431,1.18567559696828,1.58214060854032,1.710404931,0.532240225702961,0.452281425606755,0.609516357,NA,NA,NA,NA,NA
"fct_tensile","primary","wilks_minmax","Wilks",1000,1,0.988505747126437,0.931034482758621,1,0.994,0,0,1.040339703,1.747996249,1.040339703,1.13758486,1.617601367,1.747996249,0.665455818,0.535060936,0.707656546,NA,NA,NA,NA,NA
"tbl_rsd_weight","supplement","tcsp_mc","TCSP",1000,1,0.96551724137931,0.896551724137931,1,0.967,0,0.0229885057471264,0.6,2.61,0.6,0.69,2.17,2.97,2,1.52683333333333,2.37,98,NA,NA,NA,NA
"tbl_rsd_weight","supplement","mti_ecm_adaptive_cell","MTI-ECM",1000,1,0.96551724137931,0.896551724137931,1,0.967,0,0.0229885057471264,0.599999997064515,2.61000000247185,0.599999991710361,0.689999994011504,2.17000000316526,2.97000000210499,2.00000000919128,1.52683334478442,2.37000000780415,NA,0.9775,-0.0476272669892698,0.998548950633388,59
"tbl_rsd_weight","supplement","young_mathew","Young--Mathew",1000,1,0.954022988505747,0.873563218390805,0.988505747126437,0.891,0.0344827586206897,0.0114942528735632,0.7,2.97,0.673288020098525,0.737762673366175,2.28,3.27,2.26,1.57223732663382,2.5889493065353,NA,NA,NA,NA,NA
"tbl_rsd_weight","supplement","wilks_minmax","Wilks",1000,1,0.988505747126437,0.931034482758621,1,1,0,0,0.6,4.05,0.6,0.69,2.44541666666667,4.05,3.37,1.81808333333333,3.45,NA,NA,NA,NA,NA
