"DGP","state_dimension","training_horizon_expected","training_horizon_observed","future_horizon_expected","future_horizon_observed","full_horizon_expected","full_horizon_observed","training_partition_exact","future_partition_exact","pass"
"S01",2,200,200,20,20,220,220,TRUE,TRUE,TRUE
"S02",2,200,200,20,20,220,220,TRUE,TRUE,TRUE
"S03",1,200,200,20,20,220,220,TRUE,TRUE,TRUE
"S04",1,200,200,20,20,220,220,TRUE,TRUE,TRUE
"S05",1,200,200,20,20,220,220,TRUE,TRUE,TRUE
"S06",1,200,200,20,20,220,220,TRUE,TRUE,TRUE
"S07",4,200,200,20,20,220,220,TRUE,TRUE,TRUE
"S08",4,200,200,20,20,220,220,TRUE,TRUE,TRUE
"S09",4,200,200,20,20,220,220,TRUE,TRUE,TRUE
"S10",3,200,200,20,20,220,220,TRUE,TRUE,TRUE
"S11",3,200,200,20,20,220,220,TRUE,TRUE,TRUE
"S12",2,200,200,20,20,220,220,TRUE,TRUE,TRUE
"S13",1,200,200,20,20,220,220,TRUE,TRUE,TRUE
"S14",1,200,200,20,20,220,220,TRUE,TRUE,TRUE
"S15",1,100,100,20,20,120,120,TRUE,TRUE,TRUE
"S16",1,400,400,20,20,420,420,TRUE,TRUE,TRUE
