"estimand","chains","rhat","ess_bulk","ess_tail","mcse_mean","mcse_over_sd","pass","DGP","replication"
"mean_lower",1,NA,678.287206889316,1277.60636272237,0.00324434272612229,0.0383212519384265,TRUE,"S01",39
"mean_upper",1,NA,629.292762394392,1267.85589584888,0.00432031027136438,0.0398774927615748,TRUE,"S01",39
"mean_midpoint",1,NA,724.475348306422,1437.55186444675,0.00255770319970331,0.0371889647410775,TRUE,"S01",39
"mean_width",1,NA,583.862126166602,1246.33165027658,0.00571080819573429,0.0415513899240989,TRUE,"S01",39
"observed_loss",1,NA,1235.58953927545,1887.00069590157,0.050311294297213,0.0287261857666194,TRUE,"S01",39
"training_t0001_lower",1,NA,690.634759570621,1297.23325443662,0.00634762330634719,0.03827951805451,TRUE,"S01",39
"training_t0001_upper",1,NA,567.07918536403,919.55450086674,0.00977125942162018,0.0420541517150256,TRUE,"S01",39
"training_t0001_midpoint",1,NA,770.363406861114,1233.52704355189,0.00493380986420764,0.0360066440197818,TRUE,"S01",39
"training_t0001_width",1,NA,507.876641002725,807.183489720885,0.0132837547583424,0.044814254838441,TRUE,"S01",39
"training_t0050_lower",1,NA,635.558187903145,1217.46173201876,0.00436842934775775,0.0399069160460435,TRUE,"S01",39
"training_t0050_upper",1,NA,589.979953496553,913.507900753132,0.006382267025254,0.0410041560743411,TRUE,"S01",39
"training_t0050_midpoint",1,NA,783.324295538612,1277.22384446041,0.00332724366549574,0.0358004852509284,TRUE,"S01",39
"training_t0050_width",1,NA,500.94667869222,864.738655946462,0.00873361512866612,0.0448802190060796,TRUE,"S01",39
"training_t0100_lower",1,NA,692.194345579208,1459.53845257578,0.00400478375680581,0.0380338777688486,TRUE,"S01",39
"training_t0100_upper",1,NA,571.60059254946,922.684703010765,0.00527462984016496,0.0417881266525553,TRUE,"S01",39
"training_t0100_midpoint",1,NA,662.422993284855,1242.48635744138,0.00320732033870535,0.038851554219261,TRUE,"S01",39
"training_t0100_width",1,NA,582.647588172162,1157.32012108307,0.00677944801347394,0.0414286154028315,TRUE,"S01",39
"training_t0150_lower",1,NA,711.096413390237,1189.9869611808,0.00607831891402787,0.0376334957069225,TRUE,"S01",39
"training_t0150_upper",1,NA,461.513129008963,993.788658384456,0.00803494051325266,0.0469992043327917,TRUE,"S01",39
"training_t0150_midpoint",1,NA,574.793779831227,1079.52639478654,0.00493072707512031,0.0417551558866711,TRUE,"S01",39
"training_t0150_width",1,NA,634.327410683925,1043.78344878588,0.00930279841760423,0.0397216807190889,TRUE,"S01",39
"training_t0200_lower",1,NA,604.675863421056,1194.35853269552,0.00884629386896831,0.0408068242398904,TRUE,"S01",39
"training_t0200_upper",1,NA,780.192868850207,1545.83102567435,0.0063598798520702,0.0355817545747546,TRUE,"S01",39
"training_t0200_midpoint",1,NA,812.666403392152,1391.80389497848,0.00489597635078351,0.0351124471132453,TRUE,"S01",39
"training_t0200_width",1,NA,554.813274432097,1038.50900966399,0.012042019835215,0.0425440491745686,TRUE,"S01",39
"future_h01_lower",1,NA,660.790375242518,1291.3090496442,0.00712205379084809,0.0388430335467841,TRUE,"S01",39
"future_h01_upper",1,NA,715.201310468253,1250.07727363818,0.00617506558219952,0.0374113679779532,TRUE,"S01",39
"future_h01_midpoint",1,NA,853.896728665522,1730.53783100794,0.00410699311585613,0.0343503563304786,TRUE,"S01",39
"future_h01_width",1,NA,582.45399169352,998.894960696392,0.0105469408158771,0.0415136158471467,TRUE,"S01",39
"future_h05_lower",1,NA,659.916283842851,1313.13363902007,0.00734250112637953,0.0388795493757487,TRUE,"S01",39
"future_h05_upper",1,NA,713.44394572798,1287.61558400752,0.00638003416632767,0.0374968859147139,TRUE,"S01",39
"future_h05_midpoint",1,NA,857.182840178763,1735.59628534778,0.00421912689396596,0.0342784689695835,TRUE,"S01",39
"future_h05_width",1,NA,579.388718850927,976.095234501169,0.0109039293154463,0.0416214077420232,TRUE,"S01",39
"future_h10_lower",1,NA,658.845579276576,1341.5677318694,0.00762030097015083,0.0389225243879604,TRUE,"S01",39
"future_h10_upper",1,NA,710.474204238997,1335.89933729254,0.00664113002738533,0.0375974555432615,TRUE,"S01",39
"future_h10_midpoint",1,NA,861.270304210293,1735.19491853104,0.00436171138231123,0.0341960487458568,TRUE,"S01",39
"future_h10_width",1,NA,575.659121834545,958.591394999291,0.0113558669436906,0.0417488826596581,TRUE,"S01",39
"future_h20_lower",1,NA,656.641023809139,1240.98722723747,0.00817831021485033,0.0389808407330116,TRUE,"S01",39
"future_h20_upper",1,NA,703.599321641352,1483.68859818263,0.00717734050422387,0.0377785041640418,TRUE,"S01",39
"future_h20_midpoint",1,NA,867.902254917749,1617.6462070592,0.00465399471410359,0.0340530915103703,TRUE,"S01",39
"future_h20_width",1,NA,569.126389535831,954.991175906826,0.0122760790424724,0.041980880753762,TRUE,"S01",39
"mean_lower",1,NA,503.213034978165,970.864519330649,0.00455800808873398,0.0445906877887843,TRUE,"S01",147
"mean_upper",1,NA,441.851126779919,874.636281948106,0.00544611525323287,0.0478818193029507,TRUE,"S01",147
"mean_midpoint",1,NA,533.190453333335,959.485101168297,0.00327399840939037,0.0434104647765715,TRUE,"S01",147
"mean_width",1,NA,387.205903916918,736.030461770193,0.00787240979310779,0.0507962276060266,TRUE,"S01",147
"observed_loss",1,NA,1062.96161883405,1285.56992210638,0.0598543403254226,0.0324781820853517,TRUE,"S01",147
"training_t0001_lower",1,NA,555.806262417613,1124.73621432493,0.00848903352081007,0.0424554801901546,TRUE,"S01",147
"training_t0001_upper",1,NA,584.050837399043,1020.14314638754,0.00885940942059104,0.0414741184167836,TRUE,"S01",147
"training_t0001_midpoint",1,NA,561.056841727154,1307.12375724525,0.00634123565510738,0.0422977793935109,TRUE,"S01",147
"training_t0001_width",1,NA,582.720676980888,1093.27253158182,0.0118003895956564,0.0413808216664631,TRUE,"S01",147
"training_t0050_lower",1,NA,553.269840557215,1055.87817849884,0.00555553374787257,0.042515063639848,TRUE,"S01",147
"training_t0050_upper",1,NA,662.996689687357,1329.85994323714,0.00494596246875924,0.0389628624923886,TRUE,"S01",147
"training_t0050_midpoint",1,NA,615.671402540592,1447.95305495414,0.00375747406190891,0.0403140712218873,TRUE,"S01",147
"training_t0050_width",1,NA,592.491429058247,1196.31484252944,0.00729124546048385,0.0409973631312662,TRUE,"S01",147
"training_t0100_lower",1,NA,669.486183424294,1058.15316743061,0.00768092951844365,0.0385412706587103,TRUE,"S01",147
"training_t0100_upper",1,NA,565.645678045178,1301.34689603434,0.0109179434255199,0.0422224516841179,TRUE,"S01",147
"training_t0100_midpoint",1,NA,585.954941815488,1342.60392082417,0.00681364029827152,0.0413563972704355,TRUE,"S01",147
