"canonical_wave_index","wave_id","phase","batch_group","task_count","workers_used","decision","all_workers_passed","source_commit","runtime_tree_digest","completion_sha256","artifact_manifest_sha256"
1,"static_gaussian_T200__target0200__sentinel","sentinel","static_gaussian_T200",20,8,"passed",TRUE,"32f6745369b83040c0b1c4bd385c17072ee912d8","e6c42d648dffc8f3c4e98a2559e59bf4374db611a9565733979bc74c8bca3499","00b65e1b5746875812e2040730b0dde1362aa4f49300e5508c3c22485df5f361","6a84e0b421ad55347bb6e4c5fc69eb85485e75c4394804a62b12eee7f62ba85f"
2,"local_level_gaussian_T200__target0200__sentinel","sentinel","local_level_gaussian_T200",25,8,"passed",TRUE,"32f6745369b83040c0b1c4bd385c17072ee912d8","e6c42d648dffc8f3c4e98a2559e59bf4374db611a9565733979bc74c8bca3499","ecac104f3d1a9ecf8159de5234d91cfec86e1ccca6089a85106d3124047459bd","19ec9b4e3a39183e46c86f245840dedd9c0eb41cb661333b17dad8dd5f2c958e"
3,"local_level_skewed_T200__target0200__sentinel","sentinel","local_level_skewed_T200",35,8,"failed",FALSE,"32f6745369b83040c0b1c4bd385c17072ee912d8","e6c42d648dffc8f3c4e98a2559e59bf4374db611a9565733979bc74c8bca3499","f2eb783da0cfb0e4707c3c7ba8bf0082e4d83041f9d69684f37bc90362667f44","40583d1273290034411f89e1ab466a4ef8e224702b3f640cea99efcfcc28236a"
