"estimand","chains","rhat","ess_bulk","ess_tail","mcse_mean","mcse_over_sd","pass","DGP","replication","method","sentinel","wave_id"
"mean_upper",1,NA,157.731402714985,292.317781160388,0.0272408464052193,0.0797517250533045,FALSE,"S06",196,"M06",FALSE,"local_level_skewed_T200__target0200__sentinel"
"mean_midpoint",1,NA,165.86422311186,289.200616828163,0.0139727270669095,0.0780163250711109,FALSE,"S06",196,"M06",FALSE,"local_level_skewed_T200__target0200__sentinel"
"mean_width",1,NA,158.733421866968,339.029786250854,0.0266539778045055,0.0793024330172562,FALSE,"S06",196,"M06",FALSE,"local_level_skewed_T200__target0200__sentinel"
"training_t0050_upper",1,NA,180.66495966717,288.286841123303,0.0385998632930073,0.076310826082986,FALSE,"S06",196,"M06",FALSE,"local_level_skewed_T200__target0200__sentinel"
"training_t0050_midpoint",1,NA,194.083318842908,289.469570992553,0.0196826152409424,0.0732346923394781,FALSE,"S06",196,"M06",FALSE,"local_level_skewed_T200__target0200__sentinel"
"training_t0050_width",1,NA,195.337418795641,374.135493409533,0.0380919799090711,0.0731769059499552,FALSE,"S06",196,"M06",FALSE,"local_level_skewed_T200__target0200__sentinel"
"training_t0100_upper",1,NA,187.104276724997,320.788651130936,0.0290011766503124,0.0738386034095207,FALSE,"S06",196,"M06",FALSE,"local_level_skewed_T200__target0200__sentinel"
"mean_upper",1,NA,136.41063127472,634.52890617599,0.0263193696842628,0.0871891467541951,FALSE,"S05",113,"M10",FALSE,"local_level_skewed_T200__target0200__sentinel"
"mean_midpoint",1,NA,154.475955508748,578.152256930054,0.013335951169896,0.0809258218642649,FALSE,"S05",113,"M10",FALSE,"local_level_skewed_T200__target0200__sentinel"
"mean_width",1,NA,130.172811239537,584.373620139053,0.0258624734439325,0.0900208315853959,FALSE,"S05",113,"M10",FALSE,"local_level_skewed_T200__target0200__sentinel"
"log_q_1",1,NA,128.473550902235,628.550468536513,0.0252781004170528,0.0891334388552715,FALSE,"S05",113,"M10",FALSE,"local_level_skewed_T200__target0200__sentinel"
"log_q_1",1,NA,196.618001803307,398.348751122266,0.0461904112707449,0.0712740502339741,FALSE,"S05",186,"M01",FALSE,"local_level_skewed_T200__target0200__sentinel"
"mean_upper",1,NA,189.293002078795,418.043496487351,0.0179989337438589,0.0723153853143593,FALSE,"S05",186,"M06",FALSE,"local_level_skewed_T200__target0200__sentinel"
"mean_width",1,NA,186.730895736375,463.126051029304,0.0183311052465147,0.0729550789667856,FALSE,"S05",186,"M06",FALSE,"local_level_skewed_T200__target0200__sentinel"
"mean_upper",1,NA,184.834240462169,664.96957521849,0.00513466151550221,0.077133699965998,FALSE,"S05",51,"M11",FALSE,"local_level_skewed_T200__target0200__sentinel"
"mean_width",1,NA,120.575883334435,553.150814555398,0.00732151369998724,0.092674013739156,FALSE,"S05",51,"M11",FALSE,"local_level_skewed_T200__target0200__sentinel"
"log_q_1",1,NA,95.8810094519333,590.142793624791,0.019950409125606,0.102620707906961,FALSE,"S05",51,"M11",FALSE,"local_level_skewed_T200__target0200__sentinel"
"mean_upper",1,NA,195.977584859696,376.223823907414,0.0176511039425358,0.0731055801323672,FALSE,"S06",99,"M06",FALSE,"local_level_skewed_T200__target0200__sentinel"
"mean_upper",1,NA,175.460295555024,645.688053427458,0.0100698739474208,0.0754785948077221,FALSE,"S05",122,"M10",FALSE,"local_level_skewed_T200__target0200__sentinel"
"mean_width",1,NA,124.487892434636,430.882536467071,0.0134621747803796,0.0909430293648102,FALSE,"S05",122,"M10",FALSE,"local_level_skewed_T200__target0200__sentinel"
"log_q_1",1,NA,91.8808144813737,840.716880270259,0.0336791144937531,0.101824329649129,FALSE,"S05",122,"M10",FALSE,"local_level_skewed_T200__target0200__sentinel"
"mean_upper",1,NA,188.034610409319,305.053417200287,0.0167175697401325,0.0739079709103172,FALSE,"S05",58,"M06",FALSE,"local_level_skewed_T200__target0200__sentinel"
"mean_width",1,NA,185.442940061561,330.212295415678,0.0170445292790154,0.0744333826320668,FALSE,"S05",58,"M06",FALSE,"local_level_skewed_T200__target0200__sentinel"
"mean_upper",1,NA,137.165087891199,739.325045772154,0.0163083971651181,0.0860847514158841,FALSE,"S05",58,"M10",FALSE,"local_level_skewed_T200__target0200__sentinel"
"mean_width",1,NA,110.948453769802,699.864382711117,0.018380162680242,0.095754694076053,FALSE,"S05",58,"M10",FALSE,"local_level_skewed_T200__target0200__sentinel"
"training_t0150_upper",1,NA,194.709307605542,723.047779649312,0.0341404389723198,0.0690977957444223,FALSE,"S05",58,"M10",FALSE,"local_level_skewed_T200__target0200__sentinel"
"training_t0150_width",1,NA,116.724360907204,69.9636417442476,0.0617198902727999,0.0983032154182512,FALSE,"S05",58,"M10",FALSE,"local_level_skewed_T200__target0200__sentinel"
"log_q_1",1,NA,106.543549466144,644.052295963553,0.0301369883108428,0.0968527904618798,FALSE,"S05",58,"M10",FALSE,"local_level_skewed_T200__target0200__sentinel"
"mean_upper",4,1.02688695999717,34.3510343553487,137.487119205829,0.0177526096910583,0.168152906995186,FALSE,"S05",74,"M11",TRUE,"local_level_skewed_T200__target0200__sentinel"
"mean_midpoint",4,1.01957301674787,56.0734625581463,259.444142623897,0.00731586601813089,0.132028586137583,FALSE,"S05",74,"M11",TRUE,"local_level_skewed_T200__target0200__sentinel"
"mean_width",4,1.02899643073196,30.8188003118972,122.644396943016,0.0199211308736127,0.178740023769745,FALSE,"S05",74,"M11",TRUE,"local_level_skewed_T200__target0200__sentinel"
"observed_loss",4,1.01334537485162,144.768423334916,1655.62512341504,0.194041143098756,0.0799310965994235,FALSE,"S05",74,"M11",TRUE,"local_level_skewed_T200__target0200__sentinel"
"log_q_1",4,1.02538615197829,34.4871178028219,128.703370053918,0.0391662146420192,0.169250009428515,FALSE,"S05",74,"M11",TRUE,"local_level_skewed_T200__target0200__sentinel"
"log_q_1",1,NA,170.364114803135,246.634516822341,0.0473630904935567,0.078332763734348,FALSE,"S05",77,"M09",FALSE,"local_level_skewed_T200__target0200__sentinel"
"mean_upper",1,NA,187.613888915104,520.107407314047,0.0163065305308736,0.073114797468087,FALSE,"S05",139,"M06",FALSE,"local_level_skewed_T200__target0200__sentinel"
"mean_width",1,NA,191.099898326064,577.095360799363,0.016581555446278,0.0722397264906495,FALSE,"S05",139,"M06",FALSE,"local_level_skewed_T200__target0200__sentinel"
