"item","observed","denominator"
"canonical_waves",3,110
"passed_waves",2,110
"failed_waves",1,110
"not_started_waves",107,110
"replication_tasks_with_artifacts",80,8400
"fully_completed_tasks",77,8400
"method_evaluations",485,43800
"MCMC_method_attempts",357,NA
"MCMC_chain_executions",597,40938
"diagnostic_rows",16027,NA
"diagnostic_rows_passed",15955,NA
"diagnostic_rows_failed",72,NA
