"family","target","endpoint","mean_error","median_error","q025_error","q25_error","q75_error","q975_error","rmse","mean_abs_error"
"fixed_design","RQR","lower",0.0998895422710756,0.11569918607152,-0.566440991561684,-0.108316754625031,0.329413579836806,0.682950084574442,0.344065118017461,0.275097751795013
"fixed_design","RQR","upper",0.0257815008745946,0.0227265972558147,-0.108510090617948,-0.0201217147921952,0.0671972843564126,0.178217292495546,0.0781622090606712,0.0582770126387494
"fixed_design","ET","lower",0.0772148384800126,0.0747522225184186,-0.46516348042182,-0.126178022978288,0.28321883199158,0.606184014622465,0.298697274415941,0.241013845056209
"fixed_design","ET","upper",0.0264534564940363,0.0169237350990359,-0.141526319746559,-0.0383699700419516,0.0791034660170475,0.248188886742528,0.105301229908416,0.076037139933799
"fixed_design","SH","lower",0.0721566352144503,0.0678214524334937,-0.376586089411037,-0.0898608406890922,0.240227269978668,0.511220928626255,0.244271581876888,0.196420541274996
"fixed_design","SH","upper",0.061738803858287,0.0363575271284348,-0.22480068566527,-0.0646288071954067,0.157295377136213,0.488217440606784,0.201671428200142,0.142499736925089
"dlm","RQR","lower",0.152689253499835,0.159597680578949,-0.488342333084898,-0.0614631398331164,0.377137242099466,0.740233593261348,0.351777690736191,0.284943697455335
"dlm","RQR","upper",0.0317752921337576,0.0249443770618697,-0.1449906293567,-0.0373019033486313,0.093203292384418,0.248229665116235,0.104788407917561,0.0810628882126999
"dlm","ET","lower",0.135618792241819,0.13710446031108,-0.337405521268028,-0.0313788948780003,0.303873687831397,0.601513215707375,0.277294225503019,0.223925221485709
"dlm","ET","upper",0.0497642243761411,0.0401505277037968,-0.171431210196519,-0.0392521787749296,0.128088676777448,0.326520505380513,0.136293921607881,0.105254912369572
"dlm","SH","lower",0.0907577272268488,0.0887196679353764,-0.319207689627099,-0.0628240253002729,0.244873268024388,0.502681080451302,0.233877472755938,0.188768943976343
"dlm","SH","upper",0.113010746634368,0.093400629798619,-0.223275198608521,-0.0283463201424233,0.232781034195122,0.560749265058391,0.230455423561515,0.175058102492075
